# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\6oc9_wxj.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120914_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0714181
# Diagonal elements of inverse mass matrix:
# 5475.05, 9.10729e-005, 0.000318889, 0.000308282, 0.000791596, 0.00101125, 0.00178359, 0.00104303
-2324.21,0.999648,0.0714181,5,63,0,2327.32,5040.34,0.309949,0.0433983,0.224211,0.219434,0.0533428,0.119863,197.611
-2327,0.960404,0.0714181,6,63,0,2329.43,4733.64,0.308636,0.0793235,0.242056,0.255454,0.212116,0.139067,202.588
-2325.96,0.921477,0.0714181,6,63,0,2331.19,5123.95,0.305267,0.0287637,0.21547,0.185609,0.0858136,0.0786422,198.382
-2322.44,0.985283,0.0714181,6,63,0,2329.77,4896.75,0.299948,0.0692468,0.230961,0.249261,0.147802,0.101076,203.636
-2323.43,0.996527,0.0714181,6,63,0,2326.74,4999.13,0.309837,0.0641647,0.232902,0.182046,0.0893381,0.141246,193.678
-2324.01,0.96178,0.0714181,5,63,0,2326.96,4930.98,0.306566,0.0333056,0.226192,0.279746,0.11802,0.109407,202.012
-2323.1,0.965737,0.0714181,6,63,0,2327.7,4888.8,0.305941,0.0834263,0.233965,0.213515,0.130787,0.135777,205.174
-2324.91,0.960419,0.0714181,5,31,0,2326.57,4908.1,0.301797,0.081959,0.255987,0.194747,0.0972517,0.151854,202.727
-2323.82,0.83474,0.0714181,5,31,0,2328.83,4929.36,0.305137,0.0709992,0.215327,0.217165,0.140225,0.125463,203.85
