# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:14 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\6oc9_wxj.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120914_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0682729
# Diagonal elements of inverse mass matrix:
# 5646.88, 7.47025e-005, 0.00032699, 0.000303058, 0.00094932, 0.001117, 0.00207136, 0.00124561
-2323.52,0.998543,0.0682729,6,63,0,2326.31,4899.57,0.319782,0.074081,0.235221,0.196521,0.116806,0.131087,199.776
-2322.81,0.978461,0.0682729,6,63,0,2324.88,4927.16,0.302503,0.04006,0.226974,0.247857,0.148451,0.108355,195.364
-2326.83,0.96651,0.0682729,5,63,0,2330.62,4961.48,0.320066,0.0222664,0.233441,0.245012,0.119931,0.0519145,210.473
-2328.06,0.999775,0.0682729,5,63,0,2329.82,4921.1,0.328754,0.0198029,0.231896,0.256637,0.11839,0.0668327,206.987
-2328.76,0.997907,0.0682729,5,31,0,2329.48,4937.14,0.327876,0.0179698,0.231852,0.258655,0.115224,0.0536046,208.299
-2325.12,0.969365,0.0682729,5,31,0,2330.49,4915.19,0.321265,0.0405031,0.227556,0.242925,0.149784,0.0576019,208.943
-2327.67,0.961806,0.0682729,6,63,0,2330.26,4928.15,0.293071,0.0865673,0.20585,0.219136,0.146727,0.208781,194.654
-2322.63,0.991394,0.0682729,5,31,0,2330.32,4977.97,0.300294,0.0666187,0.229972,0.226216,0.122713,0.0590814,197.643
-2326.16,0.999072,0.0682729,5,31,0,2327.85,4974.39,0.293161,0.0555428,0.201321,0.278107,0.0913749,0.161691,198.745
