# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\1qz29guh.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120922_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0837142
# Diagonal elements of inverse mass matrix:
# 4217.73, 8.37744e-005, 0.000309795, 0.000274655, 0.000745129, 0.000971159, 0.00160369, 0.00103643
-2931.54,0.998364,0.0837142,5,31,0,2934.06,4966.84,0.303425,0.0425426,0.201176,0.235805,0.204268,0.11086,198.918
-2931.61,0.996187,0.0837142,6,63,0,2935.82,4865.52,0.291774,0.0506451,0.226639,0.282642,0.166204,0.184897,223.664
-2930.21,0.933856,0.0837142,5,31,0,2933.96,4871.07,0.308677,0.0456135,0.213886,0.253779,0.188082,0.193657,213.56
-2930.11,0.952718,0.0837142,5,63,0,2932.61,4889.18,0.298658,0.0408562,0.212365,0.260411,0.208804,0.190685,211.507
-2932,0.926525,0.0837142,5,31,0,2933.6,4852.6,0.302106,0.0249957,0.21108,0.282723,0.214726,0.161951,208.504
-2932.7,0.980935,0.0837142,5,31,0,2935.75,4861.88,0.306147,0.0422344,0.217428,0.266754,0.240031,0.106518,221.327
-2931.5,0.962141,0.0837142,6,63,0,2937.86,4992.4,0.294405,0.0360829,0.206539,0.252867,0.129662,0.192865,201.802
-2934.99,0.887472,0.0837142,5,31,0,2939.34,5007.47,0.29858,0.00173069,0.237991,0.225321,0.137259,0.179881,207.215
-2931.81,0.996453,0.0837142,5,31,0,2936.01,4989.32,0.295409,0.00624912,0.226281,0.234397,0.168055,0.174239,211.583
-2931.03,0.989818,0.0837142,5,63,0,2935.23,4868.22,0.298949,0.07685,0.205468,0.256213,0.199546,0.169316,213.45
-2932.3,0.996257,0.0837142,5,63,0,2934.78,4899.93,0.293977,0.0762875,0.196337,0.239524,0.209435,0.196174,210.139
