# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:22 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\1qz29guh.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120922_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0819311
# Diagonal elements of inverse mass matrix:
# 5243.83, 8.34678e-005, 0.000288586, 0.000284357, 0.000863863, 0.000902224, 0.00165771, 0.00110261
-2931.78,0.902457,0.0819311,5,31,0,2939.39,5044.16,0.293691,0.0451143,0.212397,0.213036,0.167879,0.117267,217.827
-2933.83,0.944895,0.0819311,5,31,0,2935.65,5036.75,0.29451,0.0572891,0.199142,0.229927,0.172404,0.0880957,225.255
-2940.92,0.997534,0.0819311,5,63,0,2946.11,4995.17,0.319128,0.0403674,0.201326,0.216648,0.169313,0.0852829,237.126
-2934.87,0.999987,0.0819311,6,63,0,2946.3,4863.73,0.304604,0.0108774,0.196884,0.294941,0.20267,0.238288,205.804
-2931.68,1,0.0819311,5,31,0,2936.7,4907.45,0.294784,0.0229635,0.197647,0.286311,0.183228,0.225115,215.101
-2931.4,0.998152,0.0819311,6,63,0,2933.88,4965.99,0.302251,0.0582481,0.224892,0.230221,0.161943,0.0882325,209.154
-2936.75,0.599899,0.0819311,6,63,0,2939.46,5037.56,0.307514,0.0366596,0.200217,0.227796,0.173747,0.112516,213.928
-2931.54,0.996065,0.0819311,5,63,0,2938.04,5033.12,0.306309,0.033915,0.19745,0.218364,0.170668,0.110731,212.602
-2930.46,0.962939,0.0819311,6,63,0,2934.29,4864.81,0.285506,0.0479589,0.219047,0.292476,0.192005,0.186643,208.306
