# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\7sd1cjph.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120933_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0679829
# Diagonal elements of inverse mass matrix:
# 3855.8, 5.86103e-005, 0.00019719, 0.000241595, 0.00059954, 0.000667476, 0.00103279, 0.000960202
-3507.86,0.999964,0.0679829,6,63,0,3509.09,4961.94,0.315443,0.0467301,0.207335,0.275352,0.136806,0.01761,212.667
-3508.05,0.998206,0.0679829,6,63,0,3511.2,4957.76,0.312874,0.0476771,0.211225,0.284406,0.131476,0.0151066,207.236
-3511.09,0.996858,0.0679829,6,63,0,3513.05,4955.6,0.320982,0.04328,0.197702,0.238369,0.188723,0.0524482,219.226
-3510.39,0.977295,0.0679829,6,63,0,3514.5,4905.1,0.309428,0.0487047,0.196385,0.297599,0.146202,0.103833,198.248
-3507.23,0.999877,0.0679829,5,31,0,3511.22,4954.13,0.31063,0.0560097,0.188512,0.264852,0.148217,0.0979632,208.97
-3511.75,0.999482,0.0679829,5,63,0,3513.22,4980.91,0.328117,0.065752,0.212896,0.224367,0.107529,0.0177014,204.78
-3508.23,0.999089,0.0679829,6,63,0,3516.89,5004.61,0.322012,0.0405666,0.20246,0.268015,0.100591,0.024867,205.596
-3508.6,0.968945,0.0679829,5,31,0,3510.08,4984.11,0.323256,0.0395328,0.208593,0.261217,0.114831,0.0364877,203.372
-3507.97,0.997966,0.0679829,5,31,0,3510.45,4975.36,0.319154,0.0532877,0.201375,0.259321,0.140969,0.00855456,201.482
-3513.05,0.995796,0.0679829,6,63,0,3516.9,5034.58,0.303811,0.0918821,0.19499,0.256737,0.0928649,-0.00118552,214.044
-3512.11,0.998095,0.0679829,6,63,0,3518.68,5012.38,0.317593,0.0892431,0.195748,0.236003,0.101434,0.00384527,216.533
-3506.71,0.986319,0.0679829,5,31,0,3513.32,4995.74,0.311422,0.0572547,0.203936,0.256251,0.126746,0.0285564,204.08
