# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:33 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\7sd1cjph.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120933_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0674448
# Diagonal elements of inverse mass matrix:
# 3833.04, 6.01845e-005, 0.000223341, 0.000184407, 0.000620938, 0.000721564, 0.00132022, 0.000741791
-3508.05,0.997373,0.0674448,6,63,0,3514.25,5027.11,0.315876,0.0453375,0.209419,0.253366,0.0933184,0.0323653,210.089
-3506.4,0.974466,0.0674448,6,63,0,3509.16,5019.61,0.3172,0.0475049,0.191664,0.258411,0.113177,0.0493761,202.747
-3507.6,0.958176,0.0674448,6,63,0,3509.45,5032.34,0.302447,0.0528995,0.185392,0.285291,0.128093,0.031427,209.503
-3508.69,0.980394,0.0674448,6,63,0,3510.28,4999.24,0.299563,0.061277,0.191629,0.275988,0.132161,0.0808768,204.889
-3509.54,0.99296,0.0674448,6,63,0,3512.72,5142.33,0.318587,0.0346347,0.173844,0.221684,0.123872,0.0121049,208.351
-3508.29,0.999282,0.0674448,6,63,0,3512.9,4988.66,0.308585,0.0493187,0.188953,0.27921,0.131277,0.0609934,195.966
-3509.46,0.976374,0.0674448,6,63,0,3511.98,4954.45,0.310758,0.0735886,0.180982,0.266386,0.182356,0.0448329,204.729
-3511.09,0.999987,0.0674448,6,63,0,3514.14,4885.27,0.326128,0.0806793,0.184858,0.26959,0.143532,0.0913927,207.096
-3510.6,0.984989,0.0674448,6,63,0,3515.76,5091.06,0.308996,0.0310947,0.183269,0.262243,0.156766,-0.0276971,213.556
-3510.63,0.983189,0.0674448,6,63,0,3515.41,5153.27,0.300778,0.0343709,0.184008,0.237779,0.125836,-0.0158556,215.464
-3510.73,0.983752,0.0674448,6,63,0,3515.13,4880.77,0.31762,0.0715644,0.195801,0.285996,0.130336,0.112923,200.873
-3507.74,0.973428,0.0674448,5,31,0,3513.47,4964.53,0.308874,0.0529817,0.195814,0.296326,0.139316,0.029904,203.645
-3506.83,0.999313,0.0674448,5,63,0,3513.06,4969.29,0.309473,0.0481489,0.204798,0.266721,0.153042,0.0470798,209.387
-3510.17,0.969515,0.0674448,6,63,0,3512.08,5018.78,0.315632,0.0473102,0.20963,0.224321,0.115035,0.0678072,196.163
-3509.29,0.987547,0.0674448,5,31,0,3511.62,5019.29,0.313631,0.0375069,0.208886,0.237161,0.12687,0.0626356,196.605
-3511.85,0.934452,0.0674448,5,31,0,3513.42,4996.28,0.316164,0.0405454,0.202195,0.236264,0.12284,0.0964179,192.739
-3509.97,0.999519,0.0674448,6,63,0,3520.62,5066.55,0.309119,0.0441964,0.194953,0.280865,0.0836397,-0.0106851,209.5
-3510.82,0.995641,0.0674448,6,63,0,3513.67,4957.18,0.311147,0.0569084,0.187771,0.237637,0.166772,0.133511,200.193
-3508.08,0.999721,0.0674448,5,63,0,3513.45,4995.28,0.313483,0.0481769,0.192231,0.235356,0.144976,0.105569,201.655
-3509.87,0.973672,0.0674448,6,63,0,3512.89,4978.77,0.31997,0.0754038,0.189807,0.230228,0.11855,0.0814233,215.13
-3510.43,0.995898,0.0674448,6,63,0,3516.51,5106.71,0.303698,0.0391481,0.170309,0.26899,0.142822,-0.00451752,197.706
-3515.76,0.636662,0.0674448,6,63,0,3520.32,5110.07,0.31729,0.0367295,0.159848,0.27613,0.121983,0.0221516,202.888
-3522.62,0.983145,0.0674448,5,31,0,3523.82,5119.59,0.31975,0.0113607,0.145626,0.259475,0.141131,0.0148612,202.926
-3516.91,1,0.0674448,3,7,0,3523.44,5145.31,0.320511,0.012493,0.146455,0.266513,0.139759,0.0189741,203.6
-3509.51,0.998581,0.0674448,6,63,0,3519.92,5077.96,0.312478,0.0449695,0.176452,0.265213,0.144433,-0.0128187,213.195
-3509.29,0.98053,0.0674448,6,63,0,3513.17,4993.71,0.305942,0.0511065,0.188897,0.258398,0.161041,0.0967422,202.55
-3507.97,0.999678,0.0674448,6,63,0,3511.88,5109.68,0.310604,0.0447429,0.163343,0.250986,0.114457,0.04142,214.025
-3508.26,0.949069,0.0674448,6,63,0,3510.14,5087.81,0.313906,0.0491183,0.156479,0.262932,0.114228,0.0526986,210.385
-3516.43,0.98913,0.0674448,5,31,0,3517.59,5118.71,0.319881,0.0674245,0.129113,0.229593,0.146989,0.0412268,219.004
-3515.23,0.999953,0.0674448,6,63,0,3520,4918.4,0.308763,0.0418655,0.24284,0.275126,0.113775,0.064009,198.784
-3515.19,0.993554,0.0674448,6,63,0,3519.79,5161.29,0.308374,0.05139,0.130355,0.24683,0.154609,0.0178191,217.439
-3514.1,0.989545,0.0674448,6,63,0,3520.6,5121.87,0.294369,0.0447308,0.162967,0.256571,0.143028,0.0511521,226.932
-3512.89,0.998952,0.0674448,6,63,0,3517.26,4894.3,0.328052,0.0483905,0.210147,0.273357,0.128509,0.0726447,194.228
-3512.91,0.878616,0.0674448,6,63,0,3520.16,5028.76,0.299771,0.0624261,0.181325,0.252129,0.151839,0.0479905,226.42
-3513.22,0.976636,0.0674448,6,63,0,3515.08,5077.13,0.320438,0.0364825,0.191874,0.243734,0.108027,0.0313448,192.092
-3514.23,0.999462,0.0674448,5,31,0,3516.79,5057.95,0.321493,0.0358237,0.190299,0.242412,0.0968337,0.032,190.966
-3508.87,0.999975,0.0674448,6,63,0,3517.25,4996.8,0.30489,0.0579794,0.197498,0.265126,0.156331,0.0392771,215.967
-3507.32,0.97829,0.0674448,5,63,0,3511.25,5008.94,0.306534,0.0503719,0.197057,0.260555,0.152524,0.0461007,209.066
-3510.04,0.999588,0.0674448,5,31,0,3510.76,4979.3,0.307643,0.0470062,0.189508,0.277282,0.190892,0.0193706,214.592
-3510.48,0.951257,0.0674448,6,63,0,3514.75,4987.44,0.308885,0.0555097,0.186285,0.264542,0.192097,0.0124164,218.199
-3508.14,0.973492,0.0674448,6,63,0,3514.47,4931.9,0.31782,0.0444238,0.211173,0.272377,0.136459,0.0700532,202.749
-3507.65,0.999373,0.0674448,6,63,0,3510.3,4976.54,0.313766,0.0478817,0.195629,0.263866,0.172406,0.0205725,211.398
-3507.97,0.74668,0.0674448,6,63,0,3516.5,5031.2,0.31347,0.0496869,0.182142,0.248649,0.105298,0.0853458,206.209
-3509.13,0.987406,0.0674448,5,31,0,3511.61,5119.81,0.308429,0.0299615,0.181539,0.239482,0.148951,-0.0075243,204.01
-3514.57,0.996304,0.0674448,5,31,0,3516.96,5068.52,0.312114,0.0344021,0.18826,0.251393,0.172525,-0.040918,193.538
