# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\f9yv39i8.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120944_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0861003
# Diagonal elements of inverse mass matrix:
# 3855.8, 5.6669e-005, 0.00015179, 0.000228676, 0.000489916, 0.000591224, 0.00113196, 0.00085486
-4082.95,0.991232,0.0861003,6,63,0,4087.05,4840.8,0.302129,0.0583006,0.218659,0.250287,0.194148,0.214197,214.742
-4085.7,0.968972,0.0861003,5,31,0,4091.36,4845.42,0.300405,0.0665818,0.242135,0.209472,0.201891,0.189196,200.165
-4083.2,0.999942,0.0861003,6,63,0,4089.69,4985.03,0.317474,0.0355034,0.169125,0.276306,0.143294,0.138012,210.898
-4082.7,0.99245,0.0861003,6,63,0,4089.89,4942.01,0.297511,0.0674666,0.221277,0.19025,0.198715,0.153475,202.985
-4079.74,0.991398,0.0861003,5,31,0,4085.96,4974.92,0.317133,0.0408664,0.173796,0.235559,0.184206,0.15562,208.747
-4079.48,0.999941,0.0861003,6,63,0,4082.53,4950.37,0.302045,0.0461794,0.224774,0.236743,0.148045,0.136462,199.742
-4081.06,0.776634,0.0861003,6,63,0,4083.46,4945.08,0.31782,0.0476279,0.177275,0.24035,0.194778,0.164567,208.875
-4080.66,0.831391,0.0861003,5,31,0,4085.45,4898.51,0.303137,0.0584147,0.234167,0.240643,0.159355,0.127706,199.868
-4081.85,0.961345,0.0861003,6,63,0,4087.06,4955.23,0.317751,0.0517745,0.163972,0.234011,0.181197,0.204659,208.689
-4080.24,0.980358,0.0861003,6,63,0,4085.24,4984.6,0.305045,0.0584992,0.17346,0.244954,0.143705,0.186115,198.606
-4078.81,0.999845,0.0861003,5,31,0,4083.78,4910.86,0.313272,0.0428356,0.187599,0.247792,0.179154,0.206443,199.993
-4079.33,0.971738,0.0861003,6,63,0,4081.63,4966.17,0.31231,0.0446411,0.196637,0.250897,0.129864,0.163022,196.218
-4079.45,0.95222,0.0861003,5,31,0,4081,4903.26,0.308089,0.0534804,0.202354,0.231052,0.212591,0.166605,209.511
-4079.4,0.99998,0.0861003,6,63,0,4082.16,5031.52,0.305434,0.0511957,0.186788,0.211431,0.13878,0.164436,197.055
-4077.48,0.999977,0.0861003,5,31,0,4080.33,4962.7,0.305007,0.0487444,0.200743,0.231397,0.152851,0.180128,198.807
-4078.68,0.851094,0.0861003,6,63,0,4080.42,4934.14,0.313218,0.0522904,0.207277,0.231387,0.176509,0.138769,209.557
-4080.16,0.900259,0.0861003,5,31,0,4083.63,4940.89,0.319902,0.0548851,0.199749,0.235803,0.167206,0.123594,205.858
-4089.33,0.848741,0.0861003,5,31,0,4092.77,4912.67,0.309906,0.0894739,0.228523,0.208026,0.101828,0.149253,209.313
-4090.79,0.999514,0.0861003,5,31,0,4093.39,4920.42,0.313432,0.0947998,0.231779,0.213973,0.100383,0.142368,209.339
-4085.26,0.896773,0.0861003,5,31,0,4095.01,4870.29,0.309971,0.0829489,0.215425,0.227567,0.131443,0.181093,208.875
-4087.83,0.998354,0.0861003,5,31,0,4092.67,4813.34,0.328436,0.0701866,0.205612,0.265915,0.13312,0.158033,209.389
-4088.68,0.997187,0.0861003,5,31,0,4092.19,4785.17,0.327023,0.0819562,0.213199,0.262137,0.130765,0.172807,210.957
-4079.4,0.877134,0.0861003,5,31,0,4092.85,4868.04,0.319863,0.0460811,0.204252,0.248093,0.205024,0.139429,207.085
-4082.31,0.955109,0.0861003,5,31,0,4084.74,4880.62,0.297646,0.0861912,0.219496,0.233984,0.172121,0.149105,205.564
-4079.63,0.999073,0.0861003,5,31,0,4084.04,4882.37,0.300967,0.0736396,0.214708,0.234551,0.171572,0.177302,204.435
-4078.07,1,0.0861003,6,63,0,4081.18,4883.63,0.312298,0.0623007,0.200333,0.267759,0.164331,0.14149,203.529
-4079.26,0.99652,0.0861003,5,63,0,4082.09,4965.06,0.304268,0.0649468,0.199011,0.254666,0.123463,0.137762,203.988
-4081.65,0.987662,0.0861003,5,31,0,4085.4,4984.39,0.307723,0.0711906,0.182957,0.23444,0.134227,0.159309,216.653
-4077.83,0.926653,0.0861003,5,31,0,4083.72,4998.18,0.309313,0.0468733,0.184875,0.230241,0.156541,0.146632,200.533
-4078.54,0.985478,0.0861003,6,63,0,4080.41,4896.9,0.306593,0.0547122,0.219384,0.233132,0.19228,0.148091,203.786
-4079.13,0.766974,0.0861003,5,63,0,4082.43,4861.65,0.310583,0.0646622,0.199402,0.253047,0.206759,0.15969,202.344
-4079.31,0.986986,0.0861003,5,63,0,4081.98,4930.98,0.30806,0.0654922,0.198057,0.231697,0.187855,0.140153,195.041
-4077.78,0.999975,0.0861003,5,31,0,4080.26,4921.57,0.309568,0.0638317,0.204246,0.233721,0.167949,0.151065,196.867
