# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:44 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\f9yv39i8.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120944_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0853327
# Diagonal elements of inverse mass matrix:
# 3537.42, 5.52036e-005, 0.000184883, 0.000187493, 0.000602751, 0.000534034, 0.00105815, 0.000664849
-4083.13,0.999772,0.0853327,5,31,0,4084.61,4971.25,0.302908,0.0278367,0.200361,0.27208,0.12711,0.161716,212.913
-4081.29,0.808013,0.0853327,5,63,0,4092.17,4963.11,0.302137,0.0351496,0.207774,0.273757,0.134938,0.130612,210.865
-4079.2,0.942451,0.0853327,6,63,0,4083.12,5001.1,0.301696,0.0446726,0.203826,0.232987,0.1305,0.153866,208.474
-4080.01,0.999169,0.0853327,5,63,0,4083.72,4953.94,0.302672,0.0544503,0.213664,0.246301,0.12121,0.15282,208.463
-4079.81,0.998971,0.0853327,6,63,0,4082.5,4916.43,0.311666,0.0476036,0.192893,0.229018,0.221196,0.16346,200.863
-4079.1,0.993608,0.0853327,5,63,0,4084.59,5016.94,0.304606,0.0531469,0.191643,0.204451,0.136918,0.200189,202.82
-4078.94,0.953848,0.0853327,6,63,0,4080.96,4984.08,0.306443,0.0440177,0.201136,0.214648,0.138862,0.200052,202.724
-4078.62,0.99979,0.0853327,5,31,0,4080.31,4990.52,0.30555,0.0395981,0.200537,0.243286,0.13811,0.164774,208.23
-4081.11,0.844534,0.0853327,5,31,0,4082.13,4998.92,0.304372,0.0384914,0.205736,0.230429,0.135707,0.189983,208.187
-4084.41,1,0.0853327,5,31,0,4086.05,4986.93,0.306336,0.0175615,0.20994,0.250408,0.152218,0.165461,215.456
-4079.2,0.999783,0.0853327,5,31,0,4087.04,4906.75,0.305251,0.0461762,0.201491,0.274813,0.160685,0.171675,208.991
-4077.91,0.999355,0.0853327,6,63,0,4086.66,4952.29,0.311958,0.0566983,0.203829,0.208908,0.180054,0.152467,201.243
-4082.6,0.764458,0.0853327,5,31,0,4084.51,4905.63,0.312588,0.0652687,0.217364,0.190895,0.204513,0.172981,202.761
-4084.64,0.848013,0.0853327,5,63,0,4088.88,4890.28,0.30158,0.072494,0.209299,0.231553,0.222997,0.147062,199.698
-4084.23,0.999384,0.0853327,5,63,0,4091.27,4983.93,0.306826,0.0433336,0.201276,0.177248,0.230375,0.137597,207.046
-4081.75,0.984098,0.0853327,6,63,0,4088.21,4907.49,0.315652,0.0403122,0.218093,0.230477,0.175202,0.131051,216.009
-4080.95,0.989905,0.0853327,5,63,0,4083.69,4917.03,0.316295,0.0330628,0.211426,0.251269,0.179144,0.116695,214.753
-4083.07,0.68807,0.0853327,5,31,0,4087.64,4950.61,0.319615,0.020752,0.197725,0.248307,0.159231,0.14651,216.179
-4082.19,0.859262,0.0853327,5,31,0,4086.49,4961.89,0.320934,0.0255538,0.195349,0.247359,0.160513,0.137557,215.905
-4081.12,0.88353,0.0853327,5,31,0,4091.28,4861.76,0.306556,0.0654725,0.223366,0.253849,0.169666,0.16305,197.236
-4084.3,0.9987,0.0853327,5,31,0,4087.26,4908.22,0.324892,0.0501134,0.169626,0.243416,0.193666,0.198343,212.924
-4078.45,0.99653,0.0853327,5,31,0,4087.31,5011.87,0.300328,0.0523613,0.198234,0.221134,0.14279,0.152564,200.711
-4079.96,0.805211,0.0853327,5,63,0,4082.44,4922.07,0.309549,0.0627127,0.208046,0.224219,0.155545,0.154373,197.239
-4080.38,0.993727,0.0853327,5,31,0,4084.06,4923.83,0.305438,0.0475028,0.215643,0.245321,0.183659,0.122636,215.408
-4078.9,0.999966,0.0853327,6,63,0,4082.45,4951.66,0.305697,0.0460777,0.205746,0.206574,0.204252,0.159841,206.42
-4079.66,0.992601,0.0853327,5,31,0,4081.9,4972.25,0.301812,0.0529995,0.19624,0.221881,0.205007,0.121459,208.73
-4079.23,0.924531,0.0853327,5,31,0,4082.22,4925.43,0.303749,0.0637884,0.197507,0.220275,0.199265,0.157585,204.003
-4079.96,0.984574,0.0853327,5,63,0,4082.62,4987.81,0.30447,0.0678879,0.195216,0.195015,0.156969,0.174452,203.893
