# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\e3bn582x.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120957_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0804388
# Diagonal elements of inverse mass matrix:
# 2916.34, 4.95654e-005, 0.000167736, 0.000152812, 0.000452501, 0.000528343, 0.00110856, 0.000665652
-4670.19,0.883517,0.0804388,5,31,0,4676.55,4956.23,0.297967,0.0338138,0.215155,0.242382,0.180202,0.11344,202.366
-4671.53,0.817635,0.0804388,5,31,0,4676.09,4974.41,0.288594,0.0537696,0.208412,0.26886,0.149158,0.133894,201.37
-4671.45,1,0.0804388,5,31,0,4675.98,4981.19,0.293937,0.0507313,0.216038,0.268513,0.114933,0.132465,213.732
-4672.26,0.996899,0.0804388,6,63,0,4676.61,4900.12,0.307621,0.0579414,0.190723,0.232279,0.174198,0.211146,197.695
-4669.61,0.952369,0.0804388,5,63,0,4677.34,4860.81,0.293404,0.0479001,0.223742,0.269532,0.188397,0.17559,199.412
-4666.95,0.853137,0.0804388,5,31,0,4672.69,4878.92,0.299726,0.0515099,0.223901,0.257375,0.1594,0.183704,199.931
-4667.65,0.97819,0.0804388,6,63,0,4670.07,4974.91,0.303087,0.0583529,0.193422,0.246824,0.130062,0.137614,208.367
-4665.68,0.974498,0.0804388,6,63,0,4668.74,4911.27,0.29647,0.0538462,0.220813,0.260506,0.139252,0.169186,203.623
-4669.66,0.941735,0.0804388,5,31,0,4670.88,4972.93,0.304361,0.0615473,0.224073,0.21096,0.106969,0.140651,205.238
