# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:09:57 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\e3bn582x.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120957_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0661149
# Diagonal elements of inverse mass matrix:
# 2773.74, 4.56964e-005, 0.000164345, 0.000142622, 0.000440481, 0.000549846, 0.00100625, 0.000598945
-4666.6,0.972371,0.0661149,5,31,0,4671.22,4876.71,0.296289,0.0574051,0.229883,0.258929,0.153013,0.172619,206.168
-4666.09,0.958463,0.0661149,6,63,0,4671.41,4943.96,0.303821,0.0552643,0.197859,0.245265,0.143553,0.166217,206.48
-4666.81,0.998849,0.0661149,6,63,0,4667.62,4970.55,0.296484,0.0541426,0.218693,0.243211,0.11598,0.151835,200.1
-4668.49,0.999927,0.0661149,6,63,0,4669.95,5012.82,0.288198,0.0559375,0.210389,0.227545,0.122751,0.16794,207.802
-4669.05,0.951842,0.0661149,6,63,0,4671.62,4994.5,0.298379,0.0508704,0.20332,0.249248,0.0960254,0.192451,203.437
-4669.11,0.927133,0.0661149,6,63,0,4674.43,4832.87,0.304469,0.0596766,0.219275,0.265033,0.191571,0.128015,207.561
-4666.91,0.991289,0.0661149,6,63,0,4670.87,4876.68,0.302812,0.0543178,0.229208,0.244953,0.133316,0.204458,200.776
-4665.31,0.998677,0.0661149,5,63,0,4667.49,4900.99,0.299944,0.0544652,0.208211,0.268505,0.153889,0.157078,203.473
-4666.93,0.983367,0.0661149,6,63,0,4672.65,4829.45,0.310627,0.0515085,0.224326,0.272757,0.158186,0.163213,210.653
-4672.09,0.977725,0.0661149,5,31,0,4674.31,4829.38,0.311068,0.0377588,0.213358,0.248445,0.183919,0.235652,213.601
-4669.51,0.978826,0.0661149,5,31,0,4673.14,4840.16,0.307336,0.0469926,0.217461,0.255544,0.187067,0.204637,212.976
-4669.67,0.99886,0.0661149,6,63,0,4672.37,4769.08,0.303606,0.0723934,0.223255,0.276118,0.175121,0.194726,212.171
-4669.05,0.992098,0.0661149,6,63,0,4672.05,4804.26,0.312017,0.0508177,0.219735,0.292889,0.171355,0.159242,202.96
-4669.87,0.999567,0.0661149,6,63,0,4673.16,4993.14,0.289678,0.0732141,0.212278,0.224766,0.136858,0.144643,207.082
-4672.05,0.941276,0.0661149,6,63,0,4677.82,4932.18,0.310537,0.0660947,0.200427,0.213802,0.15751,0.150233,212.905
-4671.89,0.994482,0.0661149,6,63,0,4675.4,4971.22,0.306866,0.0583575,0.206562,0.203709,0.161901,0.119543,206.581
-4670.89,0.999829,0.0661149,6,63,0,4674.14,4969.96,0.306305,0.0581488,0.211733,0.217801,0.172943,0.0947068,209.88
-4670.4,0.981025,0.0661149,6,63,0,4675.29,5040.52,0.295397,0.047277,0.189545,0.249246,0.0916211,0.181501,209.23
-4668.25,0.999454,0.0661149,6,63,0,4675.54,4878.1,0.304798,0.0567291,0.21947,0.251676,0.190134,0.113797,203.526
-4668.07,0.99999,0.0661149,6,63,0,4670.81,4921.57,0.299467,0.0534034,0.219445,0.249214,0.104002,0.216457,209.846
-4671.21,0.982795,0.0661149,6,63,0,4675.49,4948.68,0.285343,0.0684399,0.211161,0.278483,0.145888,0.107631,206.949
-4672.93,0.964618,0.0661149,6,63,0,4676.46,5007.09,0.310622,0.0392678,0.188529,0.207395,0.136938,0.191129,204.057
-4670.2,0.997703,0.0661149,6,63,0,4677.78,4879.74,0.295313,0.0783731,0.214346,0.25102,0.123171,0.21051,212.167
-4667.78,0.998786,0.0661149,6,63,0,4672.32,4877.33,0.309002,0.0660689,0.225781,0.238758,0.135181,0.146162,205.56
-4669.37,0.999355,0.0661149,6,63,0,4672.21,4933.73,0.292976,0.0522362,0.196095,0.286566,0.137571,0.189684,205.904
-4668.99,0.997829,0.0661149,6,63,0,4670.81,4882.59,0.311072,0.0620463,0.225646,0.233042,0.153168,0.122302,207.432
-4669.25,0.992953,0.0661149,6,63,0,4677.54,4988.02,0.291541,0.0500773,0.195345,0.257747,0.134591,0.190006,206.227
-4667.51,0.995018,0.0661149,6,63,0,4673.37,5014.71,0.2925,0.0501369,0.200254,0.235888,0.145777,0.14438,204.873
-4666.5,0.996771,0.0661149,6,63,0,4670.56,4819.14,0.309719,0.0578464,0.225042,0.276442,0.140929,0.180174,206.362
-4666.93,0.962461,0.0661149,6,63,0,4668.01,4831.3,0.312138,0.0628777,0.216855,0.276834,0.143973,0.167572,205.082
-4668.17,0.996666,0.0661149,6,63,0,4669.42,4798.46,0.314201,0.0557541,0.221445,0.286029,0.143964,0.187969,203.682
-4667.8,0.986437,0.0661149,6,63,0,4670.76,4815.99,0.303617,0.0570987,0.232843,0.269992,0.171358,0.16594,212.933
-4671.84,0.962837,0.0661149,6,63,0,4674.19,4831.5,0.28946,0.0705013,0.235698,0.252637,0.159618,0.20749,212.982
-4669.4,0.999734,0.0661149,6,63,0,4675.31,4799.84,0.310107,0.0765078,0.235501,0.240517,0.168014,0.16491,205.689
-4670.3,0.988995,0.0661149,5,31,0,4672.88,4794.69,0.311187,0.0790198,0.236979,0.239701,0.17051,0.16704,205.984
-4667.49,0.87064,0.0661149,6,63,0,4674.47,4885.44,0.306713,0.0393053,0.231579,0.253651,0.154647,0.156795,205.552
-4668.56,0.949124,0.0661149,6,63,0,4672.23,4816.69,0.306255,0.077762,0.222683,0.272815,0.160307,0.159027,205.904
-4666.56,0.994897,0.0661149,6,63,0,4670.26,4866.58,0.299932,0.0553298,0.229768,0.256698,0.15629,0.170534,199.403
-4667.09,0.948305,0.0661149,6,63,0,4667.86,4874.64,0.300546,0.0574194,0.229804,0.25489,0.155447,0.162602,199.208
-4669.2,0.964848,0.0661149,6,63,0,4672.1,4985.1,0.30652,0.0482164,0.191562,0.246906,0.119721,0.150309,212.381
-4667.9,0.999829,0.0661149,6,63,0,4673.24,4846.8,0.29904,0.0397983,0.225382,0.287239,0.148317,0.193327,206.307
-4666.8,0.961282,0.0661149,6,63,0,4672.16,4897,0.309329,0.0619413,0.20828,0.236437,0.165487,0.159356,208.25
-4669.02,0.977183,0.0661149,6,63,0,4671.35,4912.82,0.298998,0.0359331,0.23507,0.251702,0.114057,0.20134,205.161
-4666.38,0.911085,0.0661149,5,31,0,4672.57,4892.06,0.302822,0.0463451,0.232307,0.255808,0.137795,0.150906,208.476
-4667.46,0.760551,0.0661149,6,63,0,4673.47,4935.02,0.297308,0.0510757,0.201582,0.243372,0.165043,0.189631,198.816
-4667.8,0.994845,0.0661149,6,63,0,4671.5,4873.71,0.305785,0.0778974,0.213944,0.254013,0.120244,0.1814,210.52
-4667.7,0.969118,0.0661149,6,63,0,4670.37,4927.33,0.302773,0.029516,0.215513,0.254241,0.147179,0.170831,207.486
-4668.14,0.984381,0.0661149,5,63,0,4672.28,4916.36,0.302568,0.0670163,0.207615,0.265456,0.114286,0.157445,215.487
-4667.5,0.970365,0.0661149,6,63,0,4670.29,4948.27,0.300837,0.0391397,0.205854,0.242613,0.158998,0.190525,203.168
-4668.97,0.983128,0.0661149,6,63,0,4671.9,4837.19,0.30716,0.0675046,0.233116,0.274477,0.128866,0.127202,212.147
-4672.03,0.975979,0.0661149,6,63,0,4675.41,4779.78,0.3018,0.0756219,0.206906,0.319519,0.170602,0.17067,211.299
