# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\i37ait5a.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121012_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0693825
# Diagonal elements of inverse mass matrix:
# 2589.18, 4.10074e-005, 0.000128997, 0.000125445, 0.000383283, 0.000498918, 0.000839095, 0.000474276
-5196.97,0.864032,0.0693825,6,63,0,5204.27,5002.62,0.287028,0.0663373,0.189649,0.24389,0.193042,0.111702,194.161
-5196.96,0.932507,0.0693825,6,63,0,5204.59,5038.89,0.29308,0.0636945,0.193748,0.215452,0.176781,0.107585,194.882
-5195.66,0.959809,0.0693825,6,63,0,5198.55,5043.1,0.28622,0.0494217,0.206565,0.266696,0.155945,0.0503316,192.134
-5196.41,0.99719,0.0693825,6,63,0,5199.6,5094.92,0.283637,0.049459,0.202342,0.236012,0.16067,0.0419132,187.56
-5198.12,0.996042,0.0693825,6,63,0,5203.04,4889.97,0.299976,0.0558598,0.219495,0.289533,0.174474,0.0829403,189.352
-5202.17,0.907253,0.0693825,6,63,0,5208.78,4971.68,0.307034,0.0738363,0.193427,0.226192,0.162429,0.103596,188.598
-5196.04,0.979478,0.0693825,6,63,0,5205.34,5042.35,0.288841,0.0677647,0.191548,0.228653,0.18814,0.0623641,194.326
-5196.55,0.999366,0.0693825,6,63,0,5198.11,5066.48,0.288325,0.0440921,0.202647,0.258103,0.137885,0.0632568,187.231
-5195.94,0.928452,0.0693825,6,63,0,5199.03,5016.24,0.287213,0.0640868,0.211505,0.230207,0.187449,0.0722407,192.219
