# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:12 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\i37ait5a.json
# init = 2 (Default)
# random
#   seed = 857
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121012_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0800745
# Diagonal elements of inverse mass matrix:
# 2336.18, 4.14652e-005, 0.000141075, 0.00015632, 0.00036704, 0.000363687, 0.000713214, 0.000533687
-5198.96,0.998849,0.0800745,5,31,0,5203.08,4983.15,0.286068,0.0534041,0.20667,0.291964,0.18973,0.0122004,194.321
-5196.86,0.979615,0.0800745,5,31,0,5200.98,4999.59,0.286222,0.05347,0.207031,0.275511,0.188093,0.0299765,198.564
-5197.46,0.969705,0.0800745,6,63,0,5202.77,5007.88,0.298837,0.0539817,0.223882,0.219735,0.15474,0.0729607,192.435
-5197.42,0.896577,0.0800745,5,63,0,5201.11,4941.48,0.285854,0.0715271,0.203245,0.274414,0.171528,0.10451,191.245
-5200.13,0.903387,0.0800745,6,63,0,5201.97,4931,0.302775,0.053637,0.223005,0.257194,0.168905,0.0537227,190.223
-5197.56,0.997634,0.0800745,6,63,0,5203.16,5063.88,0.298953,0.0372121,0.197599,0.245903,0.164234,0.0345462,190.032
-5201.04,0.567285,0.0800745,5,31,0,5208.46,5066.29,0.307752,0.0458893,0.193153,0.221707,0.164204,0.0449949,193.136
-5195.73,1,0.0800745,5,31,0,5202.62,5052.29,0.290919,0.0473582,0.191303,0.26416,0.15978,0.0447883,193.929
-5197.07,0.994475,0.0800745,6,63,0,5198.43,4962.88,0.295596,0.0686567,0.19471,0.24351,0.179727,0.120132,196.88
