# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\lz_ezppb.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121040_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.072851
# Diagonal elements of inverse mass matrix:
# 35661.4, 0.000316409, 0.00128555, 0.00123505, 0.00352737, 0.0035309, 0.00713359, 0.00520027
-579.426,0.972117,0.072851,6,63,0,583.441,4516.18,0.327653,0.112496,0.223856,0.351639,0.137879,0.259703,172.494
-578.974,0.999992,0.072851,6,63,0,581.226,4547.07,0.332697,0.111016,0.23624,0.349688,0.133563,0.168173,192.294
-578.549,0.984998,0.072851,6,63,0,580.754,4400.64,0.308862,0.174145,0.218286,0.407033,0.153224,0.256992,201.04
-582.515,0.980478,0.072851,6,63,0,584.057,4620.71,0.279982,0.149384,0.206989,0.273085,0.226548,0.326051,207.859
-585.103,0.944135,0.072851,6,63,0,588.864,4736.17,0.271824,0.188357,0.162166,0.317875,0.140489,0.240241,195.342
-582.451,0.846885,0.072851,6,63,0,589.141,4274.86,0.365047,0.104758,0.23873,0.391741,0.184593,0.296323,202.443
-581.27,0.990937,0.072851,5,63,0,585.828,4253.32,0.362409,0.144902,0.264346,0.357822,0.185559,0.245296,201.029
-580.381,0.996327,0.072851,6,63,0,584.218,4272.2,0.343366,0.141255,0.239265,0.492254,0.063016,0.265981,192.468
-583.166,0.983786,0.072851,5,31,0,588.298,4256.92,0.321757,0.134394,0.249005,0.543615,0.0655008,0.243758,213.322
-581.284,0.942809,0.072851,6,63,0,586.372,4137.31,0.328898,0.133518,0.289411,0.513104,0.124526,0.255048,198.594
-580.989,0.784823,0.072851,6,63,0,585.518,4534.38,0.3122,0.176427,0.202597,0.300205,0.228781,0.242847,174.907
-582.529,0.999995,0.072851,6,63,0,585.76,4374.99,0.311062,0.194056,0.240881,0.30832,0.300621,0.14273,188.424
-583.287,0.999978,0.072851,5,63,0,584.797,4414.45,0.302908,0.191714,0.226803,0.297902,0.325304,0.156447,193.455
-580.22,0.997385,0.072851,5,31,0,585.087,4452.62,0.300819,0.183948,0.246361,0.30518,0.243108,0.185307,188.534
-580.34,0.970619,0.072851,6,63,0,584.391,4651.69,0.331685,0.101702,0.182151,0.386977,0.098253,0.190827,195.034
-581.66,0.796227,0.072851,6,63,0,585.871,4284.19,0.324815,0.131943,0.262163,0.444165,0.191593,0.255995,187.687
-587.847,0.997865,0.072851,6,63,0,592.071,3847.33,0.362017,0.233041,0.27614,0.519995,0.0778908,0.352101,235.269
-588.005,0.991408,0.072851,6,63,0,590.56,3926.35,0.358176,0.224328,0.284168,0.54587,0.079005,0.338913,239.21
-578.377,0.983656,0.072851,6,63,0,588.985,4321.28,0.333034,0.143964,0.230088,0.436138,0.129782,0.285146,178.949
-580.112,0.998248,0.072851,5,31,0,581.508,4229.58,0.339893,0.163146,0.220848,0.473025,0.177661,0.220103,177.286
-581.306,0.977762,0.072851,6,63,0,583.813,4349.61,0.341187,0.171046,0.269183,0.381231,0.061232,0.228531,217.219
-581.719,0.993667,0.072851,6,63,0,584.993,4538.98,0.350567,0.136475,0.208004,0.418889,0.0506926,0.0976297,189.597
-579.524,0.967404,0.072851,5,63,0,584.417,4311.08,0.34484,0.154574,0.223726,0.416832,0.19944,0.157515,194.944
-578.876,0.970879,0.072851,6,63,0,581.781,4242.7,0.322482,0.180184,0.226162,0.470333,0.1371,0.301065,192.207
-581.773,0.967787,0.072851,5,63,0,583.896,4404.37,0.327871,0.184606,0.155353,0.425896,0.160036,0.318214,185.836
-583.674,0.990817,0.072851,6,63,0,586.956,4375.52,0.308378,0.168114,0.313945,0.294027,0.190204,0.230712,214.983
-580.499,0.994881,0.072851,6,63,0,586.845,4244.74,0.336237,0.182718,0.240763,0.440931,0.0513625,0.350226,196.227
-582.878,0.978881,0.072851,5,63,0,586.917,4169.08,0.34565,0.193253,0.259008,0.458831,0.0236839,0.389795,194.74
-582.761,0.998098,0.072851,5,63,0,589.475,4510.74,0.31803,0.176223,0.262378,0.360564,0.0150438,0.187906,206.891
-581.311,0.987678,0.072851,6,63,0,584.7,4237.8,0.331148,0.145612,0.203579,0.410826,0.276249,0.305302,182.541
-584.566,0.893542,0.072851,6,63,0,589.326,4659.85,0.313683,0.171381,0.250916,0.269377,0.0779533,0.195002,222.828
-583.898,0.992753,0.072851,6,63,0,590.555,3945.88,0.347287,0.171758,0.233148,0.543913,0.235089,0.325681,184.466
-581.245,0.99717,0.072851,6,63,0,586.998,4358.68,0.313376,0.201065,0.279466,0.312072,0.116872,0.31922,198.008
-586.136,0.99738,0.072851,6,63,0,589.443,4166.22,0.29377,0.15575,0.336184,0.433234,0.140187,0.315446,231.742
-586.348,0.993452,0.072851,6,63,0,590.836,3958.63,0.363678,0.23717,0.203798,0.416201,0.249907,0.421465,185.136
-587.702,0.859557,0.072851,6,63,0,594.913,4854.98,0.329603,0.080257,0.202687,0.228361,0.107758,0.204976,239.342
-579.473,0.981162,0.072851,5,63,0,591.364,4638.75,0.328104,0.123042,0.218309,0.317368,0.116408,0.2007,190.348
-580.529,0.958335,0.072851,6,63,0,583.026,4401.09,0.317751,0.103882,0.229429,0.383726,0.215878,0.256965,188.281
-582.981,0.975056,0.072851,6,63,0,588.942,3953.01,0.345018,0.246193,0.275189,0.462533,0.126283,0.404872,213.048
-585.423,0.995703,0.072851,6,63,0,589.845,4101.5,0.32992,0.223683,0.306693,0.465374,0.172068,0.0928501,191.936
-583.689,0.997325,0.072851,5,31,0,587.611,4096.94,0.336445,0.204649,0.2923,0.455531,0.216382,0.118877,188.622
-583.971,0.935273,0.072851,6,63,0,589.834,4556.81,0.327276,0.100039,0.224236,0.374865,0.054111,0.356777,211.604
-583.923,0.990203,0.072851,5,63,0,588.544,4617.7,0.323013,0.0702846,0.205946,0.42542,0.0540141,0.276355,211.675
-578.035,0.945716,0.072851,5,63,0,585.074,4493.85,0.319709,0.149506,0.22643,0.366633,0.173621,0.161227,187.998
-579.656,0.986402,0.072851,6,63,0,581.603,4182.6,0.331529,0.201977,0.245343,0.39205,0.135991,0.392087,205.165
-582.846,0.992698,0.072851,5,31,0,583.936,4033.3,0.318793,0.237228,0.237759,0.493169,0.129776,0.444433,192.211
-585.418,0.962128,0.072851,6,63,0,588.986,4115.64,0.352561,0.12771,0.268469,0.381628,0.258823,0.376059,236.221
-584.029,0.998684,0.072851,6,63,0,590.808,4279.28,0.290619,0.239777,0.224274,0.401329,0.187545,0.297067,177.028
-582.936,0.927746,0.072851,5,31,0,587.646,4360.02,0.287548,0.23517,0.246623,0.367156,0.14621,0.271124,187.85
-582.932,0.973356,0.072851,6,63,0,588.32,4322.23,0.319408,0.247995,0.271183,0.317626,0.14821,0.213576,209.129
-582.084,0.996465,0.072851,5,63,0,586.366,4468.85,0.318096,0.22267,0.247518,0.27925,0.169787,0.13842,198.872
-579.953,0.90727,0.072851,5,63,0,585.556,4300.96,0.339648,0.178875,0.252323,0.355485,0.197132,0.194177,214.747
-578.412,0.974433,0.072851,6,63,0,583.435,4448.12,0.305918,0.171732,0.239102,0.371518,0.131381,0.255525,184.582
-580.627,0.976428,0.072851,6,63,0,581.988,4158.86,0.346168,0.204281,0.252689,0.385385,0.205643,0.266207,218.333
-583.672,0.848704,0.072851,5,63,0,586.511,4269.91,0.357595,0.230137,0.232975,0.335813,0.196465,0.202636,202.399
-583.853,0.998126,0.072851,6,63,0,587.173,4495.52,0.292322,0.0896602,0.239462,0.425482,0.128805,0.260038,194.945
-581.798,0.986933,0.072851,5,63,0,585.808,4478.95,0.300845,0.108989,0.218678,0.451263,0.11785,0.247537,187.824
-581.036,0.999049,0.072851,6,63,0,585.7,4568.59,0.340153,0.163747,0.209113,0.273069,0.202782,0.155813,196.327
-577.612,0.999859,0.072851,5,31,0,582.878,4397.75,0.327801,0.148829,0.232303,0.377893,0.162433,0.264155,186.423
-577.407,0.999844,0.072851,4,31,0,579.82,4378.5,0.327952,0.143601,0.236325,0.381589,0.167149,0.247875,187.697
-581.987,0.974408,0.072851,5,31,0,582.519,4303,0.331073,0.137735,0.232537,0.441788,0.178859,0.225861,159.191
