# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\lz_ezppb.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121040_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0692426
# Diagonal elements of inverse mass matrix:
# 33002.4, 0.000295571, 0.00121609, 0.00119127, 0.00388159, 0.00318917, 0.00831199, 0.00570834
-582.505,0.966928,0.0692426,6,63,0,587.39,4552.51,0.324289,0.0796069,0.186812,0.382113,0.210177,0.21534,176.092
-583.275,0.897562,0.0692426,6,63,0,587.912,4326.44,0.298371,0.229491,0.285097,0.300159,0.147463,0.298259,199.992
-579.527,0.959497,0.0692426,6,63,0,585.425,4445.6,0.328254,0.134717,0.21708,0.442413,0.112304,0.219256,195.464
-580.316,0.92536,0.0692426,6,63,0,583.677,4400.43,0.323734,0.130336,0.25851,0.323219,0.234637,0.221685,174.705
-581.243,0.998605,0.0692426,6,63,0,583.64,4443.55,0.312891,0.164281,0.215648,0.427051,0.149961,0.164905,221.866
-580.384,0.831119,0.0692426,6,63,0,585.415,4352.86,0.333057,0.156156,0.235518,0.34718,0.162914,0.281421,169.436
-580.442,0.999515,0.0692426,6,63,0,583.965,4590.16,0.30741,0.141739,0.208007,0.311599,0.161226,0.23717,214.129
-580.441,0.93144,0.0692426,6,63,0,584.222,4464.08,0.315916,0.106421,0.252487,0.343005,0.155188,0.318041,204.735
-579.722,0.876275,0.0692426,6,63,0,583.683,4479.44,0.311239,0.114213,0.251011,0.356734,0.137745,0.304067,184.782
-579.764,0.997407,0.0692426,6,63,0,582.458,4477.18,0.321569,0.104067,0.254871,0.348197,0.138568,0.278948,193.122
-579.326,0.999783,0.0692426,6,63,0,581.095,4468.64,0.329433,0.188126,0.190295,0.372494,0.154934,0.188518,179.285
-578.934,0.948279,0.0692426,6,63,0,581.648,4389.85,0.318662,0.115158,0.228724,0.402961,0.209884,0.261542,195.416
