# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\9prpim2r.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121210_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0766701
# Diagonal elements of inverse mass matrix:
# 1795.48, 4.40272e-005, 0.000130483, 0.000135163, 0.000325512, 0.000398411, 0.000748184, 0.000482393
-5824.65,0.995993,0.0766701,5,63,0,5827.57,5092.72,0.309521,0.0193228,0.162617,0.255084,0.123252,0.136735,195.253
-5820.53,0.932517,0.0766701,5,31,0,5828.23,5058.16,0.310665,0.0466728,0.174299,0.243246,0.106905,0.122716,207.66
-5820.63,0.990376,0.0766701,5,63,0,5826.64,4993.68,0.312809,0.0542447,0.191478,0.264546,0.108934,0.111872,206.922
-5818.93,0.897451,0.0766701,6,63,0,5823.97,5034.7,0.300984,0.036406,0.19129,0.256223,0.132306,0.120257,199.198
-5819.62,0.994606,0.0766701,6,63,0,5821.54,4986.65,0.31019,0.0396279,0.20591,0.237521,0.140939,0.132818,203.467
-5820.5,0.999406,0.0766701,6,63,0,5822.2,4950.08,0.309241,0.0367769,0.199072,0.250732,0.160747,0.157018,203.017
-5820.08,0.995296,0.0766701,6,63,0,5822.86,5065.38,0.307538,0.0575955,0.171919,0.245852,0.142497,0.0637211,200.798
-5822.95,0.943137,0.0766701,5,31,0,5824.93,5040.93,0.308809,0.0637295,0.165737,0.257645,0.14742,0.0718088,195.826
-5819.45,0.996348,0.0766701,5,31,0,5824.69,5018.03,0.307212,0.0559343,0.183877,0.257833,0.135909,0.0735372,201.522
-5818.54,0.95511,0.0766701,5,31,0,5820.69,5011.07,0.309851,0.0522934,0.18315,0.250877,0.145782,0.0841429,203.471
-5820.56,0.920953,0.0766701,5,63,0,5822.69,5024.8,0.308112,0.0454648,0.192004,0.215641,0.163387,0.105088,201.348
-5822.34,0.991317,0.0766701,6,63,0,5823.95,4963.55,0.309322,0.0467437,0.184332,0.292812,0.137389,0.121358,205.266
-5819.96,0.998055,0.0766701,6,63,0,5827.74,5048.83,0.308004,0.0437374,0.197003,0.206438,0.147584,0.112464,202.056
-5820.94,0.998751,0.0766701,6,63,0,5825.97,5009.46,0.317427,0.0521789,0.176443,0.229422,0.172047,0.0935884,204.919
-5821.1,0.959219,0.0766701,6,63,0,5828.19,4989.02,0.301014,0.0425745,0.196395,0.280271,0.119725,0.127798,203.25
-5821.65,0.980632,0.0766701,6,63,0,5824.82,4936.9,0.318306,0.0448663,0.205201,0.251155,0.143956,0.127376,199.076
-5821.07,0.968553,0.0766701,6,63,0,5824.82,4987.73,0.308762,0.0412653,0.186731,0.272732,0.155671,0.0763289,209.402
-5825,0.98629,0.0766701,5,31,0,5828.14,4928.01,0.297471,0.0606707,0.204396,0.265404,0.1823,0.117319,209.676
-5822.37,0.949543,0.0766701,6,63,0,5827.73,4947.67,0.317769,0.0430157,0.185029,0.271228,0.134177,0.135967,196.66
