# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:12:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\9prpim2r.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121210_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0774367
# Diagonal elements of inverse mass matrix:
# 2275.64, 3.8768e-005, 0.00013325, 0.000141629, 0.000316483, 0.000427193, 0.000762221, 0.000487463
-5822.62,0.998019,0.0774367,6,63,0,5826.56,5054.76,0.304443,0.0374702,0.19626,0.215146,0.142402,0.152217,198.951
-5820.65,0.942102,0.0774367,5,31,0,5827.03,5064.6,0.310382,0.0254027,0.176823,0.238182,0.139036,0.131,195.712
-5824.44,0.911258,0.0774367,6,63,0,5827.48,4977.66,0.303982,0.0787023,0.200006,0.233928,0.14428,0.114339,208.799
-5822.17,0.992981,0.0774367,6,63,0,5828.02,5098.15,0.305979,0.0253801,0.164237,0.235988,0.153903,0.135456,200.591
-5822.2,0.999948,0.0774367,6,63,0,5826.28,5021.99,0.305761,0.0679166,0.202736,0.235311,0.122437,0.0707819,202.066
-5825.41,0.84541,0.0774367,5,31,0,5829.18,5042.09,0.308985,0.0671754,0.207079,0.216571,0.103006,0.0899889,198.713
-5819.9,0.99982,0.0774367,5,31,0,5827.95,5075.58,0.301974,0.0369764,0.190456,0.21213,0.145263,0.123336,201.1
-5820.42,0.999972,0.0774367,6,63,0,5822.68,4975.81,0.313518,0.0606652,0.178335,0.259838,0.123881,0.137326,204.977
-5819.15,0.999688,0.0774367,6,63,0,5826.06,5094.74,0.303756,0.0278795,0.17698,0.239047,0.137629,0.115769,201.835
-5821.26,0.998752,0.0774367,5,31,0,5822.74,5064.06,0.311186,0.0243554,0.171186,0.256326,0.130234,0.12813,208.691
-5821.11,0.99991,0.0774367,6,63,0,5823.6,5043.21,0.305418,0.0626137,0.192789,0.221158,0.144049,0.0837406,196.365
-5818.76,0.859028,0.0774367,5,31,0,5823.6,5057.66,0.308142,0.049449,0.191595,0.236194,0.123967,0.0815852,200.256
-5820.57,0.998993,0.0774367,6,63,0,5822.64,4992.07,0.312174,0.0256982,0.195228,0.262473,0.128941,0.135352,204.755
-5821.09,0.966463,0.0774367,6,63,0,5823.12,5003.4,0.304795,0.0703156,0.179108,0.242481,0.16539,0.101547,201.903
-5821.28,0.99991,0.0774367,6,63,0,5823.7,5096.11,0.309609,0.0180613,0.188489,0.235914,0.112251,0.113993,204.945
-5823.77,0.959088,0.0774367,6,63,0,5826.5,5160.47,0.311112,0.0228512,0.180822,0.203178,0.108032,0.0975292,207.36
-5821.45,0.967691,0.0774367,6,63,0,5829.52,5023,0.299261,0.0569337,0.174213,0.263123,0.167439,0.0943644,199.473
-5820.33,0.99827,0.0774367,5,63,0,5825.85,5078.86,0.307971,0.0569616,0.168498,0.22617,0.133733,0.096923,208.451
-5821.17,0.990509,0.0774367,5,31,0,5823.02,5109.95,0.302775,0.0520349,0.172398,0.245653,0.105264,0.0922232,206.624
-5818.76,0.944663,0.0774367,5,63,0,5823.6,5039.49,0.310642,0.050929,0.175753,0.244327,0.131778,0.097915,205.832
-5820.44,0.957044,0.0774367,5,63,0,5823.8,4963.15,0.30583,0.0531257,0.203688,0.260209,0.126425,0.12351,205.854
-5819.33,0.999876,0.0774367,6,63,0,5823.22,5051.23,0.310356,0.0402341,0.169512,0.236545,0.163979,0.0983253,201.218
-5822.46,0.938552,0.0774367,5,63,0,5827.9,5031.82,0.308638,0.0520233,0.159456,0.248768,0.170969,0.0955359,198.872
-5818.83,0.971984,0.0774367,5,31,0,5825.42,5039.6,0.309251,0.0515461,0.168194,0.244566,0.159102,0.0985683,202.678
-5818.94,0.996735,0.0774367,5,63,0,5823.27,5065.17,0.310386,0.0477392,0.16876,0.241951,0.147066,0.0826988,200.744
-5818.85,0.94444,0.0774367,5,63,0,5821.86,5014.58,0.305025,0.0373245,0.195612,0.252746,0.143888,0.11068,208.519
-5819.02,0.970567,0.0774367,5,31,0,5821.3,5002.68,0.305178,0.0404063,0.189329,0.269812,0.150527,0.0994372,204.388
-5818.95,0.994025,0.0774367,6,63,0,5821.18,5073.47,0.303468,0.028887,0.18799,0.232534,0.146314,0.104791,206.028
-5820.84,0.989392,0.0774367,5,31,0,5824.05,4996.98,0.297146,0.0381039,0.190494,0.257956,0.167219,0.136838,203.225
-5821.37,0.981612,0.0774367,6,63,0,5826.55,5074.08,0.307322,0.0633741,0.173145,0.221775,0.150955,0.0624092,204.823
-5820.65,0.995227,0.0774367,5,31,0,5822.22,5066.88,0.306796,0.0636359,0.174013,0.226894,0.153016,0.0688783,204.153
-5822.19,0.997217,0.0774367,5,31,0,5823.86,5054.94,0.30346,0.0622221,0.182026,0.225396,0.169756,0.0515161,202.589
-5819.53,0.977166,0.0774367,6,63,0,5825.41,5021.27,0.312314,0.0445505,0.176114,0.252889,0.116784,0.142694,202.586
-5820,0.996436,0.0774367,6,63,0,5822.04,4986.2,0.301221,0.0525885,0.179942,0.274992,0.15272,0.114225,202.753
-5820.5,0.976882,0.0774367,5,63,0,5821.88,4992.2,0.318625,0.039016,0.192742,0.234281,0.148967,0.126807,200.593
