# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\a_izahvw.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121046_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0755681
# Diagonal elements of inverse mass matrix:
# 12712.7, 0.00016292, 0.000658804, 0.000595643, 0.00184854, 0.0023718, 0.00470959, 0.00280863
-1174.12,0.999792,0.0755681,6,63,0,1178.27,4887.31,0.319931,0.0128679,0.185142,0.231082,0.196035,0.299539,224.588
-1171.84,0.984305,0.0755681,6,63,0,1177.45,5070.95,0.319374,0.0291858,0.150505,0.292083,0.118987,0.0996816,191.986
-1174.3,0.999118,0.0755681,6,63,0,1178.15,4914.93,0.346122,0.0655975,0.129384,0.273931,0.0914121,0.253766,205.434
-1172.97,0.995098,0.0755681,5,63,0,1179.23,4989.82,0.31309,0.0263184,0.181996,0.274569,0.220385,0.0348637,203.578
-1171.03,0.999966,0.0755681,5,63,0,1175.37,5057.51,0.310378,0.0182261,0.19065,0.232274,0.153954,0.123224,204.448
-1170.57,0.975622,0.0755681,5,63,0,1176.64,5019.97,0.299416,0.0387266,0.1619,0.278399,0.155143,0.16252,206.445
-1172.54,0.951448,0.0755681,5,31,0,1174.8,5048.99,0.298727,0.0309682,0.151182,0.290412,0.110022,0.202462,195.758
-1171.8,0.994216,0.0755681,5,31,0,1175.35,4948.58,0.315535,0.0471176,0.170335,0.323608,0.120316,0.13573,196.794
-1173.88,0.97903,0.0755681,6,63,0,1178.85,4822.32,0.333775,0.0791547,0.155202,0.246637,0.277473,0.154304,211.626
-1172.65,0.971298,0.0755681,6,63,0,1176.49,5035.55,0.3094,0.00531508,0.176006,0.287591,0.0779699,0.227836,202.028
-1173.28,0.993153,0.0755681,6,63,0,1176.33,5194.4,0.307736,0.0217668,0.126085,0.202838,0.119428,0.227259,220.278
-1175.52,0.978542,0.0755681,6,63,0,1177.7,5266.91,0.32344,-0.0108764,0.110339,0.238269,0.0678809,0.155429,195.848
-1176.19,0.714396,0.0755681,6,63,0,1183.63,4929.24,0.334036,0.0527463,0.135979,0.253965,0.118922,0.252641,226.414
-1175.12,0.997486,0.0755681,5,31,0,1180.4,4978.5,0.335462,0.0379785,0.138656,0.268184,0.10252,0.255678,237.108
-1173.8,0.985807,0.0755681,5,63,0,1178.79,4923.05,0.338996,0.0348668,0.149239,0.258135,0.147575,0.268613,231.41
-1176.69,0.940216,0.0755681,6,63,0,1182.2,5021.84,0.310597,-0.0150613,0.153452,0.231275,0.236704,0.227152,188.793
-1173.13,0.998287,0.0755681,5,31,0,1177.92,5047.88,0.30414,0.0168168,0.154444,0.242696,0.215843,0.206857,190.82
-1173.19,0.999307,0.0755681,6,63,0,1175.08,4828.62,0.336794,0.0630435,0.169435,0.309359,0.125028,0.17775,225.148
-1173.06,0.998031,0.0755681,6,63,0,1176.22,4869.68,0.322108,0.0683314,0.121612,0.335186,0.222683,0.12101,205.591
-1172.76,0.81392,0.0755681,6,63,0,1178.39,5051.61,0.300284,0.0194629,0.167202,0.22676,0.19276,0.219027,187.634
-1170.67,0.99703,0.0755681,5,63,0,1174.86,4925.34,0.315444,0.0694481,0.152104,0.296917,0.161297,0.164497,214.218
-1171.56,0.997248,0.0755681,5,63,0,1173.6,4919.46,0.337175,0.0275544,0.175575,0.266235,0.167211,0.160709,221.438
-1172.57,0.930599,0.0755681,5,63,0,1175.15,4897.84,0.32431,0.0236159,0.20617,0.274718,0.161659,0.160366,222.027
-1175.8,0.90475,0.0755681,6,63,0,1179.52,5052.82,0.315119,0.0288936,0.132723,0.178616,0.179179,0.318652,203.397
-1174.25,0.999974,0.0755681,6,63,0,1180.13,4866.68,0.343131,0.0335248,0.166355,0.348146,0.139924,0.106334,213.579
-1174.48,0.926837,0.0755681,6,63,0,1180.64,4991.37,0.297245,0.0362561,0.17623,0.18965,0.220098,0.294543,207.049
-1174.86,0.803558,0.0755681,6,63,0,1181.91,4986.26,0.301317,0.0333538,0.132254,0.325643,0.172553,0.241075,199.823
-1176.1,0.822693,0.0755681,5,31,0,1182.75,4893.15,0.337239,0.031943,0.192507,0.233742,0.14359,0.170401,199.027
-1173.69,1,0.0755681,5,63,0,1178.77,4814.89,0.336877,0.0298336,0.156068,0.304427,0.193001,0.297746,206.011
-1171.27,0.992484,0.0755681,5,31,0,1175.31,4836.79,0.336684,0.0417417,0.135964,0.292885,0.228196,0.20969,203.637
-1173.13,0.81288,0.0755681,6,63,0,1174.76,5076.17,0.302983,0.037023,0.177795,0.216498,0.129599,0.151069,208.108
-1175.66,0.951959,0.0755681,5,31,0,1179.96,4978.84,0.299812,0.042886,0.184077,0.227459,0.205671,0.161533,182.042
-1172.43,1,0.0755681,6,63,0,1178.42,5102.2,0.315822,0.00512207,0.158811,0.247343,0.137942,0.132784,224.056
-1175.61,0.856292,0.0755681,5,31,0,1179.89,5015.12,0.315447,0.0179854,0.180658,0.275196,0.027786,0.283259,214.577
-1172.95,0.999322,0.0755681,6,63,0,1179.74,5274.39,0.303308,0.00647197,0.138102,0.20625,0.120992,0.13754,202.052
-1173.97,0.999903,0.0755681,5,31,0,1177.08,5300.76,0.301075,0.00385047,0.141038,0.198091,0.109222,0.108469,202.353
-1171.65,0.9599,0.0755681,6,63,0,1177.16,4939.45,0.312222,0.0296031,0.153137,0.265502,0.179852,0.259476,218.954
-1172.66,0.998573,0.0755681,6,63,0,1174.58,4896.36,0.308769,0.0218054,0.216841,0.260693,0.177111,0.222864,204.4
-1173.87,0.913356,0.0755681,6,63,0,1177.22,5019.9,0.292109,0.0378398,0.16514,0.291192,0.15963,0.209317,216.411
-1173.31,0.974473,0.0755681,6,63,0,1178.68,5070.05,0.306425,0.0144937,0.163181,0.259832,0.0769622,0.294233,201.799
-1172.95,0.853499,0.0755681,6,63,0,1178.1,5029.3,0.314841,0.0157831,0.205794,0.197816,0.13665,0.220746,214.287
-1176.49,0.997184,0.0755681,5,63,0,1180.18,4894.65,0.306535,0.0743447,0.11484,0.269781,0.249096,0.292342,204.213
-1174.03,0.992426,0.0755681,5,31,0,1182.87,4880.7,0.317691,0.063972,0.130759,0.244252,0.261701,0.274523,210.056
-1176.49,0.984183,0.0755681,6,63,0,1181.98,4732,0.316718,0.0392327,0.143558,0.359201,0.237505,0.315794,195.603
-1176.08,0.935219,0.0755681,6,63,0,1179.89,5079.33,0.326389,0.0459453,0.192402,0.210201,0.0989946,0.04246,218.436
-1176.02,0.998276,0.0755681,6,63,0,1180.79,4932.14,0.324521,0.0310151,0.12314,0.23061,0.269007,0.30822,214.307
-1175.7,0.989278,0.0755681,5,63,0,1181.01,4881.37,0.345924,0.0752456,0.125073,0.211349,0.239013,0.224105,219.166
-1177.39,0.938545,0.0755681,6,63,0,1183.18,4756.47,0.306903,0.0628135,0.193369,0.364783,0.256285,0.0325993,207.516
-1175.44,0.912044,0.0755681,6,63,0,1183.67,4814.68,0.342301,0.0496131,0.158023,0.235932,0.15959,0.356768,215.558
-1173.79,0.957572,0.0755681,5,31,0,1180.97,4851.16,0.340772,0.0360719,0.157655,0.24839,0.192727,0.318713,207.593
-1180.55,0.980216,0.0755681,4,15,0,1181.83,4786.01,0.355323,0.0517955,0.154399,0.226952,0.205761,0.353663,192.082
-1170.14,0.929928,0.0755681,6,63,0,1182.43,4863.16,0.326436,0.0504658,0.165219,0.26391,0.174417,0.249049,208.038
-1173.22,0.902111,0.0755681,5,31,0,1174.53,4964.72,0.326584,0.0237397,0.151764,0.276055,0.0953673,0.261473,219.368
-1173.77,0.971294,0.0755681,6,63,0,1177.64,4978.31,0.316526,0.0250062,0.172846,0.225549,0.164494,0.315178,207.473
-1170.92,0.999801,0.0755681,6,63,0,1174.98,5065.86,0.307526,0.0190668,0.18487,0.231338,0.147938,0.176212,207.406
-1170.96,0.985846,0.0755681,6,63,0,1177.41,4888.05,0.320799,0.0677301,0.15016,0.252985,0.232361,0.183577,200.204
-1172.3,0.966504,0.0755681,5,63,0,1175.49,4914.01,0.321802,0.059875,0.14652,0.221157,0.252485,0.202561,202.676
-1173.06,0.942491,0.0755681,6,63,0,1178.55,5041,0.322139,0.0156406,0.162317,0.305506,0.0759867,0.180697,213.457
-1172.05,0.998999,0.0755681,5,31,0,1178.85,4942.33,0.310004,0.0376713,0.161592,0.235701,0.221628,0.263706,218.394
-1169.47,0.999942,0.0755681,6,63,0,1172.91,4898.01,0.330144,0.0535121,0.156658,0.267942,0.179415,0.199098,203.462
-1170.22,0.948901,0.0755681,5,63,0,1172.07,4882.48,0.31754,0.0442331,0.167502,0.252921,0.210324,0.246209,208.352
-1170.96,0.951407,0.0755681,5,63,0,1174.3,4959.96,0.319587,0.0430571,0.140083,0.237181,0.204593,0.265075,201.808
-1171.63,0.958961,0.0755681,6,63,0,1173.56,4911.32,0.313875,0.0745894,0.173352,0.286236,0.152138,0.117081,212.274
-1171.21,0.927854,0.0755681,6,63,0,1174.91,5006.53,0.337101,0.00902162,0.16216,0.245374,0.164104,0.179479,207.315
-1171.47,0.982542,0.0755681,6,63,0,1174.15,4955.94,0.310654,0.0401853,0.158524,0.317524,0.189595,0.118593,208.721
-1172.85,0.990262,0.0755681,5,31,0,1175,4811.17,0.335049,0.0277838,0.177637,0.259322,0.255302,0.230101,198.193
-1172.66,0.994374,0.0755681,6,63,0,1175.25,5149.35,0.305848,0.0488204,0.136754,0.271679,0.0806046,0.137826,210.774
-1177.54,0.97869,0.0755681,5,31,0,1180.15,4909.74,0.331082,0.0174331,0.182505,0.168252,0.243988,0.295834,192.864
-1173.96,0.963138,0.0755681,5,63,0,1181.24,4810.5,0.323071,0.0105277,0.183037,0.255822,0.24446,0.311241,200.887
