# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:46 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\a_izahvw.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121046_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0865197
# Diagonal elements of inverse mass matrix:
# 12864, 0.000181499, 0.000537681, 0.000634805, 0.00150454, 0.00209022, 0.00371376, 0.00284434
-1169.74,0.988046,0.0865197,5,31,0,1174.65,4863,0.32335,0.0523855,0.17944,0.284238,0.184718,0.17845,203.896
-1173.73,0.508097,0.0865197,6,63,0,1180.98,5067.11,0.315143,0.0221229,0.132083,0.256104,0.145205,0.166969,218.26
-1174.57,0.961466,0.0865197,5,63,0,1178.5,5040.64,0.325994,0.00766113,0.125669,0.282946,0.11023,0.209331,217.843
-1172.63,0.981976,0.0865197,6,63,0,1176.48,4988.68,0.32202,0.0499897,0.166107,0.216165,0.144548,0.181611,201.728
-1175.52,0.990886,0.0865197,5,31,0,1178.66,5094.09,0.337557,0.0208708,0.137992,0.203117,0.176647,0.0989867,185.914
-1175.51,1,0.0865197,5,31,0,1180.39,5079.9,0.295485,0.033104,0.18265,0.308027,0.07059,0.139703,212.574
-1171.97,0.99995,0.0865197,5,31,0,1178.09,5123.73,0.311559,0.0359658,0.145682,0.268201,0.0778329,0.130858,211.027
-1170.12,0.99711,0.0865197,5,31,0,1172.58,5076.88,0.322844,0.0200989,0.149737,0.232918,0.136411,0.169675,197.372
-1171,0.957697,0.0865197,6,63,0,1174.44,5003.45,0.31051,0.0290778,0.155167,0.273946,0.163825,0.160224,217.17
-1171.55,0.997372,0.0865197,5,31,0,1173.2,4944.13,0.311054,0.0374634,0.190453,0.290702,0.115676,0.158596,208.779
-1170.42,0.998733,0.0865197,5,63,0,1172.84,4946.11,0.313072,0.0766416,0.156223,0.26866,0.161346,0.170926,204.002
-1170.29,0.987415,0.0865197,5,31,0,1172.65,4899.85,0.327129,0.0493818,0.151623,0.307154,0.125922,0.213928,207.32
-1172.75,0.990434,0.0865197,5,31,0,1174.53,4939.67,0.309162,0.00346361,0.189313,0.234101,0.240787,0.221561,204.602
-1175.47,0.894887,0.0865197,6,63,0,1179.32,4984.25,0.330699,0.0515155,0.129113,0.228531,0.15756,0.29969,231.88
-1172.33,0.99624,0.0865197,5,31,0,1178.11,5023.74,0.304641,0.0167073,0.133717,0.307396,0.159525,0.188906,212.307
-1172.32,0.964902,0.0865197,5,31,0,1174.73,4931.26,0.332142,0.0221966,0.181191,0.25981,0.125816,0.198044,191.84
-1173.97,0.999956,0.0865197,6,63,0,1176.71,5114.81,0.302551,0.0385755,0.131806,0.199403,0.197566,0.198789,223.194
-1176.4,0.992542,0.0865197,5,31,0,1180.52,4974.32,0.31181,0.0650059,0.137085,0.201256,0.278608,0.218848,196.03
-1171.92,0.995421,0.0865197,5,31,0,1181.57,4979.56,0.31745,0.0600564,0.127861,0.238613,0.231831,0.183925,196.959
-1173.07,0.635235,0.0865197,6,63,0,1178.85,4955.69,0.314321,0.033062,0.208064,0.26782,0.110959,0.151471,221.066
-1173.79,0.972528,0.0865197,6,63,0,1179.07,4951.28,0.328509,0.00146437,0.188016,0.275425,0.164629,0.127244,187.265
-1173.55,0.998967,0.0865197,6,63,0,1179.1,4991.21,0.329399,-0.00251103,0.180816,0.267383,0.175369,0.130847,187.387
-1171.2,0.992305,0.0865197,5,31,0,1175.55,5053.64,0.308808,0.0132642,0.162926,0.233098,0.200636,0.153258,214.563
-1172.3,0.801473,0.0865197,5,31,0,1174.24,4929.88,0.320028,0.0650476,0.162612,0.250765,0.145257,0.1814,202.57
-1171.73,0.999726,0.0865197,5,31,0,1174.81,4887.95,0.33335,0.0546145,0.186857,0.264507,0.121917,0.202996,213.77
-1171.27,0.959366,0.0865197,6,63,0,1174.37,4969.63,0.300106,0.0514469,0.156672,0.282726,0.142757,0.234694,200.977
-1172.11,0.994815,0.0865197,6,63,0,1174.35,4931.27,0.319015,0.0202652,0.170366,0.327358,0.160328,0.124563,221.739
-1171.85,0.955335,0.0865197,5,31,0,1174.08,4852.24,0.330047,0.0426154,0.169375,0.318477,0.175626,0.151707,224.744
-1172.85,0.972699,0.0865197,6,63,0,1176.44,5186.66,0.314078,0.015261,0.13344,0.195096,0.131112,0.197168,189.325
-1172.25,0.999869,0.0865197,5,63,0,1178.31,4814.53,0.324052,0.0677255,0.156918,0.269936,0.250486,0.18806,218.913
-1170.67,0.907705,0.0865197,5,63,0,1174.53,4968.23,0.315372,0.0375097,0.153538,0.276178,0.168419,0.156431,208.64
-1174.41,0.941539,0.0865197,5,31,0,1175.01,5072.98,0.310163,-0.00493232,0.150938,0.277121,0.21728,0.138941,211.377
-1172.53,0.996076,0.0865197,6,63,0,1177.38,4977.29,0.312001,0.0478953,0.16235,0.255005,0.125816,0.226465,187.18
-1174.67,0.871678,0.0865197,5,31,0,1179.36,5075.26,0.316881,0.00409234,0.170745,0.26963,0.0744444,0.19153,183.638
-1172.95,0.904129,0.0865197,5,31,0,1178.88,4995.07,0.317855,0.0113294,0.184333,0.302988,0.086893,0.15393,197.002
-1173.84,0.993826,0.0865197,6,63,0,1175.87,5176.14,0.32254,0.0377559,0.103925,0.183843,0.198971,0.164535,206.236
-1171.65,0.857261,0.0865197,5,31,0,1176.31,5149.01,0.314669,0.0324837,0.131159,0.199326,0.191651,0.146292,198.383
-1171.52,0.999479,0.0865197,6,63,0,1175.83,4812.28,0.319536,0.0342187,0.175156,0.327026,0.190894,0.203478,220.047
-1170.18,0.994397,0.0865197,6,63,0,1173.6,5074.43,0.322401,0.0370318,0.144846,0.233037,0.138826,0.169647,191.544
-1175.74,0.808303,0.0865197,5,31,0,1177.77,5146.5,0.286129,0.0470254,0.193586,0.209618,0.117333,0.127239,224.375
-1175.4,0.770255,0.0865197,5,31,0,1180.13,5086.79,0.281227,0.0459417,0.185658,0.248477,0.107702,0.168549,212.373
-1174.61,0.98865,0.0865197,6,63,0,1179.41,4984.36,0.355657,0.00823378,0.130346,0.239727,0.189825,0.209016,203.257
-1173.79,0.998941,0.0865197,5,63,0,1185.78,4899.86,0.332217,0.0494456,0.202644,0.277059,0.101368,0.116359,212.385
-1170.23,0.987221,0.0865197,5,31,0,1174.87,4868.03,0.319246,0.0521274,0.174376,0.304753,0.146734,0.18483,202.274
-1172.47,0.946838,0.0865197,5,63,0,1174.21,4877.96,0.321021,0.0428207,0.187856,0.273454,0.114857,0.281625,193.59
-1173.65,0.902265,0.0865197,5,31,0,1175.46,4842.89,0.326685,0.0421368,0.210576,0.267575,0.128942,0.25153,195.682
-1173.13,0.998546,0.0865197,5,63,0,1179.46,4817.49,0.330829,0.0423879,0.197329,0.308365,0.107308,0.248945,202.872
-1171.04,0.976547,0.0865197,5,31,0,1175.51,4970.5,0.326345,0.037453,0.168608,0.241767,0.106201,0.248892,206.518
-1171.46,0.953597,0.0865197,6,63,0,1176.02,4882.51,0.322643,0.0372025,0.15488,0.267521,0.244977,0.177551,194.021
-1171.45,0.958354,0.0865197,5,31,0,1173.49,4859.44,0.338159,0.0449784,0.168818,0.256491,0.206194,0.150583,206.43
-1173.13,0.953417,0.0865197,6,63,0,1177.94,4885.78,0.301634,0.0421099,0.170363,0.321736,0.19562,0.224471,214.346
-1170.79,0.995004,0.0865197,6,63,0,1174.05,4830.62,0.31283,0.0424375,0.180313,0.300237,0.196747,0.24008,213.689
-1173.37,0.912858,0.0865197,5,31,0,1174.56,4712.36,0.338018,0.0713595,0.165708,0.300502,0.25414,0.219877,207.202
-1171.4,0.990397,0.0865197,6,63,0,1176.54,5161.61,0.301706,0.0162616,0.148307,0.25598,0.109298,0.152682,207.139
-1171.69,0.846239,0.0865197,5,63,0,1175.23,4930.97,0.341374,0.0175688,0.168056,0.257588,0.127528,0.225263,212.312
-1170.73,0.998428,0.0865197,5,31,0,1175.52,4969.57,0.32644,0.0146697,0.16559,0.24337,0.180626,0.199898,217.574
-1171.58,0.98996,0.0865197,5,31,0,1173.82,4913.79,0.31466,0.0426996,0.188325,0.215009,0.190083,0.272178,206.277
-1177.27,0.967149,0.0865197,5,31,0,1180.8,5263.41,0.329524,0.0278529,0.105,0.256623,0.0533794,0.0549452,225.186
-1175.44,0.985562,0.0865197,5,31,0,1180.73,5246.27,0.320808,0.0362812,0.105607,0.256943,0.0675224,0.08423,221.374
-1182.15,0.954559,0.0865197,5,31,0,1184.9,5287.09,0.340573,0.0112272,0.0922945,0.293247,-0.0104913,0.0647913,218.15
-1178.81,0.959886,0.0865197,6,63,0,1187.08,4660.71,0.347602,0.0863427,0.199431,0.260437,0.272121,0.169856,233.815
-1173.73,0.994545,0.0865197,5,31,0,1179.97,4746.57,0.326858,0.0719409,0.196781,0.299465,0.211441,0.16734,228.645
-1171.35,0.994793,0.0865197,6,63,0,1175.27,4880.63,0.311525,0.0468858,0.182416,0.269573,0.189292,0.226552,188.328
-1170.88,0.99878,0.0865197,6,63,0,1175.23,5057.83,0.333145,0.0297499,0.138395,0.267215,0.122002,0.12562,214.028
-1171.04,0.996376,0.0865197,6,63,0,1175.64,5069.86,0.330125,0.0307833,0.161659,0.20097,0.151802,0.1488,195.077
-1174.72,0.729075,0.0865197,6,63,0,1176.04,5105.84,0.308438,0.00786092,0.134889,0.269677,0.135023,0.158682,226.807
-1172.64,0.97463,0.0865197,5,63,0,1177.11,4836.63,0.342939,0.0416074,0.18306,0.272504,0.191108,0.160419,191.209
-1169.67,0.950868,0.0865197,4,31,0,1174.97,4937.98,0.317828,0.0432627,0.164282,0.271314,0.178765,0.206176,205.47
-1171.66,0.997769,0.0865197,5,31,0,1172.74,5086.59,0.31364,0.0527765,0.146409,0.204355,0.124035,0.245495,201.541
-1171.08,0.913779,0.0865197,5,63,0,1175.77,5090.09,0.321088,0.0495408,0.132965,0.218044,0.125063,0.224785,203.823
-1173,0.933961,0.0865197,5,31,0,1174,5138.74,0.322349,0.0601951,0.125355,0.203702,0.111461,0.197983,214.662
-1171.86,0.998725,0.0865197,6,63,0,1177.31,4831.54,0.306316,0.0285459,0.177947,0.323169,0.217003,0.205321,204.679
