# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\faadu1s9.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121052_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0895351
# Diagonal elements of inverse mass matrix:
# 9807.47, 0.000112489, 0.000458588, 0.000455141, 0.00140969, 0.00167916, 0.00267291, 0.00197533
-1766.34,0.999483,0.0895351,5,31,0,1769.56,5157.54,0.309586,-0.0109597,0.133057,0.242093,0.18887,0.134599,231.606
-1764.2,0.99649,0.0895351,6,63,0,1771.18,5191.43,0.312513,0.0220004,0.139429,0.236837,0.160071,0.0268157,203.608
-1762.88,0.978642,0.0895351,5,31,0,1767.51,5221.78,0.302609,0.0161329,0.148254,0.215729,0.145915,0.0599538,215.763
-1765.37,0.994152,0.0895351,5,31,0,1768.25,5240.65,0.290701,0.0521308,0.155903,0.217211,0.113607,0.0498735,217.378
-1760.3,0.999981,0.0895351,5,31,0,1767.4,5188.38,0.281074,-0.0115346,0.16639,0.251559,0.188112,0.0859816,209.874
-1763.14,0.803214,0.0895351,5,31,0,1764.53,5246.99,0.275733,-0.0190389,0.167563,0.246539,0.166932,0.0548533,219.109
-1761.17,0.999838,0.0895351,5,31,0,1765.55,5126.05,0.280879,-0.01953,0.169554,0.311944,0.187777,0.0676092,209.89
-1761.89,0.988778,0.0895351,5,31,0,1764.85,5003.73,0.3066,0.0538833,0.174664,0.250046,0.176476,0.0992458,202.215
-1760.18,0.961817,0.0895351,5,31,0,1763.81,5041.46,0.30074,0.0237837,0.1654,0.278017,0.185249,0.0850938,197.91
-1760.47,0.979438,0.0895351,5,31,0,1763.63,5130.29,0.280512,0.00835073,0.174027,0.241468,0.207037,0.12835,212.125
-1760.88,0.965187,0.0895351,6,63,0,1764.34,4976.39,0.310954,0.0399295,0.17084,0.283868,0.178185,0.094254,211.631
-1764.73,0.985505,0.0895351,5,31,0,1766.51,4893.97,0.315903,-0.00181297,0.197267,0.259423,0.278463,0.129092,206.408
-1762.97,0.977553,0.0895351,5,31,0,1765.79,5125.29,0.277372,0.0410077,0.164807,0.310508,0.148227,0.0327008,212.959
-1762.91,0.998421,0.0895351,5,63,0,1767.48,4973.6,0.295535,0.0312689,0.157443,0.365971,0.180741,0.0611129,210.024
-1760.25,1,0.0895351,5,31,0,1764.47,5017.63,0.284548,0.00625031,0.202928,0.2645,0.222498,0.112139,208.272
-1769.77,0.510149,0.0895351,5,31,0,1771.04,5055.11,0.30787,0.0632223,0.140544,0.239025,0.161504,0.0875448,222.968
-1767.12,0.988777,0.0895351,6,63,0,1773.58,4995.89,0.280474,-0.011593,0.201525,0.254715,0.268157,0.102013,212.01
-1760.5,0.998915,0.0895351,5,31,0,1767.67,5029.95,0.292257,-0.00849358,0.178499,0.279643,0.26299,0.0745784,208.946
-1760.88,0.996493,0.0895351,5,63,0,1762.94,5167.91,0.295872,0.00242766,0.170927,0.264812,0.146567,0.0329202,216.461
-1762.58,0.971798,0.0895351,5,31,0,1765.52,5235.21,0.293433,0.00865578,0.162657,0.247134,0.123847,0.0128877,214.863
-1760.26,0.999872,0.0895351,5,31,0,1763.99,5164.71,0.295065,0.0165312,0.154267,0.234954,0.226512,0.0213647,207.049
-1760.58,0.970007,0.0895351,5,31,0,1761.59,5164.86,0.295831,-0.0023141,0.155044,0.250455,0.224119,0.0359015,204.626
-1765.29,0.966816,0.0895351,5,31,0,1767.85,4972.37,0.296567,0.0451315,0.17552,0.26831,0.184906,0.184271,235.609
-1763.33,0.985187,0.0895351,6,63,0,1769.3,5116.91,0.295744,0.0294046,0.145842,0.252763,0.232235,0.048679,189.535
-1759.13,0.986515,0.0895351,5,63,0,1764.31,5061.15,0.291283,8.1018e-005,0.178253,0.282279,0.209433,0.0916785,205.09
-1761.11,0.999017,0.0895351,4,31,0,1763.62,4990.61,0.289027,0.0363449,0.200532,0.275941,0.176813,0.115457,219.086
-1760.67,0.998289,0.0895351,5,63,0,1767.42,5017.34,0.304999,-0.000925362,0.177469,0.251245,0.248112,0.0952366,213.816
-1761.41,0.987566,0.0895351,5,63,0,1763.11,5060.55,0.312971,0.00509291,0.174589,0.254956,0.198142,0.0673777,217.796
-1760.55,0.999926,0.0895351,5,31,0,1762.85,5075.77,0.307291,-0.00609977,0.175604,0.254016,0.216337,0.0615363,210.778
-1761.52,0.953602,0.0895351,5,31,0,1762.33,5078.57,0.27148,0.0379143,0.181677,0.287973,0.195658,0.0661226,209.438
-1761.41,0.92547,0.0895351,5,31,0,1765.04,5086.05,0.282379,0.0036212,0.156432,0.28648,0.241615,0.0587069,218.436
-1760.81,0.887068,0.0895351,5,31,0,1766.57,5041.58,0.289485,0.0295972,0.178269,0.310418,0.182651,0.055875,210.887
-1768.19,0.952856,0.0895351,5,31,0,1770.62,4978.6,0.31937,0.0538829,0.119105,0.293883,0.185499,0.172401,223.387
-1764.03,0.94228,0.0895351,5,31,0,1772.19,4982.27,0.311715,-0.000778829,0.150681,0.32697,0.224016,0.0651668,225.997
-1761.92,0.993556,0.0895351,5,31,0,1767.1,4985.24,0.305301,-0.00235659,0.159451,0.331116,0.225671,0.0685136,219.34
-1761.75,0.999493,0.0895351,5,31,0,1764.34,4988.84,0.306097,-0.00301543,0.159639,0.328262,0.222213,0.0699999,218.013
-1762.71,0.999359,0.0895351,5,31,0,1763.95,4972.93,0.284179,0.0447579,0.20905,0.242879,0.222968,0.11771,199.806
-1762.38,0.964384,0.0895351,5,31,0,1764.88,5178.58,0.297707,-0.013569,0.14048,0.28504,0.170478,0.0628657,220.39
-1763.52,0.997815,0.0895351,6,63,0,1766.4,4953.05,0.287336,0.0251364,0.205062,0.272637,0.276242,0.0438929,229.248
-1764.49,0.998305,0.0895351,5,63,0,1768.74,5025.11,0.292276,-0.0174389,0.188432,0.334365,0.243834,-0.0291056,210.866
-1761.79,0.984394,0.0895351,6,63,0,1766.75,5147.99,0.278936,0.0360622,0.168734,0.23994,0.155989,0.130287,211.953
-1761.67,0.99637,0.0895351,5,31,0,1764.02,5148.63,0.280536,0.0366133,0.168572,0.236527,0.157648,0.128146,211.634
-1758.9,0.999636,0.0895351,4,31,0,1763.03,5107.54,0.293553,0.0084869,0.170054,0.261504,0.196648,0.076506,212.807
-1761.26,0.853559,0.0895351,5,31,0,1762.25,5040.81,0.282967,0.0181719,0.169351,0.312744,0.195975,0.124917,211.685
-1759.29,0.998102,0.0895351,5,31,0,1762.65,5064.03,0.291993,0.0182409,0.158005,0.293135,0.202717,0.0697578,202.426
-1760.84,0.991864,0.0895351,5,63,0,1762.08,5155.43,0.281594,0.038684,0.159152,0.243687,0.202204,0.0504307,219.245
-1761.81,0.91401,0.0895351,5,63,0,1764.86,5012.02,0.290709,-0.0202792,0.170773,0.300118,0.235453,0.1549,213.336
-1760.61,0.857909,0.0895351,5,31,0,1765.01,4960.54,0.298539,0.0380032,0.177496,0.266518,0.258042,0.0630441,202.094
-1761.49,0.936503,0.0895351,5,63,0,1763.96,5042.56,0.28557,0.0197558,0.181826,0.243313,0.223307,0.119508,197.334
-1760.47,0.995055,0.0895351,5,31,0,1762.61,5026.1,0.292447,0.0232451,0.16331,0.249312,0.240489,0.126163,207.159
-1762.53,0.889597,0.0895351,5,31,0,1764.94,5029.08,0.295502,0.00152275,0.148102,0.270586,0.224801,0.200593,209.251
-1762.64,0.99761,0.0895351,6,63,0,1767.65,4947.34,0.300025,0.0375876,0.21255,0.289216,0.214157,-0.00122926,219.529
-1762.28,0.989426,0.0895351,5,63,0,1765.92,5001.57,0.283585,0.00466083,0.221852,0.297265,0.188826,0.067159,214.172
-1763.8,0.772856,0.0895351,5,63,0,1766.84,4936.32,0.292435,0.00263532,0.213417,0.267379,0.233312,0.107782,208.072
-1764.46,0.997855,0.0895351,5,31,0,1769.88,5066.13,0.290923,-0.00831457,0.1569,0.284399,0.266208,0.0978953,232.037
-1768.39,0.869573,0.0895351,5,31,0,1770.97,4942.51,0.315107,0.0463774,0.16949,0.325586,0.161482,0.0932228,194.281
-1762.24,0.997253,0.0895351,5,31,0,1769.53,4971.54,0.298444,0.04069,0.184237,0.305522,0.185211,0.0771164,194.771
-1763.09,0.966723,0.0895351,5,63,0,1767.06,5056.73,0.297122,0.0185904,0.207963,0.224653,0.171736,0.133235,205.973
-1760.32,0.999889,0.0895351,6,63,0,1764.31,5085.58,0.287612,0.0357985,0.144907,0.265225,0.224645,0.0838214,215.613
-1760.69,0.962537,0.0895351,5,31,0,1763.01,5079.84,0.29637,-0.00287227,0.178744,0.277884,0.166171,0.0861386,201.561
