# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:52 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\faadu1s9.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121052_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.066528
# Diagonal elements of inverse mass matrix:
# 9964.33, 0.000117791, 0.000444649, 0.000459569, 0.00137762, 0.0013779, 0.00304193, 0.00153972
-1761.41,0.992817,0.066528,6,63,0,1766.54,5147.01,0.282986,0.0437431,0.181985,0.241932,0.156045,0.0470643,210.545
-1762.24,0.986156,0.066528,6,63,0,1765.89,4933.12,0.304969,-0.00266111,0.162985,0.30667,0.275491,0.12335,209.755
-1761.21,0.999401,0.066528,6,63,0,1764.6,4955.85,0.300586,0.0196024,0.155299,0.313195,0.248987,0.102326,221.648
-1764.29,0.955895,0.066528,6,63,0,1768.53,4860.92,0.311011,0.0393,0.183648,0.25378,0.288492,0.159153,206.915
-1763.12,0.960326,0.066528,6,63,0,1768.45,5182.98,0.287998,-0.00273682,0.155072,0.300685,0.136174,0.0279436,220.163
-1764.51,0.968474,0.066528,6,63,0,1767.04,4969.62,0.297759,0.0429078,0.182503,0.204309,0.281491,0.115236,204.394
-1764.7,0.977996,0.066528,6,63,0,1769.94,4968.97,0.299479,0.0555662,0.173183,0.231174,0.288478,0.103317,205.102
-1766.33,0.999992,0.066528,6,63,0,1768.59,5264.35,0.283439,-0.0337225,0.167619,0.292945,0.122767,0.0527628,216.838
-1761.99,0.988702,0.066528,6,63,0,1769.36,5006.8,0.301323,0.0253215,0.188457,0.239016,0.237581,0.119046,207.36
-1760.62,0.999252,0.066528,5,63,0,1763.07,4965.79,0.307633,0.0346834,0.183096,0.240724,0.232357,0.113758,213.142
-1762.16,0.997264,0.066528,6,63,0,1763.53,5163.69,0.28925,0.00499446,0.13953,0.317764,0.17993,0.00829472,209.852
-1765.47,0.868621,0.066528,6,63,0,1768.68,5070.22,0.300554,-0.0116391,0.159121,0.327352,0.169887,0.0335502,228.866
-1764.37,0.990387,0.066528,6,63,0,1767.63,5113.33,0.298014,-0.0035239,0.163424,0.325441,0.163221,0.0197661,227.772
-1764.02,0.987056,0.066528,6,63,0,1768.91,5155.61,0.292024,0.026454,0.177145,0.180618,0.195512,0.0847976,198.029
-1763.81,0.989486,0.066528,6,63,0,1769.27,5069.24,0.283749,-0.00183749,0.154432,0.355833,0.192285,0.050095,225.867
-1760.64,0.964098,0.066528,6,63,0,1766.06,5108.32,0.292731,0.0207687,0.188209,0.209296,0.187954,0.103535,211.966
-1762.43,0.999654,0.066528,5,63,0,1763.2,5058.87,0.293238,0.0301915,0.199247,0.20172,0.189757,0.138274,215.255
-1760.97,0.98258,0.066528,6,63,0,1765.14,5038.79,0.29565,0.052075,0.157937,0.270034,0.176436,0.097466,212.407
-1764.22,0.971481,0.066528,5,31,0,1766,5011.77,0.285488,0.0698022,0.180221,0.29917,0.161771,0.0291585,215.394
-1766,0.837523,0.066528,5,63,0,1770.29,5065.17,0.281695,0.0625842,0.188038,0.292651,0.129994,0.0680866,207.957
-1763.11,0.999645,0.066528,6,63,0,1769.43,5078.02,0.312505,-0.00046771,0.150511,0.289322,0.172514,0.11045,204.731
-1761.82,0.99347,0.066528,6,63,0,1768.22,5113.66,0.298617,0.0276268,0.166086,0.24695,0.170909,0.0522667,194.21
-1762.41,0.996954,0.066528,6,63,0,1766.24,5162.63,0.27684,-0.0114336,0.17095,0.274438,0.212527,0.0728808,224.441
-1764.84,0.996099,0.066528,6,63,0,1773.62,4875.79,0.317016,0.0563584,0.168875,0.318609,0.238457,0.0414935,204.442
-1763.33,0.943896,0.066528,6,63,0,1769.31,5049.91,0.301747,0.0231593,0.190021,0.232441,0.151007,0.125429,220.36
-1761.74,0.997963,0.066528,6,63,0,1765.2,5048.35,0.288177,0.0257937,0.141815,0.304649,0.254891,0.0483377,200.731
-1761.11,0.980609,0.066528,6,63,0,1764.2,5092.17,0.29097,0.022171,0.199567,0.224757,0.169866,0.103994,215.995
-1761.68,0.996275,0.066528,6,63,0,1765.81,4947.8,0.28563,0.0361568,0.187356,0.32652,0.237234,0.029647,204.217
-1759.76,0.942947,0.066528,5,31,0,1763.19,4998.42,0.294481,0.0323876,0.176995,0.299446,0.22658,0.0404958,205.931
-1759.29,0.968633,0.066528,5,63,0,1764.88,5064.3,0.287038,0.00317245,0.172531,0.284255,0.236983,0.0567374,211.046
-1760.5,0.992644,0.066528,5,63,0,1764.1,5149.38,0.288413,0.0328039,0.163878,0.228347,0.214088,0.0324664,219.325
-1760.35,0.98009,0.066528,6,63,0,1762.41,5015.78,0.297314,0.00046829,0.189744,0.299773,0.182952,0.0958061,200.815
-1761.34,0.953387,0.066528,6,63,0,1764.19,5098.57,0.288917,0.00825567,0.134069,0.322073,0.206639,0.0708415,206.445
-1760.01,0.970989,0.066528,5,63,0,1764.34,5077.6,0.295397,1.04436e-005,0.150399,0.274753,0.230286,0.114239,212.873
-1761.59,0.938244,0.066528,5,63,0,1762.56,5026.86,0.29795,-0.00982879,0.16217,0.272772,0.232137,0.144122,213.448
-1765.31,0.915333,0.066528,5,63,0,1770.88,5052.03,0.285909,0.0656319,0.20613,0.25435,0.142129,0.0531458,205.706
-1763.48,0.990881,0.066528,5,31,0,1769.41,5080.72,0.288716,0.067479,0.161292,0.275999,0.155199,0.0328251,210.966
-1763.04,0.98934,0.066528,6,63,0,1766.2,5060.72,0.30172,-0.031792,0.198249,0.267434,0.223483,0.071031,211.214
-1761.67,0.987963,0.066528,6,63,0,1766.91,5213.65,0.287152,0.0194597,0.161635,0.224689,0.207606,-0.0235877,204.073
-1762.06,0.999682,0.066528,6,63,0,1767.2,4918.1,0.299678,0.0037428,0.182554,0.299409,0.219171,0.194151,218.219
-1763.78,0.968506,0.066528,6,63,0,1769.78,4877.75,0.297586,0.0057958,0.165101,0.337772,0.255925,0.169887,225.119
-1761.76,0.999804,0.066528,6,63,0,1767.67,4979.62,0.29505,0.0390484,0.198493,0.292372,0.198793,0.0327834,196.547
-1763.76,0.993933,0.066528,6,63,0,1767.17,4908.72,0.308411,0.00666067,0.183182,0.309572,0.184227,0.185593,198.638
-1762.89,0.984868,0.066528,6,63,0,1770.34,5143.29,0.278813,0.0453956,0.155197,0.243789,0.258514,-0.0102265,212.571
-1765.05,0.997543,0.066528,6,63,0,1768.79,4847.87,0.30564,-0.00661381,0.185643,0.336698,0.239272,0.190975,201.318
-1761.68,0.999944,0.066528,6,63,0,1768.87,5122.05,0.288605,0.0578212,0.158031,0.244656,0.181209,0.0399169,204.594
-1761.67,0.957713,0.066528,6,63,0,1764.7,5082.28,0.290447,-0.0290953,0.180488,0.278894,0.221995,0.0966165,217.677
-1761.08,0.993357,0.066528,6,63,0,1764.47,4940,0.296015,0.00667699,0.198634,0.332377,0.1882,0.0896921,214.619
-1762.61,0.997075,0.066528,6,63,0,1765.29,5077.19,0.28031,0.00123979,0.166893,0.251481,0.243372,0.165027,223.555
-1761.26,0.917518,0.066528,6,63,0,1767.51,5070.36,0.291075,0.0106484,0.169335,0.233151,0.258422,0.124281,218.128
-1763.32,0.998614,0.066528,5,63,0,1768.85,5066.25,0.269868,0.00914984,0.166069,0.327534,0.19562,0.130554,202.102
-1764.26,0.986911,0.066528,6,63,0,1768.65,5204.25,0.310154,-0.0167346,0.163129,0.237141,0.149004,0.0622985,217.767
-1762.84,0.946818,0.066528,6,63,0,1767.66,5164.11,0.271278,0.0077844,0.155174,0.276269,0.244831,0.0585461,213.101
-1761.84,0.978733,0.066528,6,63,0,1765.35,5055.94,0.309808,0.0259448,0.187152,0.249677,0.170479,0.0689989,208.103
-1764.93,0.999532,0.066528,6,63,0,1768.91,5134.38,0.283379,0.0427782,0.212266,0.24046,0.160297,-0.0367674,206.608
-1764.76,0.933752,0.066528,6,63,0,1771.63,5104.64,0.26991,0.0417434,0.196705,0.202601,0.223516,0.124987,207.234
-1763.93,0.999396,0.066528,6,63,0,1767.57,5007.43,0.311627,0.00432485,0.150343,0.349058,0.191954,0.037824,215.049
-1759.97,0.975663,0.066528,6,63,0,1767.34,5040.7,0.289207,0.00121154,0.176224,0.274513,0.246398,0.0752688,201.362
-1758.97,0.87622,0.066528,6,63,0,1762.16,5026.87,0.296617,0.0289607,0.168429,0.293929,0.193861,0.0718997,210.355
-1760.88,0.985993,0.066528,5,31,0,1761.45,5034.75,0.308578,0.0186172,0.146115,0.266616,0.232635,0.092895,206.646
-1761.14,0.999884,0.066528,6,63,0,1762.69,5101.17,0.276826,0.0164976,0.20375,0.2607,0.181905,0.0434297,205.541
-1763.41,0.99973,0.066528,6,63,0,1768.27,5213.36,0.294202,0.0188514,0.147384,0.195024,0.232109,0.0348144,225.437
-1763.5,0.941934,0.066528,6,63,0,1769.77,5152.5,0.292586,-0.00956383,0.164988,0.212903,0.26115,0.0933597,222.099
-1765.59,0.925103,0.066528,6,63,0,1768.48,4870.74,0.29714,0.0514218,0.194346,0.333734,0.183105,0.0710162,198.664
-1764.86,0.944713,0.066528,6,63,0,1770.2,5199.94,0.286992,-0.0160993,0.148695,0.221562,0.242092,0.064308,225.434
-1759.66,0.992332,0.066528,6,63,0,1766.73,5002.38,0.298136,0.0364468,0.169209,0.251827,0.246041,0.100671,212.746
-1759.94,0.987723,0.066528,6,63,0,1760.86,5128.43,0.284445,-0.00430475,0.181737,0.284803,0.180961,0.0422886,204.2
-1761.77,0.998081,0.066528,6,63,0,1763.65,5074.03,0.290876,0.0358619,0.167587,0.259409,0.163806,0.134507,225.095
-1760.48,0.999486,0.066528,6,63,0,1763.37,4969.89,0.30184,0.00558243,0.171323,0.307069,0.248905,0.0705018,203.037
-1764.66,0.866992,0.066528,5,63,0,1768.58,4979.59,0.298631,0.0232608,0.201725,0.290472,0.166427,0.0596952,233.4
-1763.38,0.863621,0.066528,3,7,0,1768.27,4985.84,0.295882,0.0282253,0.202851,0.296845,0.17183,0.0652472,231.957
-1765.35,0.993764,0.066528,6,63,0,1770.29,5041.42,0.273268,-0.00945823,0.225278,0.312945,0.158482,0.071253,215.984
-1762.21,0.978662,0.066528,5,63,0,1769.96,4989.95,0.297783,0.0385728,0.137502,0.283196,0.264606,0.135589,209.488
-1765.74,0.99946,0.066528,5,31,0,1767.01,4984.59,0.30284,0.0563494,0.115386,0.278231,0.256756,0.157647,208.767
-1760.69,0.994163,0.066528,5,31,0,1769.14,5000.93,0.290732,0.00691782,0.169161,0.267132,0.264902,0.146233,212.959
-1764.95,0.99769,0.066528,5,63,0,1767.89,5168.89,0.292542,0.0334918,0.184165,0.261886,0.163675,-0.0888711,219.627
-1767.35,0.998611,0.066528,6,63,0,1770.68,5171.38,0.292029,0.038045,0.184854,0.253329,0.182863,-0.109997,229.858
-1765.04,0.999829,0.066528,6,63,0,1772.99,5084.17,0.306177,0.0585639,0.163821,0.224659,0.131961,0.123714,219.9
-1764.91,0.975097,0.066528,6,63,0,1767.85,5098.57,0.278247,-0.0262894,0.178251,0.288174,0.28105,0.0274069,201.493
-1765.03,0.951382,0.066528,6,63,0,1770.07,5075.11,0.304545,0.0631007,0.166548,0.247004,0.119399,0.104054,218.169
-1760.15,0.999892,0.066528,5,31,0,1766.34,5139.89,0.288691,0.0349972,0.152062,0.269871,0.162694,0.0679572,208.078
-1759.18,0.995885,0.066528,6,63,0,1762.57,5021.04,0.289488,0.0207023,0.187444,0.25741,0.231697,0.100751,204.712
-1760.79,0.998389,0.066528,5,31,0,1761.26,5024.9,0.292246,0.0239242,0.170044,0.237645,0.260816,0.129103,201.557
-1763.18,0.875481,0.066528,6,63,0,1765.7,4905.96,0.289414,0.00928044,0.174039,0.349038,0.231721,0.1149,220.441
-1760.99,0.991258,0.066528,6,63,0,1766.98,4961.12,0.311462,0.0447192,0.169875,0.256981,0.22195,0.104302,206.456
-1761.55,0.987796,0.066528,6,63,0,1764.23,5008.65,0.277617,-0.000471813,0.178757,0.335858,0.218198,0.104002,213.162
-1760.9,0.990911,0.066528,6,63,0,1764.05,5017.52,0.310763,0.0286958,0.190516,0.24682,0.190905,0.0680828,208.503
-1760.45,0.977318,0.066528,5,63,0,1761.85,5049.65,0.307042,0.0261664,0.187623,0.246344,0.177874,0.0699094,208.891
-1766.26,0.910405,0.066528,5,31,0,1769.05,5159.66,0.294803,0.013456,0.212125,0.200814,0.119433,0.10294,203.86
-1760.73,0.996814,0.066528,6,63,0,1769.34,5078.73,0.294644,0.040666,0.190209,0.236663,0.184982,0.0328877,201.642
-1761,0.999233,0.066528,6,63,0,1763.35,5152,0.287136,-0.0158162,0.152496,0.280821,0.209358,0.0741334,218.712
-1762.62,0.973515,0.066528,6,63,0,1764.24,4929.31,0.302579,0.0629346,0.188598,0.247542,0.210018,0.112988,204.01
-1762.57,0.9854,0.066528,6,63,0,1765.99,5109.75,0.288159,0.00511766,0.161396,0.303404,0.203111,-0.00386673,224.54
-1765.97,0.965896,0.066528,5,63,0,1772.53,5142.33,0.301336,0.0630396,0.114095,0.220834,0.205662,0.100643,215.929
-1767.56,0.92191,0.066528,4,15,0,1768.53,5152.09,0.301728,0.0666647,0.112665,0.222405,0.202683,0.111443,216.642
-1769.37,0.959006,0.066528,5,31,0,1774.44,5270.16,0.296482,0.0546131,0.0907165,0.235785,0.178244,0.0277075,220.11
-1760.75,0.98737,0.066528,5,63,0,1776,4927.62,0.30328,0.0313587,0.163768,0.307406,0.258694,0.0811059,204.687
