# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\dysra20m.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121058_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0765111
# Diagonal elements of inverse mass matrix:
# 4648.35, 7.97699e-005, 0.000286866, 0.000295078, 0.000759988, 0.000909241, 0.00168932, 0.00135868
-2330.46,0.835921,0.0765111,6,63,0,2334.97,4943.35,0.308468,0.0375729,0.276238,0.207082,0.151788,0.0387299,201.31
-2322.15,0.994591,0.0765111,5,31,0,2333.58,4907.26,0.301988,0.0649057,0.228986,0.243035,0.158175,0.0921608,198.312
-2324.83,0.979117,0.0765111,6,63,0,2327.41,5033.44,0.30526,0.0265431,0.199871,0.248585,0.101984,0.14425,201.467
-2326.1,0.989239,0.0765111,6,63,0,2332.63,4954.45,0.309684,0.0772721,0.228561,0.162645,0.139987,0.171608,190.313
-2327.89,0.988989,0.0765111,6,63,0,2333.22,5016.88,0.305956,0.0710869,0.235975,0.219401,0.0289454,0.0982798,213.875
-2326.27,0.974455,0.0765111,6,63,0,2331.8,4942.21,0.310744,0.0668345,0.209318,0.196844,0.172585,0.122289,184.154
-2323.41,0.999525,0.0765111,5,63,0,2327.98,5000.66,0.309869,0.0497674,0.216332,0.195735,0.141199,0.115146,187.238
-2323.52,0.994055,0.0765111,6,63,0,2325.21,5015.54,0.302114,0.0734265,0.221767,0.203384,0.0948641,0.111147,208.659
-2324.12,0.995693,0.0765111,6,63,0,2324.94,5031.71,0.302673,0.0751702,0.213015,0.206894,0.0912412,0.0950377,209.184
-2326.67,0.982259,0.0765111,6,63,0,2329.11,5029.56,0.286187,0.0659935,0.252697,0.219031,0.0935257,0.0542957,197.864
-2321.68,0.999923,0.0765111,5,31,0,2327.21,4948.45,0.31152,0.051136,0.215692,0.243575,0.112482,0.129587,201.118
-2321.41,0.959094,0.0765111,6,63,0,2324.15,4920.13,0.305276,0.053046,0.23925,0.223091,0.140626,0.129891,196.945
-2325.84,0.993,0.0765111,5,31,0,2326.5,4898.38,0.326561,0.0645362,0.214791,0.229622,0.144484,0.0772285,188.262
-2324.19,1,0.0765111,6,63,0,2327.9,4910.06,0.295153,0.0660431,0.229799,0.241096,0.145416,0.138145,212.521
-2323.6,0.964646,0.0765111,6,63,0,2326.93,4988,0.316492,0.047484,0.223168,0.214654,0.0978825,0.109343,187.256
-2324.41,0.877868,0.0765111,6,63,0,2327.18,5035.08,0.313856,0.0409582,0.206489,0.21155,0.112577,0.10004,186.437
-2323.01,0.99954,0.0765111,5,31,0,2324.97,5000.72,0.316366,0.0509526,0.208283,0.213803,0.112029,0.107968,190.644
-2322.93,0.982945,0.0765111,5,31,0,2323.84,5013.76,0.311712,0.0533691,0.210125,0.216731,0.100695,0.118661,189.879
-2322.2,0.999987,0.0765111,6,63,0,2324.44,4905,0.299391,0.0606322,0.237911,0.236526,0.142623,0.119095,204.706
-2322.21,0.99992,0.0765111,6,63,0,2322.85,4956.55,0.315137,0.0503921,0.216014,0.224982,0.113489,0.127167,191.494
-2322.44,0.968733,0.0765111,5,31,0,2323.81,4978.76,0.314899,0.0415083,0.229173,0.205041,0.110977,0.124147,194.555
-2324.31,0.993831,0.0765111,6,63,0,2325.74,5019.27,0.305561,0.0682063,0.201014,0.198766,0.149346,0.0978002,190.587
-2323.93,0.86016,0.0765111,5,63,0,2328.72,4917.16,0.306432,0.0631316,0.236756,0.212952,0.127783,0.177811,205.556
-2321.88,0.998134,0.0765111,6,63,0,2325.43,4936.32,0.313,0.0612376,0.225034,0.228729,0.131664,0.0765288,198.083
-2323.22,0.980855,0.0765111,6,63,0,2325.28,4836.31,0.30614,0.0561483,0.238872,0.240654,0.153899,0.197551,201.939
-2324.32,0.999428,0.0765111,6,63,0,2326.17,5058.75,0.311869,0.0440367,0.231422,0.202228,0.0799029,0.0566742,197.452
-2323.85,0.977169,0.0765111,6,63,0,2325.99,4838.45,0.301764,0.0662825,0.226236,0.254305,0.163615,0.188913,196.723
-2322.18,0.985668,0.0765111,6,63,0,2325.8,4925.51,0.313514,0.0477432,0.238696,0.211832,0.116064,0.141396,196.018
-2323.97,0.984042,0.0765111,4,31,0,2328.78,4921.76,0.309302,0.0766199,0.217088,0.254943,0.0811407,0.145064,206.175
-2323.41,0.985029,0.0765111,5,63,0,2327.11,4969.8,0.30207,0.0477356,0.22709,0.220084,0.115613,0.14886,185.316
-2324.19,0.996374,0.0765111,6,63,0,2327.38,4873.04,0.321038,0.0657091,0.224652,0.270514,0.104651,0.0924466,193.465
-2325.37,0.975176,0.0765111,6,63,0,2327.1,5058.77,0.292638,0.0420607,0.228913,0.171634,0.136198,0.144771,203.939
