# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:10:58 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\dysra20m.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121058_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0720377
# Diagonal elements of inverse mass matrix:
# 5091.95, 8.23411e-005, 0.000308375, 0.000329736, 0.000772797, 0.000972478, 0.00214146, 0.00140979
-2324.36,0.997406,0.0720377,5,31,0,2336.21,4810.89,0.311261,0.0642311,0.224767,0.240352,0.177466,0.2044,201.463
-2325.99,0.996748,0.0720377,5,63,0,2330.81,4746.05,0.322121,0.0711464,0.253152,0.247699,0.163609,0.136476,210.811
-2329.08,0.997335,0.0720377,6,63,0,2331.77,4761.69,0.301954,0.0680279,0.232569,0.280328,0.232311,0.114011,198.253
-2323.02,0.97621,0.0720377,5,31,0,2330.13,4840.09,0.303287,0.066082,0.225474,0.267057,0.153457,0.140706,200.588
-2323.04,0.969433,0.0720377,6,63,0,2326.52,4962.93,0.316593,0.036288,0.22183,0.233595,0.107351,0.138778,197.357
-2323.87,0.999661,0.0720377,6,63,0,2325.98,4836.1,0.307023,0.0644941,0.228771,0.249903,0.190043,0.135373,198.828
-2323.64,0.985748,0.0720377,6,63,0,2326.68,5000.12,0.310065,0.0604483,0.222237,0.216102,0.0672066,0.152138,200.736
-2322.79,0.907678,0.0720377,6,63,0,2326.05,4898.7,0.308681,0.0528063,0.229673,0.240594,0.175263,0.082716,198.349
-2325.52,0.991,0.0720377,5,31,0,2327.31,4919.68,0.292864,0.0713104,0.243895,0.242449,0.159342,0.0562515,192.134
-2322.82,1,0.0720377,5,31,0,2326.78,4915.89,0.312704,0.0569731,0.232228,0.210289,0.132483,0.147088,209.822
-2322.97,0.979104,0.0720377,5,63,0,2325.4,4944.41,0.298908,0.0453168,0.230585,0.259619,0.129662,0.0805087,197.762
-2324.94,0.796163,0.0720377,5,63,0,2330.97,4884.27,0.30538,0.0574136,0.233633,0.244202,0.148325,0.0864675,201.634
-2325.03,0.841739,0.0720377,4,31,0,2334.26,4905.81,0.308879,0.0403787,0.250246,0.212723,0.148655,0.103702,205.389
-2323.34,0.995731,0.0720377,6,63,0,2327.57,4949.61,0.302633,0.0567505,0.208902,0.25929,0.139947,0.113391,193.678
-2325.33,0.976786,0.0720377,6,63,0,2328.26,4925.74,0.309618,0.0668429,0.214238,0.282512,0.0675917,0.119864,206.364
-2324.91,0.954416,0.0720377,6,63,0,2329.47,4939.07,0.297014,0.0600729,0.25832,0.191436,0.146819,0.134536,197.116
-2323.19,0.999993,0.0720377,5,31,0,2327.43,4921.46,0.295597,0.0627279,0.247667,0.208025,0.145536,0.134376,195.72
-2325.35,0.912069,0.0720377,6,63,0,2328.04,5010.64,0.315455,0.046463,0.193896,0.236257,0.0960334,0.100958,202.998
-2329,0.98895,0.0720377,5,31,0,2333.01,5056.45,0.314922,0.0847938,0.197192,0.18817,0.0385766,0.152392,202.268
-2332.42,0.944485,0.0720377,5,63,0,2337.87,5024.74,0.289156,0.108143,0.201793,0.215681,0.0474378,0.17375,204.936
-2330.99,0.99987,0.0720377,5,31,0,2337.29,5068.81,0.295357,0.0833775,0.224286,0.176348,0.023674,0.193567,203.435
-2327.89,0.93029,0.0720377,5,31,0,2335.19,5038.83,0.302026,0.0795449,0.231145,0.173906,0.0570566,0.171407,206.936
-2327.35,0.994715,0.0720377,6,63,0,2331.56,4993.43,0.299838,0.0825945,0.23555,0.176796,0.0639073,0.176367,205.288
-2326.17,0.978261,0.0720377,5,31,0,2329.51,5000.2,0.302183,0.0698209,0.240282,0.188396,0.0681414,0.176828,206
-2325.15,0.952512,0.0720377,6,63,0,2329.29,4875.74,0.307079,0.0427648,0.211953,0.248307,0.172993,0.161493,199.098
-2327.91,0.998973,0.0720377,6,63,0,2331.02,4877.74,0.30332,0.0618538,0.238101,0.249088,0.173198,0.0460353,216.337
-2333.49,0.996418,0.0720377,5,31,0,2337.9,4813.4,0.296168,0.0468029,0.266979,0.222153,0.240615,0.1378,192.037
-2325.58,0.998985,0.0720377,5,31,0,2336.33,4861.01,0.293581,0.0705921,0.262506,0.233269,0.141127,0.157564,201.705
-2324.26,1,0.0720377,6,63,0,2329.01,4998.02,0.315741,0.0309105,0.200094,0.229725,0.11874,0.15641,196.393
-2323.14,0.970639,0.0720377,5,63,0,2328.5,4953.56,0.302727,0.0597009,0.227054,0.219891,0.0961076,0.161466,191.371
-2323.8,1,0.0720377,6,63,0,2326.31,4863.89,0.316322,0.0743712,0.228742,0.256109,0.1324,0.0815291,208.74
-2325.18,0.956123,0.0720377,5,63,0,2329.29,4796.9,0.312962,0.0649363,0.235094,0.293259,0.142056,0.0871747,197.14
-2324.49,0.971743,0.0720377,6,63,0,2328.2,4999.3,0.304494,0.0543057,0.229325,0.172706,0.110724,0.169003,201.012
-2323.8,0.997544,0.0720377,6,63,0,2328.26,5042.95,0.305174,0.0417533,0.212045,0.224295,0.135724,0.0632262,200.483
-2322.62,0.967722,0.0720377,6,63,0,2325.3,4880.54,0.309581,0.0706784,0.240704,0.226566,0.112512,0.171095,196.77
-2323.42,0.880646,0.0720377,6,63,0,2329.7,4884.42,0.309266,0.0580362,0.211547,0.269184,0.141454,0.111658,202.01
-2326.76,0.906807,0.0720377,5,63,0,2328.82,4868.98,0.307161,0.0718044,0.261703,0.217558,0.0698856,0.172735,197.89
-2324.71,0.974284,0.0720377,5,63,0,2330.94,4741.24,0.316558,0.0690525,0.248773,0.264771,0.161744,0.172521,201.965
-2323.59,0.929928,0.0720377,6,63,0,2328.91,5035.46,0.30035,0.0493976,0.213244,0.212063,0.103237,0.107944,197.792
-2323,0.963478,0.0720377,2,7,0,2324.72,5035.56,0.301251,0.0485834,0.213929,0.211675,0.105107,0.106372,197.851
-2322.13,0.983872,0.0720377,5,63,0,2324.56,4958.72,0.310571,0.0509838,0.219427,0.229429,0.104197,0.150349,191.008
-2326.13,0.978816,0.0720377,5,31,0,2326.83,4925.05,0.310475,0.0469475,0.236175,0.230867,0.0812889,0.183307,183.308
-2327.55,0.965505,0.0720377,6,63,0,2334.59,4965.11,0.298115,0.0518259,0.257884,0.202674,0.120864,0.110075,180.367
-2323.71,0.826715,0.0720377,4,15,0,2329.73,4968.78,0.298757,0.0529006,0.250762,0.210077,0.119595,0.0961791,188.691
-2323.65,0.896676,0.0720377,6,63,0,2326.54,4935.17,0.312041,0.064081,0.199097,0.249383,0.113413,0.157705,205.611
-2325.45,0.985693,0.0720377,6,63,0,2328.18,4953.05,0.307246,0.0180657,0.239977,0.202725,0.14378,0.17189,200.41
-2324.91,0.999972,0.0720377,6,63,0,2328.88,5050.89,0.291527,0.055774,0.197171,0.221947,0.13778,0.103678,196.161
-2326.72,0.951725,0.0720377,5,31,0,2328.94,5044.29,0.288646,0.0633211,0.20076,0.206151,0.127173,0.139842,191.858
-2325.34,0.928066,0.0720377,6,63,0,2336.47,4971.99,0.321578,0.0478865,0.23679,0.220601,0.097254,0.0667195,208.92
-2324.81,0.981472,0.0720377,6,63,0,2328.89,4875.55,0.289673,0.082333,0.233147,0.25517,0.145396,0.140169,198.011
-2327.46,0.992399,0.0720377,5,31,0,2330.47,4844.42,0.291114,0.0936292,0.236749,0.270042,0.159421,0.0881268,194.187
-2328.07,0.93234,0.0720377,6,63,0,2330.62,4844.86,0.288866,0.0922095,0.242168,0.254486,0.166596,0.0894472,195.324
-2324.47,0.942013,0.0720377,5,31,0,2330.43,4848.65,0.296214,0.0813797,0.243971,0.257464,0.119996,0.128771,198.883
-2324.17,0.999838,0.0720377,6,63,0,2325.92,4827.69,0.302579,0.0782494,0.255234,0.257563,0.114546,0.113108,200.073
-2324.09,0.987744,0.0720377,6,63,0,2326.21,4849.16,0.305411,0.0782128,0.243675,0.257834,0.118876,0.0988528,189.571
-2327.68,0.994354,0.0720377,5,63,0,2331.02,4924.97,0.28138,0.0623517,0.2507,0.240669,0.154216,0.117098,190.461
-2323.69,0.997179,0.0720377,5,63,0,2330,4863.94,0.322047,0.06115,0.247956,0.229609,0.132985,0.0883748,202.762
-2328.06,0.962284,0.0720377,5,31,0,2329.49,4833.69,0.330149,0.0602726,0.256926,0.223013,0.154012,0.0628017,197.528
-2326.36,0.982163,0.0720377,5,31,0,2329.8,4811.48,0.328932,0.0585867,0.251569,0.228824,0.146415,0.0918361,196.161
-2327.23,0.984168,0.0720377,6,63,0,2332.21,4782.63,0.329725,0.0658707,0.232502,0.243136,0.16096,0.12257,189.076
-2322.99,0.999172,0.0720377,6,63,0,2331.07,4935.96,0.313635,0.073516,0.208202,0.220943,0.114296,0.1344,197.755
-2329.72,0.936748,0.0720377,5,31,0,2332.37,4830.43,0.326166,0.0600456,0.217812,0.187916,0.165631,0.240785,201.012
-2331.17,0.968931,0.0720377,5,31,0,2332.98,4811.05,0.325516,0.0735313,0.212319,0.192636,0.162307,0.247224,199.588
-2324.89,0.988064,0.0720377,5,31,0,2333.21,4812.75,0.314338,0.065953,0.233077,0.271539,0.140541,0.163506,196.518
-2322.73,0.999866,0.0720377,6,63,0,2326.7,5058.26,0.301963,0.0523657,0.222204,0.1915,0.110072,0.101694,196.992
-2325.29,0.986832,0.0720377,5,31,0,2327.2,5050.27,0.302281,0.0558533,0.206729,0.191017,0.144765,0.0769054,187.666
-2322.57,0.974787,0.0720377,5,31,0,2326.38,4988.2,0.309857,0.0460858,0.225743,0.213756,0.103799,0.139186,206.362
-2323.3,0.999624,0.0720377,6,63,0,2324.38,4969.24,0.303955,0.0411281,0.224438,0.216139,0.148546,0.140559,209.416
-2324.15,0.999558,0.0720377,6,63,0,2326.33,5010.42,0.311188,0.0345456,0.230441,0.192658,0.13875,0.0830547,206.627
-2327.12,0.876425,0.0720377,5,31,0,2332.32,4993.9,0.310243,0.0472701,0.234466,0.240759,0.0279361,0.146686,192.169
-2325.03,0.997538,0.0720377,5,63,0,2337.52,4970.41,0.322623,0.0526738,0.215643,0.210891,0.152956,0.0444901,201.793
-2322.32,0.999429,0.0720377,6,63,0,2326.27,4922.03,0.302986,0.0531339,0.244751,0.215459,0.113103,0.169574,199.022
-2322.76,0.968972,0.0720377,5,63,0,2324.87,4836.47,0.30539,0.0664142,0.227427,0.259049,0.162144,0.145687,203.952
-2323.3,0.978458,0.0720377,6,63,0,2325.04,4879.06,0.308919,0.0772545,0.237893,0.213508,0.109592,0.174325,204.484
-2323.21,0.984444,0.0720377,6,63,0,2325.79,4852.86,0.304262,0.0491041,0.234281,0.254394,0.135586,0.184144,194.328
-2327.46,0.993102,0.0720377,5,31,0,2330.54,4963.75,0.296771,0.0555762,0.249774,0.244287,0.0815492,0.0806047,182.144
-2325.54,0.955955,0.0720377,6,63,0,2332.41,4910.25,0.297023,0.052359,0.241958,0.241708,0.110243,0.155651,184.431
-2325.83,0.999703,0.0720377,6,63,0,2328.52,5012.75,0.314262,0.0601173,0.209438,0.20082,0.122762,0.0690905,214.76
-2322.93,0.9982,0.0720377,5,63,0,2329.77,4929.93,0.31229,0.04948,0.207798,0.242437,0.154692,0.134613,201.953
-2323.98,0.995343,0.0720377,5,63,0,2326.19,4991.55,0.304242,0.0779216,0.193103,0.232494,0.114379,0.120599,200.379
-2324.54,0.892468,0.0720377,5,63,0,2328.23,4960.2,0.30892,0.0348932,0.232493,0.24908,0.117534,0.0551299,200.123
-2321.98,0.998094,0.0720377,5,63,0,2325.14,4950.98,0.299081,0.0714639,0.225098,0.225493,0.113128,0.138013,194.095
-2325.74,0.987664,0.0720377,5,31,0,2327.26,4860.94,0.308821,0.0415431,0.239405,0.25446,0.201077,0.0715295,197.625
-2324.97,0.999743,0.0720377,5,63,0,2330.67,4982.4,0.298364,0.0414208,0.257875,0.212332,0.129288,0.0570404,195.199
-2325.82,0.951165,0.0720377,6,63,0,2331.41,4866.5,0.318878,0.0974675,0.234665,0.21069,0.084614,0.162404,197.133
-2327.41,0.999254,0.0720377,6,63,0,2333.29,4990.59,0.327988,0.0529473,0.221931,0.206614,0.113682,0.0308727,210.029
-2321.45,0.989592,0.0720377,5,31,0,2328.76,4893.86,0.309601,0.061318,0.233082,0.231026,0.12761,0.155882,200.298
-2321.71,0.992958,0.0720377,5,63,0,2326.39,4892.85,0.307268,0.0605026,0.232482,0.229975,0.129261,0.172023,200.182
-2323.02,0.999037,0.0720377,6,63,0,2323.92,4977.46,0.307827,0.0426692,0.238949,0.205059,0.150766,0.0768404,199.29
-2324.39,0.937827,0.0720377,5,63,0,2327.36,4965.96,0.317182,0.0743195,0.199416,0.226195,0.124776,0.107138,196.575
-2328.71,0.991394,0.0720377,5,31,0,2332.52,4963.75,0.319023,0.0791071,0.214684,0.265376,0.0747719,0.00602657,204.589
-2327.28,0.91363,0.0720377,5,63,0,2334.94,4969.93,0.301649,0.0308156,0.236112,0.200422,0.188585,0.126695,210.963
-2326.38,0.991305,0.0720377,6,63,0,2330.59,4824.34,0.321004,0.071406,0.220489,0.253418,0.135354,0.130554,186.113
-2329.94,0.904196,0.0720377,5,31,0,2332.13,4837.12,0.320723,0.0697287,0.220632,0.259905,0.129756,0.100617,180.418
-2324.68,0.882196,0.0720377,5,31,0,2335.71,4922.98,0.305564,0.0696407,0.209304,0.262307,0.12277,0.0838836,193.216
