# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\98uywb6d.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121105_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0791932
# Diagonal elements of inverse mass matrix:
# 5053.52, 8.79148e-005, 0.000291819, 0.000316773, 0.000755906, 0.000849277, 0.0016223, 0.00099323
-2934.18,0.996644,0.0791932,6,63,0,2935.16,5062.76,0.292844,0.0244623,0.198016,0.252462,0.174889,0.0482895,203.684
-2933.75,0.953122,0.0791932,5,31,0,2935.77,5081.81,0.293235,0.0243658,0.205155,0.246072,0.159795,0.0747552,203.733
-2931.42,0.989152,0.0791932,5,31,0,2937.48,5011.26,0.285311,0.0282983,0.20433,0.247192,0.187343,0.168905,201.419
-2931.93,0.943972,0.0791932,5,63,0,2934.06,4851.91,0.305239,0.0505808,0.216769,0.283291,0.182747,0.170221,222.928
-2931.73,0.998101,0.0791932,6,63,0,2934.52,4768.13,0.305991,0.0603385,0.234809,0.274363,0.214732,0.165076,218.19
-2933.65,0.90986,0.0791932,5,63,0,2938.1,4902.12,0.299222,0.0653149,0.176158,0.286843,0.171195,0.178435,203.5
-2932.04,0.999793,0.0791932,6,63,0,2939.23,4806.84,0.304571,0.0544321,0.200445,0.279849,0.248716,0.181271,212.999
-2930.08,0.998888,0.0791932,6,63,0,2936.93,4951.1,0.290964,0.0390513,0.217286,0.277614,0.135548,0.160112,209.008
-2932.37,0.918659,0.0791932,6,63,0,2937.24,5030.83,0.29427,0.0375349,0.186126,0.211712,0.209558,0.140416,213.456
-2930.99,0.999502,0.0791932,6,63,0,2933.56,4829.66,0.293972,0.0525293,0.233354,0.301146,0.160894,0.159949,207.528
-2931.15,0.992007,0.0791932,5,63,0,2933.46,5040.74,0.29717,0.0203415,0.191698,0.220508,0.196254,0.148992,207.754
-2934.45,0.951308,0.0791932,5,31,0,2936.48,4995.72,0.306335,0.0179528,0.195649,0.195388,0.237063,0.17104,210.721
-2932.32,0.992117,0.0791932,6,63,0,2938.16,4810.55,0.288773,0.0693026,0.216444,0.31273,0.183672,0.187983,215.896
-2930.76,0.942025,0.0791932,5,31,0,2935.74,4835.1,0.296698,0.061594,0.221886,0.299579,0.193425,0.136233,210
-2933.54,0.980266,0.0791932,5,31,0,2935.84,4879.62,0.31139,0.0442216,0.227953,0.234966,0.212225,0.131501,197.742
-2932.6,0.875305,0.0791932,5,63,0,2947.46,4840.12,0.311508,0.0307579,0.223937,0.262399,0.230836,0.13676,200.768
-2930.05,0.98753,0.0791932,5,31,0,2934.19,4917.05,0.305302,0.0335669,0.215758,0.238297,0.220419,0.127023,209.463
-2929.81,0.958144,0.0791932,6,63,0,2931.69,4958.97,0.302418,0.0263409,0.223724,0.231384,0.183545,0.147614,208.839
-2932.65,0.997022,0.0791932,5,31,0,2933.85,5015.55,0.308819,0.0403273,0.21585,0.212025,0.165989,0.0800484,209.626
-2933.31,0.985264,0.0791932,6,63,0,2940.02,4925.39,0.277734,0.0558015,0.229543,0.2677,0.166323,0.172061,220.903
-2933.56,0.988217,0.0791932,6,63,0,2936.89,4930.54,0.309747,0.0273537,0.186212,0.271476,0.209985,0.125663,200.523
-2928.93,0.99894,0.0791932,5,31,0,2934.81,4879.88,0.29957,0.0579566,0.211367,0.264068,0.184172,0.162226,208.643
-2932.49,0.961698,0.0791932,5,31,0,2937.28,4942.42,0.282239,0.0518032,0.228259,0.24887,0.183589,0.16422,200.972
-2933.94,0.724704,0.0791932,5,63,0,2941.88,4900.26,0.292224,0.00614197,0.228847,0.253094,0.214236,0.196046,217.996
-2936.18,0.999382,0.0791932,5,31,0,2939.4,4970.96,0.291812,-0.0112319,0.234367,0.243303,0.193214,0.173907,223.022
-2933.89,0.932265,0.0791932,5,31,0,2938.13,4962.07,0.294434,-0.00359964,0.222576,0.248547,0.204566,0.158329,219.811
-2933.42,0.9858,0.0791932,6,63,0,2938.3,5029.13,0.296371,0.0276018,0.172689,0.264637,0.211525,0.115984,210.104
-2931.34,0.986484,0.0791932,6,63,0,2936.46,4891.74,0.297811,0.0528816,0.242943,0.240094,0.147548,0.172367,210.815
-2931.81,0.945229,0.0791932,6,63,0,2933.62,4927.34,0.296967,0.0304316,0.187482,0.274121,0.230181,0.133595,211.125
-2930.53,0.989468,0.0791932,6,63,0,2935.6,4863.22,0.298712,0.0452592,0.245785,0.253046,0.17631,0.148654,209.091
-2929.81,0.921861,0.0791932,6,63,0,2933.06,4911.85,0.306381,0.0407761,0.218349,0.228292,0.196382,0.159931,211.558
-2931.12,0.913823,0.0791932,5,31,0,2934.73,4915.33,0.295886,0.0202862,0.233228,0.269962,0.163287,0.14815,208.217
-2936.2,0.814461,0.0791932,5,31,0,2940.63,5053.57,0.281473,0.063955,0.166485,0.244891,0.205001,0.133982,219.519
-2932.57,0.989883,0.0791932,6,63,0,2939.76,5005.29,0.27924,0.0467678,0.204973,0.246954,0.164388,0.20142,208.783
-2932.04,0.999829,0.0791932,6,63,0,2934.48,4985.18,0.286929,0.0494552,0.209395,0.234014,0.142829,0.201769,215.695
-2933.91,0.995261,0.0791932,5,63,0,2936.21,4893.73,0.297941,0.0368063,0.213484,0.310568,0.191933,0.0973222,197.032
-2934.27,0.999811,0.0791932,5,31,0,2936.93,4909.51,0.293263,0.040337,0.226042,0.306595,0.171646,0.0821627,197.398
-2929.69,0.996851,0.0791932,5,31,0,2935.49,4959.89,0.297325,0.0361821,0.210955,0.230911,0.193012,0.176679,215.518
-2929.81,0.977993,0.0791932,6,63,0,2931.46,4970.48,0.295654,0.0510665,0.193665,0.262111,0.184039,0.128171,204.236
-2933,0.895159,0.0791932,5,63,0,2936.94,4785.37,0.299148,0.046835,0.202557,0.328872,0.196752,0.223282,212.605
-2930.58,0.989969,0.0791932,6,63,0,2935.63,4878.29,0.302671,0.0609805,0.22762,0.242289,0.189143,0.127158,206.157
-2930.04,0.911494,0.0791932,5,31,0,2932.43,4897.35,0.295623,0.0441681,0.22636,0.262729,0.193557,0.113249,212.319
-2931.05,0.944141,0.0791932,6,63,0,2934.09,4833.45,0.305333,0.0523733,0.202537,0.279424,0.185695,0.202159,208.497
