# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\98uywb6d.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121105_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0717463
# Diagonal elements of inverse mass matrix:
# 4959.4, 8.11263e-005, 0.00028319, 0.000284448, 0.00078528, 0.000801537, 0.00157529, 0.000978711
-2931.73,0.989398,0.0717463,5,31,0,2937.05,4923.53,0.306293,0.0313417,0.186646,0.25531,0.205485,0.186051,204.224
-2932.96,0.943508,0.0717463,5,63,0,2935.39,4912.94,0.289373,0.0569167,0.230741,0.273322,0.183109,0.0658614,215.773
-2930.59,0.969031,0.0717463,6,63,0,2938.66,4995.48,0.300564,0.0252581,0.196914,0.241526,0.15976,0.193607,209.04
-2930.25,0.988757,0.0717463,5,63,0,2933.34,4937.97,0.295574,0.0320255,0.1958,0.28727,0.185099,0.160659,217.541
-2931.77,0.984954,0.0717463,5,63,0,2934.66,4962.46,0.302951,0.0377232,0.217364,0.278578,0.123823,0.121091,206.5
-2934.02,0.999642,0.0717463,6,63,0,2937.9,4948.5,0.296931,0.0758799,0.168477,0.254626,0.178851,0.185201,210.722
-2932.83,0.992548,0.0717463,6,63,0,2937.88,4868.3,0.302734,0.0170997,0.251811,0.26781,0.188844,0.114794,208.655
-2931.85,0.991906,0.0717463,5,63,0,2941.6,4949.05,0.281631,0.0338664,0.206603,0.279332,0.19658,0.172899,220.793
-2933.01,0.92473,0.0717463,6,63,0,2937.22,4800.41,0.297518,0.0474603,0.232921,0.29145,0.234064,0.150975,204.232
-2930.33,0.982287,0.0717463,6,63,0,2937.73,4998.49,0.29754,0.0482989,0.197677,0.235805,0.151904,0.158647,216.007
-2931.55,0.92691,0.0717463,6,63,0,2936.67,4847.62,0.306516,0.0367805,0.20682,0.299571,0.220948,0.107922,211.991
-2936.7,0.711955,0.0717463,6,63,0,2941.78,4895.9,0.29971,0.051288,0.187086,0.242246,0.201912,0.213655,221.72
-2933.47,0.998715,0.0717463,6,63,0,2939.5,4983.05,0.30861,0.0394784,0.212058,0.230995,0.173151,0.124279,221.52
-2933,0.996794,0.0717463,6,63,0,2941.72,4880.09,0.283471,0.0497804,0.216821,0.296352,0.19708,0.179234,201.73
-2932.93,0.998155,0.0717463,5,63,0,2936.48,4831.58,0.285866,0.0495713,0.21608,0.294003,0.205878,0.198346,201.516
-2932.46,0.999515,0.0717463,6,63,0,2936.09,4811.42,0.285131,0.0646235,0.224735,0.29203,0.220207,0.161392,212.241
