# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\84we4dq2.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121119_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0876829
# Diagonal elements of inverse mass matrix:
# 3875.69, 6.47018e-005, 0.000261315, 0.000198554, 0.000664538, 0.000807034, 0.00102446, 0.000817834
-3509.95,0.999939,0.0876829,5,31,0,3510.85,5050.89,0.304892,0.0598563,0.175042,0.263029,0.169407,-0.0152921,201.521
-3507.6,0.94777,0.0876829,5,31,0,3513.54,5007.14,0.317234,0.0463777,0.180196,0.264547,0.127972,0.0722216,216.734
-3507.69,0.99461,0.0876829,5,63,0,3509.34,5020.23,0.312927,0.0527239,0.187758,0.244351,0.132289,0.0659062,218.703
-3508.94,0.994777,0.0876829,5,31,0,3511.3,5081.82,0.304059,0.0351281,0.189447,0.26878,0.0908474,0.0624624,200.15
-3508.55,0.99418,0.0876829,5,31,0,3512.37,5082.8,0.305158,0.0385801,0.189375,0.258997,0.0890087,0.0657559,200.223
-3507.24,0.816817,0.0876829,5,31,0,3510.95,5041.3,0.312895,0.0541629,0.177685,0.273062,0.112266,0.046818,204.584
-3507.5,0.997892,0.0876829,5,63,0,3509.98,5057.69,0.304621,0.0379111,0.188291,0.260734,0.132383,0.0373461,200.23
-3507.96,0.901956,0.0876829,5,31,0,3511,5091.84,0.306737,0.0455226,0.172413,0.259041,0.141542,0.00171654,202.018
-3509.81,0.971646,0.0876829,5,31,0,3511.93,5128.76,0.301323,0.0690171,0.168271,0.243526,0.0881614,0.0348003,207.209
-3510.65,0.704784,0.0876829,5,31,0,3515.64,5160.87,0.298495,0.033097,0.162903,0.260889,0.124228,0.0330721,211.322
-3511.7,0.999347,0.0876829,5,31,0,3515.11,5119.61,0.314726,0.0636224,0.193382,0.185476,0.104443,0.0437665,202.653
-3513.31,0.927138,0.0876829,6,63,0,3520.04,4919.38,0.307518,0.0413075,0.178989,0.331485,0.157912,0.0565947,214.621
-3509.39,0.929553,0.0876829,5,31,0,3516.46,4911.36,0.320413,0.0611768,0.208045,0.270507,0.154052,0.0525263,208.732
-3508.28,0.979756,0.0876829,5,31,0,3510.68,4941.66,0.312643,0.0602262,0.20446,0.276626,0.123623,0.0843316,208.201
-3508.9,0.993266,0.0876829,5,63,0,3512.38,4955.96,0.307617,0.0555351,0.203213,0.278158,0.108401,0.0850333,210.489
-3509.38,0.817867,0.0876829,6,63,0,3512.91,4975.22,0.318883,0.0506832,0.203028,0.281036,0.101895,0.0568895,209.827
-3508.46,0.996371,0.0876829,6,63,0,3510.91,4956.7,0.316416,0.0369916,0.207463,0.258453,0.132881,0.0839503,212.136
-3508.05,0.868239,0.0876829,6,63,0,3510.55,5051.43,0.307172,0.0632344,0.174006,0.263698,0.140941,0.027299,203.411
-3514.72,0.757956,0.0876829,5,63,0,3517.21,5002.21,0.31869,0.0268011,0.210088,0.241227,0.132678,0.104601,199.647
-3511.78,0.999901,0.0876829,5,31,0,3517.56,4987.5,0.317551,0.0240901,0.194302,0.280126,0.12197,0.0503711,202.182
-3509.95,0.978312,0.0876829,5,31,0,3514.27,5050.61,0.311772,0.0492898,0.196337,0.278151,0.0919822,0.0204488,208.2
-3512.29,0.963981,0.0876829,5,31,0,3515.89,5066.73,0.308049,0.0598142,0.201543,0.253218,0.118139,-0.0180334,221.371
-3510.9,0.925895,0.0876829,6,63,0,3518.82,5100.8,0.311372,0.0451917,0.156349,0.237413,0.136435,0.0830288,196.032
-3506.66,0.994311,0.0876829,5,31,0,3513.44,5058.03,0.310995,0.0401731,0.181824,0.238942,0.143194,0.0557311,209.893
