# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:19 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\84we4dq2.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121119_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0692872
# Diagonal elements of inverse mass matrix:
# 3283.06, 6.71802e-005, 0.000179807, 0.00026188, 0.000646897, 0.000722242, 0.00107676, 0.000775748
-3509.18,0.988507,0.0692872,5,31,0,3512.31,5049.96,0.318556,0.0313135,0.19716,0.222368,0.115651,0.0868431,203.981
-3507.95,0.995064,0.0692872,5,63,0,3512.25,5016.04,0.319549,0.051668,0.182282,0.232539,0.168967,0.0333423,205.927
-3508.63,0.962787,0.0692872,6,63,0,3513.51,4961.75,0.312659,0.0534145,0.2077,0.264403,0.106353,0.085814,214.829
-3508.82,0.999282,0.0692872,5,63,0,3511.08,5082.53,0.309189,0.054869,0.158416,0.236356,0.162187,0.0448739,204.583
-3507.55,0.999951,0.0692872,5,31,0,3510.18,5093.19,0.306451,0.0472308,0.181315,0.219508,0.153488,0.0432539,207.542
-3509.34,0.98951,0.0692872,5,31,0,3510.15,5098.71,0.305743,0.0430749,0.178402,0.212625,0.173002,0.0394599,209.574
-3509.35,0.999627,0.0692872,6,63,0,3511.12,5034,0.315296,0.0550014,0.18576,0.275523,0.0674524,0.0679709,203.92
-3508.56,0.992783,0.0692872,6,63,0,3512.84,5009.19,0.303779,0.0685813,0.176787,0.288711,0.11642,0.0469203,205.284
-3509.45,0.950106,0.0692872,6,63,0,3512.29,5120.52,0.310683,0.0286841,0.182734,0.227195,0.132111,0.0173322,215.356
-3512.77,0.998145,0.0692872,6,63,0,3515.42,5123.92,0.295098,0.0542658,0.163549,0.27219,0.15406,-0.0270092,211.69
-3514.54,0.852447,0.0692872,6,63,0,3522.16,5137.03,0.30379,0.0382936,0.209978,0.1933,0.125939,0.0138621,223.472
-3513.91,0.999585,0.0692872,6,63,0,3517.73,5020.64,0.319331,0.0709357,0.154365,0.272468,0.110871,0.0704631,193.352
-3508.88,0.972203,0.0692872,6,63,0,3517.5,4983.57,0.321575,0.0360577,0.209703,0.253206,0.110559,0.0569353,204.497
-3507.72,0.95966,0.0692872,6,63,0,3511.03,4989.64,0.321336,0.0392709,0.182908,0.256728,0.14048,0.0728932,208.858
-3507.88,0.944016,0.0692872,5,63,0,3509.52,5053.41,0.306294,0.0611902,0.191439,0.236537,0.11547,0.0375296,208.013
-3507.44,0.999827,0.0692872,6,63,0,3508.59,4998.37,0.315637,0.0408202,0.181906,0.267647,0.143304,0.0498804,207.431
-3509.57,0.999745,0.0692872,5,31,0,3511.4,5019.29,0.322556,0.0369744,0.199978,0.269192,0.117671,-0.0171991,205.316
-3511.32,0.990664,0.0692872,6,63,0,3513.05,4941.87,0.3004,0.0741037,0.184899,0.261818,0.158212,0.130082,210.432
-3512.21,0.990155,0.0692872,6,63,0,3516.2,4880.78,0.335368,0.0649885,0.198197,0.280885,0.134113,0.0360866,209.933
-3510.66,0.999395,0.0692872,5,31,0,3513.88,4903.34,0.33053,0.0583924,0.207071,0.278769,0.114926,0.0422712,205.102
-3508.99,0.98255,0.0692872,6,63,0,3516.42,4941.42,0.325473,0.070207,0.192008,0.266495,0.112981,0.0478034,208.35
-3508.12,0.980372,0.0692872,6,63,0,3511.02,5094.56,0.302412,0.0349002,0.19408,0.243974,0.119729,0.0579095,211.009
-3510.3,0.999167,0.0692872,6,63,0,3514.57,4913.84,0.326254,0.0679698,0.214797,0.245326,0.124732,0.0539981,206.047
-3509.52,0.997884,0.0692872,6,63,0,3514.12,5031.97,0.311664,0.0505636,0.165259,0.242934,0.154348,0.103003,216.688
-3509.03,0.997748,0.0692872,6,63,0,3516.26,5008.88,0.309167,0.047615,0.178876,0.263397,0.162083,0.0551129,220.914
-3508.21,0.840993,0.0692872,6,63,0,3514.02,4977.83,0.316912,0.0596651,0.178898,0.271743,0.121611,0.0936316,214.619
-3508.59,0.992775,0.0692872,6,63,0,3510.39,4962.01,0.30849,0.0626927,0.210238,0.258037,0.163634,0.0192896,210.696
-3511.96,0.99898,0.0692872,6,63,0,3513.88,5030.37,0.322607,0.0422777,0.155085,0.276322,0.109823,0.104482,215.788
-3509.47,0.990074,0.0692872,6,63,0,3516.18,4989.44,0.315732,0.065453,0.1614,0.269197,0.128295,0.106639,205.95
-3509.1,0.961375,0.0692872,6,63,0,3513.39,5020.92,0.309841,0.0415044,0.215584,0.255718,0.137848,-0.00770099,210.025
-3512.1,0.914995,0.0692872,6,63,0,3514.68,5061.55,0.316281,0.0548996,0.163056,0.26252,0.0916784,0.107976,201.089
-3512.44,0.999821,0.0692872,3,7,0,3512.8,5055.96,0.315702,0.0532633,0.160975,0.256911,0.0837348,0.106359,201.172
-3512.13,0.90821,0.0692872,6,63,0,3516.82,5064.2,0.303989,0.0589188,0.200651,0.224049,0.175306,-0.0144267,214.47
-3510.1,0.99549,0.0692872,6,63,0,3513.66,4961.45,0.320912,0.0431707,0.185423,0.288109,0.0971942,0.0937415,204.846
-3509.23,0.990898,0.0692872,6,63,0,3514.51,4978.22,0.316603,0.0420219,0.188133,0.298304,0.103754,0.0819704,204.589
-3508.44,0.959172,0.0692872,6,63,0,3512.48,5063.68,0.305647,0.0519395,0.180527,0.23946,0.158681,0.0547936,210.522
-3511.19,0.991364,0.0692872,5,31,0,3512.52,4992.87,0.323455,0.0574135,0.182332,0.274556,0.0710529,0.073162,209.716
-3510.35,0.999845,0.0692872,6,63,0,3515.66,4966.55,0.329774,0.0624497,0.185257,0.266794,0.0929162,0.0558747,207.898
-3509.98,0.999644,0.0692872,5,31,0,3513.36,4947.95,0.331368,0.0544292,0.1813,0.264325,0.124339,0.0719579,211.539
