# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\4awqmm33.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121130_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0612555
# Diagonal elements of inverse mass matrix:
# 3094.27, 4.82117e-005, 0.00022798, 0.000231844, 0.000573807, 0.000636877, 0.00103805, 0.000725899
-4084.81,0.986027,0.0612555,5,31,0,4086.68,4946.31,0.293508,0.0766992,0.180332,0.280522,0.151314,0.162156,208.504
-4079.02,0.999906,0.0612555,5,63,0,4086.58,4936.55,0.303608,0.0608796,0.187428,0.259894,0.162646,0.164495,210.937
-4080.01,0.999465,0.0612555,6,63,0,4080.89,5001.84,0.311444,0.0395631,0.213707,0.199686,0.170643,0.113249,199.56
-4081.19,0.998531,0.0612555,6,63,0,4083.51,5017.95,0.297979,0.0600147,0.18816,0.245341,0.110868,0.177592,205.822
-4083.17,0.996446,0.0612555,6,63,0,4087.97,4959.33,0.314741,0.072158,0.194541,0.24266,0.144055,0.0867464,216.176
-4079.81,0.99976,0.0612555,6,63,0,4087.52,4995.77,0.3183,0.0492587,0.200495,0.189512,0.155812,0.151738,205.128
-4080.32,0.971357,0.0612555,6,63,0,4083.62,4962.71,0.307877,0.049622,0.209042,0.224424,0.126859,0.207415,209.278
-4081.8,0.98247,0.0612555,6,63,0,4084.93,4938.97,0.313332,0.0379578,0.222473,0.233119,0.117714,0.19442,204.72
-4082.08,0.928451,0.0612555,6,63,0,4087.36,4989.86,0.297807,0.0622413,0.180312,0.216454,0.160001,0.210171,199.535
-4079.68,0.878501,0.0612555,6,63,0,4086.58,4922.28,0.307678,0.0426614,0.204598,0.251789,0.173966,0.132896,210.028
-4081.22,0.999611,0.0612555,6,63,0,4083.32,4962.23,0.323276,0.0471659,0.186635,0.227212,0.133554,0.170593,200.873
-4079.28,0.975742,0.0612555,6,63,0,4084.05,4956.02,0.312406,0.0390166,0.192679,0.262319,0.155456,0.118557,206.181
-4079.64,0.998124,0.0612555,6,63,0,4082.66,4971.03,0.30294,0.0673458,0.182745,0.230117,0.186431,0.136302,209.215
-4086.85,0.99903,0.0612555,6,63,0,4089.46,5080.61,0.322237,0.0123705,0.164365,0.197704,0.166105,0.171751,209.619
-4078.41,0.99353,0.0612555,5,31,0,4088.43,4989.92,0.31342,0.0527863,0.186956,0.235944,0.132765,0.150151,207.156
-4078.04,0.991778,0.0612555,6,63,0,4080.55,4936.02,0.306519,0.0440271,0.200443,0.226048,0.185854,0.197842,202.885
-4078.07,0.999996,0.0612555,6,63,0,4079.52,4953.11,0.306579,0.0635851,0.205918,0.208643,0.164603,0.171303,207.786
-4078.27,0.909586,0.0612555,6,63,0,4082.72,4966.89,0.312317,0.0357249,0.190923,0.25045,0.156431,0.16726,203.489
-4077.91,0.998552,0.0612555,6,63,0,4081.87,4924.99,0.312254,0.0651893,0.203079,0.237516,0.14962,0.139562,204.377
-4078.7,0.96373,0.0612555,6,63,0,4081.09,4913.08,0.302995,0.0545644,0.198799,0.244989,0.170351,0.18636,205.341
-4079.66,0.955816,0.0612555,6,63,0,4085.73,4954.93,0.303594,0.0501905,0.194265,0.246765,0.157782,0.19926,204.707
-4081.3,0.99991,0.0612555,5,31,0,4083.09,4965.51,0.303082,0.0340997,0.194763,0.250893,0.136128,0.20801,209.168
