# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\4awqmm33.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121130_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.078914
# Diagonal elements of inverse mass matrix:
# 3198.02, 5.36184e-005, 0.000172193, 0.000215271, 0.000470703, 0.000558401, 0.00104635, 0.00084176
-4080.7,0.996831,0.078914,5,63,0,4083.81,4986.38,0.30416,0.0372657,0.19952,0.257038,0.170466,0.100398,195.796
-4083.71,0.999821,0.078914,6,63,0,4086.94,4932.48,0.298393,0.0226965,0.224676,0.2653,0.185128,0.125697,202.955
-4083.59,0.995323,0.078914,6,63,0,4088.38,4989.66,0.320569,0.0732823,0.169953,0.200719,0.152881,0.182697,202.464
-4082.02,0.99407,0.078914,5,31,0,4086.73,5000.36,0.310636,0.0700453,0.16723,0.199316,0.181967,0.173757,208.532
-4083.97,0.714001,0.078914,6,63,0,4089.21,5047.27,0.302846,0.0379432,0.210183,0.212857,0.119088,0.178937,207.51
-4086.25,0.980173,0.078914,6,63,0,4090.99,4824.96,0.319793,0.0616202,0.224571,0.222036,0.224704,0.164476,205.301
-4083.28,0.999734,0.078914,6,63,0,4088.27,4831.63,0.31094,0.0680322,0.222772,0.249367,0.166638,0.145865,200.957
-4082.15,0.997187,0.078914,5,31,0,4087.91,4856.97,0.306387,0.0666782,0.23018,0.236887,0.168454,0.147352,196.03
-4080.03,0.998365,0.078914,6,63,0,4083.87,4994.97,0.310043,0.0321985,0.179448,0.235726,0.174532,0.169152,213.365
-4079.77,0.950254,0.078914,5,31,0,4084.69,4948.84,0.308801,0.0573678,0.190375,0.248672,0.14372,0.158696,194.283
