# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\q_82hmci.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121141_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0696269
# Diagonal elements of inverse mass matrix:
# 2891.04, 5.12675e-005, 0.000156057, 0.000136194, 0.000470202, 0.000499396, 0.000942871, 0.000646097
-4667.7,0.935571,0.0696269,5,63,0,4673.37,4917.59,0.291807,0.0525989,0.223011,0.256816,0.148167,0.178248,210.658
-4666.71,0.993495,0.0696269,6,63,0,4670.43,4888.33,0.310958,0.0547395,0.208315,0.266736,0.144145,0.155424,202.113
-4667.56,0.998843,0.0696269,6,63,0,4669.31,4865.5,0.302569,0.07606,0.208442,0.251042,0.160017,0.192487,209.193
-4669.03,0.958864,0.0696269,6,63,0,4671.93,4835.39,0.305339,0.0615603,0.233833,0.29149,0.123183,0.14613,206.941
-4669.37,0.997799,0.0696269,6,63,0,4672.28,4825.05,0.302662,0.0709474,0.228996,0.234944,0.18014,0.183106,211.203
-4671.33,0.999578,0.0696269,6,63,0,4674.75,4822.47,0.319434,0.0502239,0.226412,0.288818,0.113178,0.164269,205.855
-4669.71,1,0.0696269,6,63,0,4674.15,4820.23,0.317988,0.0478363,0.225961,0.28662,0.136544,0.147509,207.659
-4670.68,0.968611,0.0696269,6,63,0,4676.79,4794.85,0.319105,0.0469754,0.225027,0.281976,0.130738,0.196545,207.784
-4669.4,0.935576,0.0696269,6,63,0,4676.91,4916.21,0.29561,0.067182,0.194442,0.276247,0.130031,0.207919,205.727
-4669.24,0.999883,0.0696269,6,63,0,4671.08,4905.22,0.309739,0.0433881,0.234804,0.238404,0.155097,0.124251,206.901
