# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\q_82hmci.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121141_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0830234
# Diagonal elements of inverse mass matrix:
# 2940.32, 5.03526e-005, 0.000152973, 0.000150537, 0.000426318, 0.000523477, 0.00101482, 0.000693055
-4668.41,0.989917,0.0830234,5,63,0,4671.06,4885.19,0.311031,0.0343031,0.220528,0.256316,0.150173,0.158711,201.377
-4667.8,0.999889,0.0830234,6,63,0,4670.7,4869.83,0.29892,0.0394952,0.234394,0.270394,0.156099,0.155209,202.412
-4667.55,0.999373,0.0830234,6,63,0,4671.43,4957.81,0.303951,0.068299,0.192379,0.241246,0.132968,0.164379,208.802
-4668.54,0.999086,0.0830234,5,63,0,4670.96,4909.5,0.300062,0.052115,0.226371,0.240664,0.169801,0.129823,196.384
-4669.69,0.996892,0.0830234,5,31,0,4671.14,4906.44,0.300697,0.0616172,0.233853,0.226825,0.162581,0.124758,197.311
-4669.2,0.921506,0.0830234,6,63,0,4672.17,4908.37,0.302916,0.0663564,0.223507,0.230442,0.168537,0.107798,200.831
-4670.34,0.995188,0.0830234,5,63,0,4674.7,4802.24,0.303781,0.0672912,0.234998,0.291349,0.105358,0.193832,206.33
-4671.84,0.980974,0.0830234,5,31,0,4676.21,4793.47,0.313302,0.06506,0.238019,0.283752,0.102552,0.180051,201.073
-4667.93,1,0.0830234,5,31,0,4674.69,4801.07,0.306607,0.0678539,0.220053,0.292958,0.142653,0.184126,201.103
-4669.6,0.96497,0.0830234,6,63,0,4673.76,4990.83,0.287576,0.0567808,0.223023,0.231069,0.117185,0.15642,211.428
-4669.55,0.983407,0.0830234,5,63,0,4675.44,4810.77,0.315317,0.0479972,0.227542,0.264626,0.178449,0.139386,208.513
