# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\vqcu92tn.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121155_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.081428
# Diagonal elements of inverse mass matrix:
# 2271.72, 4.31639e-005, 0.000137053, 0.000139068, 0.000376297, 0.000423889, 0.000789932, 0.000534304
-5201.51,0.979864,0.081428,5,31,0,5204.28,4916.32,0.297562,0.0837155,0.233428,0.223333,0.181113,0.0834838,193.228
-5197.9,0.959284,0.081428,6,63,0,5206.62,4982.35,0.293843,0.0601463,0.218141,0.242902,0.139552,0.125897,189.909
-5201.18,0.847131,0.081428,5,31,0,5203.05,4973.44,0.292841,0.0559755,0.229597,0.228242,0.140894,0.11807,192.87
-5197.47,0.982841,0.081428,5,63,0,5205.45,4965.8,0.294934,0.0533265,0.206477,0.29262,0.154598,0.0687511,189.865
-5199.16,0.999765,0.081428,5,31,0,5201.34,4953.63,0.296047,0.0598687,0.199929,0.300726,0.14654,0.0796665,188.253
-5196.29,1,0.081428,5,31,0,5201.2,4964.9,0.289905,0.0741329,0.209287,0.278502,0.155948,0.0434386,194.322
-5198.98,0.987377,0.081428,5,31,0,5201.81,4977.03,0.293478,0.0506263,0.239282,0.244901,0.161528,0.0509725,198.477
-5198.41,0.966794,0.081428,6,63,0,5204.09,5001.96,0.290047,0.0636499,0.215115,0.284042,0.133846,0.0186331,190.913
-5200.28,0.999164,0.081428,6,63,0,5205.28,5127.09,0.291587,0.0520374,0.200766,0.187813,0.160727,0.059165,200.743
-5197.57,0.995289,0.081428,5,31,0,5203,5113.94,0.292988,0.0487187,0.200106,0.204179,0.153046,0.0553093,196.608
-5196.59,0.992498,0.081428,5,31,0,5203.07,5066.43,0.286282,0.0618488,0.214799,0.216447,0.159739,0.0487599,189.232
-5196.87,0.975775,0.081428,6,63,0,5200.56,4933.72,0.294345,0.0584833,0.199197,0.285778,0.171759,0.108,198.737
-5197.4,0.997763,0.081428,5,47,0,5202.28,4999.37,0.295391,0.0549801,0.230203,0.242732,0.15253,0.0350027,190.289
-5194.96,0.997673,0.081428,5,63,0,5198.83,4992.48,0.286624,0.0611586,0.210139,0.265424,0.150394,0.0864766,197.41
-5193.87,0.98595,0.081428,5,31,0,5199.36,4988.57,0.289029,0.0606661,0.213899,0.248151,0.171809,0.0754686,192.873
-5196.22,0.883925,0.081428,5,31,0,5198.21,4977.8,0.288354,0.0627986,0.213923,0.248753,0.191441,0.0494024,189.156
-5196.12,0.956771,0.081428,5,31,0,5200.43,4994.82,0.289629,0.0559243,0.213762,0.231901,0.176577,0.115901,192.019
-5197.71,0.980751,0.081428,6,63,0,5200.73,4994.33,0.290053,0.0576002,0.22072,0.274606,0.16268,0.00320517,193.779
-5196.25,0.99865,0.081428,5,31,0,5200.96,4976.06,0.290325,0.0585091,0.221036,0.271565,0.171829,0.0218541,193.154
-5198.8,0.817928,0.081428,6,63,0,5203.05,5039.15,0.290434,0.0566781,0.190473,0.218117,0.207471,0.0743526,197.049
-5197.1,0.961594,0.081428,6,63,0,5202.36,5005.03,0.293986,0.0546725,0.216945,0.215218,0.171986,0.0987923,196.245
-5196.35,0.999935,0.081428,5,31,0,5198.36,4995.89,0.29651,0.0549923,0.217345,0.228963,0.179799,0.0739036,198.343
-5197.69,0.93568,0.081428,5,63,0,5201.11,4965.7,0.290195,0.0545554,0.206045,0.261657,0.210827,0.0482945,188.255
-5198.93,0.860861,0.081428,6,63,0,5204.04,4998.82,0.293246,0.0658838,0.215156,0.256118,0.124937,0.0975597,201.054
-5198.81,0.998133,0.081428,6,63,0,5202.84,5042.45,0.292362,0.0534863,0.199249,0.241688,0.123898,0.126081,199.581
-5195.19,0.997906,0.081428,6,63,0,5202.28,5035.07,0.29126,0.0581982,0.202225,0.252767,0.140451,0.0738091,199.536
-5196.23,0.830676,0.081428,6,63,0,5201.96,5023.34,0.288318,0.0564952,0.196158,0.246424,0.203231,0.0502347,189.918
-5194.43,0.999795,0.081428,5,63,0,5197.83,4971.12,0.289574,0.0538252,0.213505,0.255577,0.183896,0.0892123,193.742
-5197.21,0.996416,0.081428,5,31,0,5198.03,4924.45,0.299455,0.0534798,0.205286,0.286539,0.160756,0.105449,192.142
-5198.13,0.977245,0.081428,5,63,0,5201.59,4970.18,0.294065,0.0390577,0.206273,0.288581,0.161225,0.0885351,187.929
-5198.99,0.976288,0.081428,6,63,0,5206.21,5020.38,0.28594,0.0517655,0.201479,0.280895,0.120464,0.103579,196.451
