# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:11:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\vqcu92tn.json
# init = 2 (Default)
# random
#   seed = 9047
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121155_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0932476
# Diagonal elements of inverse mass matrix:
# 2117.65, 4.42814e-005, 0.000151594, 0.000130765, 0.0003527, 0.000419786, 0.000779557, 0.000541826
-5196.62,0.8206,0.0932476,5,63,0,5202.9,4974.04,0.291484,0.0581773,0.212892,0.287485,0.155174,0.0368445,198.129
-5197.06,0.968658,0.0932476,6,63,0,5200.03,5066.74,0.289671,0.0547368,0.197464,0.212362,0.180855,0.0866051,188.009
-5196.08,0.902393,0.0932476,5,31,0,5200.23,5058.55,0.286975,0.0369888,0.208562,0.252585,0.167279,0.0544915,191.358
-5195.67,0.94876,0.0932476,5,63,0,5197.55,4947.75,0.295874,0.0778797,0.211937,0.257474,0.164314,0.0732078,194.597
-5197.42,0.998847,0.0932476,5,31,0,5198.54,4919.31,0.302011,0.0738513,0.213765,0.262629,0.155436,0.0823203,191.002
-5197.16,0.989806,0.0932476,5,63,0,5201.42,5029.33,0.285452,0.0515174,0.210586,0.275194,0.12521,0.0683422,193.271
-5198.17,0.775232,0.0932476,5,31,0,5203.54,4960.3,0.30386,0.0684847,0.199293,0.230438,0.18467,0.101616,195.236
-5199.02,0.947458,0.0932476,5,63,0,5202.18,5112.17,0.277665,0.0521317,0.190893,0.25398,0.138941,0.0565276,196.434
-5196.3,0.979533,0.0932476,5,31,0,5200.42,5087.73,0.294389,0.0514727,0.188681,0.229515,0.152063,0.0593697,190.746
-5200.18,0.981426,0.0932476,5,31,0,5202.27,5075.46,0.294618,0.0550663,0.190437,0.202865,0.191686,0.0600778,201.417
-5198.52,0.966899,0.0932476,5,31,0,5204.07,5055.04,0.285213,0.0399572,0.192979,0.244494,0.177327,0.11955,193.748
-5197.23,0.998511,0.0932476,5,31,0,5202.37,4989.57,0.29418,0.0644876,0.214782,0.267731,0.120191,0.0836718,192.578
-5200.48,0.999245,0.0932476,6,63,0,5204.69,5067.68,0.292773,0.0499579,0.187101,0.28537,0.121335,0.0409208,190.051
-5199.82,0.966295,0.0932476,5,31,0,5207.89,4983.56,0.295435,0.0463416,0.206914,0.297791,0.152886,0.0203362,189.909
-5198.13,0.970507,0.0932476,5,31,0,5203.4,5009.2,0.289878,0.0476855,0.225905,0.266783,0.152406,0.012505,193.957
-5198.47,0.998822,0.0932476,6,63,0,5201.71,4973.51,0.296215,0.0600977,0.180966,0.261139,0.182697,0.12149,196.177
-5199.2,0.811451,0.0932476,5,31,0,5203.6,4986.18,0.288886,0.0612371,0.183912,0.252498,0.209926,0.112047,198.959
-5194.39,0.941461,0.0932476,5,31,0,5200.74,5040.37,0.292639,0.0609477,0.195697,0.244799,0.170066,0.0507218,192.65
-5196.93,0.979461,0.0932476,5,31,0,5198.89,5026.16,0.287853,0.0616285,0.193343,0.232579,0.206511,0.0633236,191.967
-5197.26,0.987367,0.0932476,6,63,0,5201.07,5048.01,0.291661,0.048137,0.201497,0.273188,0.121881,0.0647664,195.593
-5197.94,0.930431,0.0932476,5,31,0,5201.65,4994.67,0.292737,0.0636376,0.201666,0.223297,0.207697,0.0880724,188.118
-5198.99,0.98361,0.0932476,5,31,0,5202,5040.91,0.289687,0.0497192,0.222687,0.25887,0.109645,0.0555547,193.234
-5197.29,0.870674,0.0932476,5,31,0,5203.64,5006.91,0.301358,0.0668651,0.19519,0.236699,0.180793,0.0564717,190.604
-5198.99,0.920133,0.0932476,5,31,0,5202.55,4932.65,0.283548,0.057068,0.225158,0.284748,0.165714,0.109848,196.046
-5197.95,0.959184,0.0932476,6,63,0,5203.12,5018.16,0.300582,0.0652119,0.197974,0.233794,0.151278,0.0973695,197.214
-5197.61,0.773805,0.0932476,5,63,0,5202.69,4992.87,0.289767,0.0583719,0.216381,0.260408,0.154784,0.0862462,201.475
-5196.22,0.964383,0.0932476,5,31,0,5199.2,5014.42,0.291818,0.0453461,0.210596,0.265865,0.152479,0.0722315,199.877
-5195.89,0.997501,0.0932476,5,63,0,5198.88,5035.97,0.293755,0.0525255,0.208566,0.255875,0.137493,0.0630519,198.104
-5196.87,0.919916,0.0932476,5,31,0,5198.49,5028.13,0.290814,0.0475411,0.217057,0.261437,0.131234,0.072334,196.971
-5196.44,0.928518,0.0932476,6,63,0,5200.03,5033.62,0.289689,0.0650415,0.189106,0.236378,0.194883,0.0556528,191.771
-5197.61,0.974581,0.0932476,5,31,0,5199.63,5030.88,0.294176,0.0483409,0.211096,0.248772,0.12225,0.0912081,198.272
-5197.68,0.988522,0.0932476,5,31,0,5201.92,5046.77,0.293825,0.0706958,0.192836,0.210236,0.170715,0.0990191,193.944
