# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ekqvo73k.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120030_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0588352
# Diagonal elements of inverse mass matrix:
# 33134.9, 0.000314694, 0.00124312, 0.00122944, 0.00386581, 0.00371561, 0.00795607, 0.00482878
-581.14,0.852373,0.0588352,6,63,0,584.945,4289.58,0.298583,0.160982,0.254018,0.357022,0.216061,0.356999,198.187
-581.081,0.997676,0.0588352,6,63,0,585.397,4656.91,0.322729,0.0979992,0.197338,0.320665,0.222909,0.145211,202.386
-581.251,0.960853,0.0588352,6,63,0,582.733,4676.47,0.323397,0.109413,0.199914,0.301197,0.176453,0.122697,208.202
-579.59,0.959484,0.0588352,6,63,0,587.473,4457,0.325443,0.0965144,0.242707,0.395721,0.124679,0.267862,192.573
-579.529,0.993138,0.0588352,6,63,0,581.875,4239.24,0.331142,0.218766,0.241536,0.394145,0.180025,0.210045,202.619
-580.15,0.982024,0.0588352,6,63,0,581.316,4227.02,0.33158,0.133827,0.259721,0.448731,0.124998,0.368276,184.885
-580.707,0.950845,0.0588352,6,63,0,585.852,4197.78,0.330677,0.223523,0.22208,0.41911,0.20629,0.287176,202.907
-580.811,0.984543,0.0588352,6,63,0,585.293,4017.51,0.325647,0.174883,0.277162,0.453757,0.237377,0.325305,186.586
-581.015,0.909094,0.0588352,6,63,0,587.07,4135.01,0.328771,0.173785,0.26879,0.489369,0.150826,0.207254,184.771
-581.106,0.90777,0.0588352,6,63,0,585.358,4127.8,0.333066,0.199895,0.284125,0.470474,0.0960431,0.286909,182.973
-581.215,0.999838,0.0588352,6,63,0,585.296,4630.18,0.322642,0.111181,0.191138,0.280649,0.231434,0.258405,201.441
-582.3,0.916661,0.0588352,6,63,0,588.917,4563.34,0.31969,0.112726,0.186949,0.301645,0.211891,0.273594,204.114
-581.365,0.998179,0.0588352,6,63,0,584.408,4629.32,0.292659,0.141016,0.218308,0.359502,0.126058,0.164568,209.7
