# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:30 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ekqvo73k.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120030_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0606539
# Diagonal elements of inverse mass matrix:
# 34790.1, 0.000283193, 0.00132692, 0.00118425, 0.00406847, 0.00365208, 0.00720972, 0.00595554
-583.508,0.907217,0.0606539,6,63,0,584.657,4057.19,0.343748,0.14431,0.255431,0.55579,0.130639,0.247021,195.419
-584.604,0.976761,0.0606539,6,63,0,587.303,4066.79,0.33747,0.152474,0.267167,0.569319,0.0800819,0.244617,201.789
-583.368,0.999996,0.0606539,6,63,0,587.141,4123.16,0.343733,0.13889,0.26547,0.557915,0.0901334,0.280231,203.288
-580.388,0.995468,0.0606539,6,63,0,585.62,4221.04,0.31715,0.197383,0.244793,0.450777,0.132385,0.249534,197.443
-579.718,0.999811,0.0606539,6,63,0,584.31,4671.41,0.324147,0.15708,0.193669,0.258507,0.166652,0.181634,190.54
-582.072,0.933744,0.0606539,6,63,0,586.731,4387.59,0.283281,0.149832,0.266744,0.427919,0.144555,0.268782,198.535
-583.384,0.985577,0.0606539,6,63,0,585.031,4476.48,0.282012,0.15472,0.245891,0.446257,0.111526,0.216452,205.44
-580.704,0.972459,0.0606539,6,63,0,586.831,4172.91,0.335024,0.146736,0.299961,0.371454,0.185517,0.315119,206.325
-581.8,0.913357,0.0606539,6,63,0,587.053,4289.31,0.303609,0.148509,0.29699,0.419059,0.133068,0.299265,182.307
-581.001,0.97006,0.0606539,5,63,0,583.62,4298.03,0.307784,0.133039,0.289796,0.420317,0.130586,0.27363,184.934
-581.557,0.935406,0.0606539,6,63,0,583.865,4242.66,0.333462,0.19158,0.20371,0.421265,0.220289,0.318661,216.691
-579.608,0.991111,0.0606539,6,63,0,582.227,4206.1,0.335719,0.174943,0.218717,0.433475,0.21222,0.311689,210.542
-578.51,0.977721,0.0606539,6,63,0,581.04,4232.66,0.325842,0.176012,0.272598,0.379571,0.181248,0.284912,178.284
-578.285,0.997188,0.0606539,6,63,0,579.926,4245.34,0.319757,0.179215,0.258362,0.404353,0.188839,0.262289,177.699
-581.016,0.99619,0.0606539,5,31,0,582.234,4306.85,0.321851,0.202437,0.289441,0.318709,0.153832,0.240153,180.642
-579.948,0.981129,0.0606539,5,31,0,582.51,4342.53,0.317509,0.216378,0.25481,0.331554,0.163605,0.231892,180.013
-578.969,0.941192,0.0606539,6,63,0,582.313,4391.96,0.325031,0.141238,0.199094,0.409047,0.193031,0.253902,176.758
-579.898,1,0.0606539,6,63,0,581.469,4264.07,0.32865,0.208604,0.247926,0.332834,0.216355,0.259931,210.847
-580.828,0.994181,0.0606539,6,63,0,582.497,4558.55,0.318468,0.116107,0.198283,0.383112,0.142845,0.239695,163.086
-578.458,0.999981,0.0606539,6,63,0,584.592,4221.25,0.339199,0.17392,0.225467,0.426895,0.206098,0.252394,188.987
-579.2,0.974452,0.0606539,6,63,0,580.546,4236.26,0.320535,0.174017,0.28722,0.363428,0.186028,0.308849,191.563
-580.15,0.920616,0.0606539,6,63,0,583.329,4416.31,0.326619,0.173451,0.181985,0.412701,0.169365,0.281256,197.494
-578.601,0.998673,0.0606539,5,63,0,582.67,4411.91,0.326605,0.184995,0.217838,0.377227,0.132067,0.248581,204.812
-578.681,0.999413,0.0606539,6,63,0,581.441,4416.4,0.326386,0.187753,0.2188,0.379339,0.126057,0.227195,204.635
-580.3,0.984968,0.0606539,6,63,0,581.233,4462.95,0.339273,0.193332,0.238127,0.313565,0.116981,0.175527,203.444
-579.557,0.990964,0.0606539,6,63,0,582.956,4242.43,0.334264,0.171128,0.262875,0.42673,0.0790369,0.310591,203.706
-578.905,0.990711,0.0606539,5,63,0,582.21,4371.07,0.322462,0.174609,0.21994,0.398783,0.214131,0.170481,192.912
-582.728,0.847867,0.0606539,6,63,0,585.656,4437.22,0.348557,0.113686,0.23538,0.321777,0.233488,0.140536,214.519
-584.039,0.89004,0.0606539,6,63,0,588.122,4547.82,0.319532,0.124485,0.239653,0.42298,0.0268888,0.122376,185.378
-583.271,0.930317,0.0606539,6,63,0,591.885,4384.91,0.342145,0.154891,0.209522,0.3589,0.11319,0.293397,176.896
-580.295,1,0.0606539,6,63,0,584.086,4347.45,0.312285,0.160971,0.224312,0.402256,0.190722,0.232926,207.795
-580.858,0.800157,0.0606539,4,23,0,587.306,4377.34,0.315347,0.156417,0.248683,0.388643,0.227596,0.172084,214.295
-582.642,0.994101,0.0606539,6,63,0,586.083,4424.9,0.310737,0.102005,0.239392,0.369719,0.147936,0.404728,216.419
-579.133,0.961396,0.0606539,6,63,0,586.276,4232.69,0.34397,0.162757,0.227375,0.448756,0.142058,0.319009,188.76
-578.285,0.999988,0.0606539,6,63,0,580.825,4342.64,0.332731,0.161829,0.250957,0.382093,0.169644,0.218163,200.33
-580.237,0.987329,0.0606539,6,63,0,580.945,4581.67,0.31756,0.127747,0.184001,0.323666,0.151586,0.309311,178.052
-583.728,0.999356,0.0606539,6,63,0,587.903,4756.99,0.326162,0.129901,0.208215,0.295538,0.133782,0.00582075,220.866
-580.891,0.95431,0.0606539,6,63,0,586.237,4527.34,0.336637,0.124259,0.220336,0.328427,0.220553,0.156975,201.19
-579.65,0.994436,0.0606539,6,63,0,584.287,4571.59,0.298545,0.164974,0.190353,0.353141,0.145608,0.251075,186.305
-581.102,0.868658,0.0606539,6,63,0,585.579,4030.39,0.359028,0.169539,0.284713,0.436985,0.183364,0.266979,202.618
-583.097,0.999193,0.0606539,6,63,0,585.374,4826.51,0.284145,0.144187,0.168283,0.249035,0.163746,0.266511,183.071
-581.015,0.861686,0.0606539,6,63,0,587.528,4534.38,0.342796,0.143564,0.19758,0.364039,0.107517,0.138561,195.506
-588.065,0.996879,0.0606539,5,63,0,592.462,4801.65,0.322566,0.11934,0.241596,0.224877,0.106638,0.0225802,231.25
-587.267,0.995138,0.0606539,6,63,0,591.42,4822.59,0.317222,0.146488,0.239571,0.285393,0.0186283,0.0860092,222.756
-580.488,0.997253,0.0606539,6,63,0,589.464,4328.93,0.323557,0.156886,0.211065,0.369847,0.241882,0.353989,176.414
-580.818,0.945842,0.0606539,6,63,0,584.564,4273.76,0.319497,0.147842,0.258258,0.402126,0.148016,0.409932,187.787
