# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\2q7u8t8c.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120154_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0797566
# Diagonal elements of inverse mass matrix:
# 2489.5, 3.97027e-005, 0.000127365, 0.000118199, 0.00034947, 0.000430455, 0.00080458, 0.00044689
-5821.54,0.987014,0.0797566,6,63,0,5828,4950.61,0.31144,0.0570713,0.178359,0.250366,0.191405,0.121756,200.935
-5825.83,0.841833,0.0797566,5,31,0,5829.04,4929.5,0.321407,0.0514528,0.181474,0.258459,0.165905,0.149828,195.818
-5825.74,0.999756,0.0797566,6,63,0,5830.38,5152.73,0.309082,0.0341346,0.177499,0.188552,0.104453,0.126439,210.49
-5823.19,0.978716,0.0797566,6,63,0,5833.22,5067.89,0.308433,0.060024,0.162179,0.227955,0.112545,0.152202,200.591
-5823.62,0.741889,0.0797566,5,31,0,5829.01,5067.05,0.308585,0.0432097,0.187885,0.216933,0.16038,0.103757,206.291
-5823.01,0.965759,0.0797566,5,31,0,5828.54,5064.88,0.305239,0.0261219,0.192049,0.226234,0.161076,0.0735566,201.886
-5820.4,0.969668,0.0797566,6,63,0,5826.23,5019.04,0.307267,0.0595707,0.174116,0.253513,0.115276,0.138867,205.068
-5826.06,0.847341,0.0797566,5,31,0,5828.53,5065.86,0.316436,0.0211208,0.194007,0.228423,0.151898,0.0772907,195.369
-5827.69,0.994316,0.0797566,5,63,0,5830.06,4996.71,0.296419,0.0617235,0.17636,0.270162,0.130358,0.144067,216.488
-5820.99,0.999867,0.0797566,5,31,0,5831.48,5035.81,0.300878,0.0547485,0.177242,0.253165,0.123354,0.127476,209.118
-5821.33,0.969192,0.0797566,6,63,0,5825.2,5036.78,0.312271,0.0351428,0.188474,0.236769,0.148772,0.073718,197.519
-5820.3,0.922454,0.0797566,6,63,0,5825.85,5010.91,0.308086,0.0428525,0.192925,0.243511,0.123988,0.133863,195.552
-5822.87,0.982568,0.0797566,6,63,0,5825.95,5146.46,0.303114,0.0352073,0.181049,0.21089,0.143095,0.0664353,209.371
-5824.68,0.988404,0.0797566,6,63,0,5829.01,5076.32,0.317428,0.0570136,0.177885,0.190369,0.140361,0.117714,204.167
-5818.95,0.999996,0.0797566,5,31,0,5826.6,5036.87,0.312959,0.0487102,0.177612,0.252112,0.130327,0.0975948,200.146
-5818.54,0.997998,0.0797566,6,63,0,5820.55,5041.27,0.301377,0.042052,0.187834,0.233285,0.15046,0.122344,205.019
-5820.23,0.999762,0.0797566,6,63,0,5821.65,5079.82,0.306329,0.031497,0.179184,0.218997,0.167681,0.0943551,201.952
-5822.67,0.748527,0.0797566,5,31,0,5826.03,5076.79,0.305523,0.0570399,0.174842,0.235832,0.152592,0.0760655,203.441
-5820.67,0.950921,0.0797566,6,63,0,5825.4,5028.56,0.307591,0.024844,0.199359,0.238597,0.130317,0.13193,202.802
-5819.48,0.988637,0.0797566,5,63,0,5823.76,4949.59,0.30779,0.0531784,0.193813,0.26669,0.152034,0.111035,203.019
-5822.41,0.869806,0.0797566,5,31,0,5823.52,4934.47,0.310439,0.0367276,0.19449,0.277686,0.153734,0.123623,200.553
-5821.93,0.988561,0.0797566,6,63,0,5824.95,4997.73,0.306632,0.0476698,0.199792,0.246352,0.138594,0.134253,195.994
-5819.8,0.997453,0.0797566,6,63,0,5823.84,5057.58,0.306959,0.050051,0.178569,0.234272,0.138933,0.0908489,210.583
-5819.85,0.999326,0.0797566,6,63,0,5822.17,5041.85,0.307645,0.0363847,0.189147,0.241561,0.136237,0.122844,194.454
-5820.89,0.994286,0.0797566,5,31,0,5823.19,5039.9,0.308614,0.0326945,0.192363,0.241087,0.128147,0.11084,193.632
-5820.36,0.994796,0.0797566,5,31,0,5822.89,5045.11,0.308588,0.033488,0.192065,0.241927,0.127897,0.109326,193.224
-5822.14,0.914226,0.0797566,6,63,0,5826.53,5062.48,0.299463,0.0345111,0.201145,0.248802,0.138699,0.0534034,202.024
-5822.28,0.999652,0.0797566,5,63,0,5829.09,5046.65,0.306684,0.0582914,0.194563,0.197891,0.131951,0.135561,204.553
-5820.92,0.999602,0.0797566,6,63,0,5825.78,4991.85,0.309168,0.0441489,0.203891,0.230298,0.126819,0.157988,200.536
-5819.72,0.826292,0.0797566,5,31,0,5823.64,5052.34,0.305289,0.0406125,0.180283,0.255245,0.149229,0.0874598,208.269
-5822.12,0.987625,0.0797566,5,31,0,5824.22,5012.88,0.309983,0.0653568,0.185013,0.236052,0.163573,0.0690356,209.965
-5822.9,0.999248,0.0797566,6,63,0,5828.05,5006.79,0.308994,0.0548047,0.201943,0.243086,0.139533,0.0753909,214.605
-5820.28,0.902764,0.0797566,5,31,0,5826.1,4966.87,0.312561,0.0568032,0.192987,0.24568,0.171623,0.0901827,205.334
-5820.08,0.999788,0.0797566,6,63,0,5823.54,5034.57,0.306456,0.0285746,0.182239,0.257632,0.125174,0.154152,201.182
-5817.57,0.996754,0.0797566,4,31,0,5824.93,5017.36,0.309296,0.0459268,0.1858,0.238414,0.141399,0.132259,203.076
-5818.93,0.998386,0.0797566,5,31,0,5819.5,5024.88,0.309764,0.0536351,0.190874,0.23544,0.124721,0.111801,196.978
-5818.63,0.899954,0.0797566,5,31,0,5820.51,5050.78,0.307561,0.0503798,0.19167,0.230166,0.128743,0.105109,201.298
-5821.55,0.889127,0.0797566,5,31,0,5822.84,5006.97,0.303139,0.0355506,0.204253,0.250686,0.134388,0.103963,205.328
-5823.02,0.983605,0.0797566,6,63,0,5824.94,5087.34,0.309023,0.0539628,0.159737,0.230064,0.143783,0.122412,200.24
-5821.48,1,0.0797566,6,63,0,5825.19,4971.96,0.30691,0.0387576,0.203867,0.271911,0.141136,0.116354,206.395
-5828.06,0.953227,0.0797566,5,31,0,5831.88,5005.59,0.317089,0.0417747,0.209658,0.264075,0.127863,0.021004,204.754
-5822.75,0.967823,0.0797566,5,31,0,5832.35,5040.33,0.299576,0.0653825,0.176402,0.223441,0.154539,0.117011,200.428
