# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\2q7u8t8c.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120154_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0815135
# Diagonal elements of inverse mass matrix:
# 2368.17, 4.45512e-005, 0.000131417, 0.000144704, 0.000373159, 0.000431946, 0.000705125, 0.000511425
-5819.47,0.98769,0.0815135,5,63,0,5826.41,5040.13,0.309559,0.0444816,0.178962,0.24161,0.140792,0.0907615,204.341
-5818.8,0.980949,0.0815135,5,47,0,5824.77,5043.93,0.3106,0.0486668,0.181419,0.238788,0.145938,0.0949008,205.383
-5822.79,0.812913,0.0815135,5,31,0,5826.94,4995.59,0.307433,0.0443336,0.182805,0.274763,0.107767,0.17143,203.049
-5820.59,0.974596,0.0815135,6,63,0,5826.19,5027.44,0.303592,0.0554491,0.185697,0.255465,0.10733,0.124476,208.449
-5819.87,0.961337,0.0815135,5,63,0,5823.36,5064.2,0.299868,0.0393658,0.185615,0.242804,0.132896,0.124997,210.57
-5818.76,0.991352,0.0815135,5,31,0,5822.38,5041.63,0.306002,0.0295158,0.189372,0.241284,0.151929,0.106731,206.296
-5818.85,0.9865,0.0815135,6,63,0,5820.67,4992.91,0.307625,0.0585892,0.181453,0.256272,0.136852,0.120205,199.089
-5823.47,0.662597,0.0815135,3,11,0,5824.53,4997.92,0.308141,0.0654823,0.181081,0.257012,0.137574,0.127448,198.269
-5821.45,0.999721,0.0815135,5,63,0,5827.14,5022.36,0.296854,0.0514443,0.189008,0.235486,0.168415,0.12469,210.574
-5818.81,0.978742,0.0815135,5,31,0,5824.93,5056.47,0.302171,0.0506747,0.192959,0.219253,0.140445,0.109571,203.829
-5818.33,0.930221,0.0815135,5,63,0,5820.34,5039.49,0.312823,0.0358949,0.180315,0.244295,0.140268,0.110646,206.243
-5819.2,0.830393,0.0815135,6,63,0,5821.75,5031.23,0.304544,0.0408566,0.191457,0.230517,0.16018,0.127206,201.705
-5823.68,0.967716,0.0815135,5,31,0,5825.08,4960.1,0.31193,0.0571241,0.186789,0.267653,0.141802,0.0986774,216.099
-5821.82,0.972378,0.0815135,6,63,0,5828.42,4943.41,0.313018,0.0450977,0.187947,0.245742,0.166621,0.161124,197.718
-5818.04,0.998891,0.0815135,5,63,0,5823.04,5024.46,0.309483,0.0452105,0.192128,0.23891,0.135146,0.100069,199.338
-5819.94,0.964616,0.0815135,5,31,0,5821.34,5061.9,0.304903,0.0491538,0.18543,0.24431,0.121956,0.0929456,193.974
-5819.8,0.994408,0.0815135,5,63,0,5821.69,5075.08,0.300169,0.0497337,0.187713,0.240537,0.1255,0.0863364,196.376
-5825.1,0.976162,0.0815135,5,31,0,5827.43,5102.97,0.310796,0.0417885,0.175893,0.25338,0.0848279,0.0834694,214.472
-5819.53,0.995586,0.0815135,5,31,0,5826.61,5081.78,0.301332,0.0399917,0.18757,0.236182,0.126457,0.106023,209.967
-5819.53,0.948009,0.0815135,5,31,0,5822.15,5065.88,0.299537,0.0386227,0.189553,0.240332,0.133321,0.101158,207.074
-5820.01,0.991442,0.0815135,5,63,0,5821.44,5076.15,0.31435,0.0336755,0.173153,0.233472,0.125642,0.106383,200.287
-5821.62,0.997636,0.0815135,5,63,0,5826.54,4975.86,0.311814,0.060702,0.18339,0.259102,0.117611,0.151213,209.912
-5822.33,0.954413,0.0815135,5,63,0,5827.26,5011.72,0.311175,0.0627148,0.18416,0.208152,0.169034,0.108725,206.263
