# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\iklr54tl.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120035_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0773817
# Diagonal elements of inverse mass matrix:
# 12349.7, 0.000171254, 0.000606046, 0.000610275, 0.0017828, 0.00189448, 0.00371251, 0.00253615
-1171.61,0.982682,0.0773817,6,63,0,1176.62,5067.81,0.337979,0.0135333,0.138233,0.268037,0.124679,0.117299,212.998
-1180.05,0.932446,0.0773817,6,63,0,1185.06,4883.3,0.316268,0.0526647,0.254827,0.182249,0.165385,0.155249,200.372
-1177.49,0.855273,0.0773817,5,31,0,1187.92,4854.97,0.326172,0.00302438,0.131853,0.331806,0.265292,0.164444,229.975
-1175.51,0.997817,0.0773817,6,63,0,1179.74,4913.28,0.326306,-0.000852427,0.139684,0.319476,0.244274,0.193153,227.884
-1176.99,0.988731,0.0773817,5,63,0,1180.89,4779.63,0.32385,-0.0153932,0.159546,0.342538,0.267239,0.253768,220.91
-1176.58,0.963154,0.0773817,6,63,0,1183.17,4897.56,0.319851,0.0990208,0.19393,0.175677,0.19661,0.164861,211.034
-1176.92,0.744452,0.0773817,6,63,0,1183.48,4939.91,0.330423,-0.0224876,0.134491,0.349159,0.152608,0.187319,213.101
-1176.9,0.95622,0.0773817,5,63,0,1182.94,5081.24,0.302014,0.0822442,0.17057,0.180509,0.185004,0.0613891,209.142
-1175.74,0.977396,0.0773817,5,63,0,1179.8,5153.23,0.301551,0.0668688,0.174144,0.183484,0.152567,0.0352998,206.258
