# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:35 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\iklr54tl.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120035_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0812036
# Diagonal elements of inverse mass matrix:
# 11259.1, 0.000167627, 0.000653272, 0.000727439, 0.00151248, 0.00202268, 0.00369976, 0.00230703
-1177.12,0.695381,0.0812036,6,63,0,1183.7,4952.34,0.314747,0.015146,0.149087,0.249739,0.133844,0.340863,208.102
-1173.85,0.968432,0.0812036,6,63,0,1180.74,4865.41,0.32962,0.0609232,0.186628,0.221815,0.163426,0.296276,204.406
-1174.38,0.998852,0.0812036,6,63,0,1178.52,4806.7,0.315019,0.0787116,0.172423,0.245236,0.215155,0.26245,193.959
-1176.13,0.867401,0.0812036,6,63,0,1180.1,5101.62,0.335826,-0.00630296,0.152128,0.29851,0.10875,0.079008,221.081
-1177.41,1,0.0812036,5,31,0,1179.77,5093.67,0.341361,0.00702752,0.146704,0.297127,0.110766,0.039559,230.115
-1174.12,0.953122,0.0812036,6,63,0,1180.47,5092.31,0.304648,0.0210442,0.151066,0.307648,0.152072,0.0955697,215.177
-1174.06,0.997834,0.0812036,6,63,0,1181.84,5132.99,0.299931,0.00485499,0.123443,0.308065,0.113243,0.206027,201.608
-1173.9,0.968667,0.0812036,6,63,0,1179.19,4968.61,0.338523,0.0165878,0.186989,0.263052,0.132096,0.0917607,194.791
-1173.1,0.951457,0.0812036,6,63,0,1181.27,5107.13,0.3022,0.0450198,0.142953,0.226422,0.131575,0.233953,224.707
-1173.29,0.998236,0.0812036,5,63,0,1180.13,5203.22,0.308162,0.0189608,0.110666,0.240763,0.135321,0.182661,220.482
-1173.39,0.979479,0.0812036,6,63,0,1177.66,4767.91,0.32285,0.0695466,0.183781,0.241118,0.226681,0.286574,200.305
-1173.87,0.845366,0.0812036,6,63,0,1177.75,5148.55,0.308045,0.0657454,0.130354,0.231316,0.130439,0.154854,207.916
-1174.23,0.985726,0.0812036,6,63,0,1176.27,5012.22,0.336724,-0.00429403,0.163082,0.203884,0.173429,0.207369,205.183
-1173.27,0.974251,0.0812036,6,63,0,1176.48,5007.54,0.328605,0.0405909,0.142967,0.218892,0.179336,0.156854,218.235
-1171.72,0.957905,0.0812036,6,63,0,1176.18,4789.66,0.314905,0.040775,0.184685,0.317196,0.194421,0.213869,200.053
-1171.3,0.922966,0.0812036,5,31,0,1175,4876.7,0.333787,0.068446,0.164791,0.260269,0.151298,0.226645,199.993
