# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\_sxqupx8.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120040_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0737325
# Diagonal elements of inverse mass matrix:
# 7601.27, 0.00011629, 0.000426622, 0.000440168, 0.00129342, 0.00167095, 0.00265928, 0.00163274
-1763.58,0.978787,0.0737325,6,63,0,1767.49,5190.5,0.274675,0.00317602,0.15251,0.300206,0.147261,0.0515576,203.458
-1761.04,0.998841,0.0737325,6,63,0,1765.4,5100.84,0.303501,0.0100881,0.14727,0.238602,0.229491,0.0993216,217.044
-1760.44,0.994517,0.0737325,6,63,0,1764.66,5023.23,0.280762,0.0288663,0.171579,0.310437,0.21202,0.0858181,200.758
-1761.09,0.847143,0.0737325,6,63,0,1765.88,5139.34,0.301742,0.0097309,0.150894,0.273256,0.164418,0.0575617,220.075
-1762.88,0.997883,0.0737325,5,31,0,1768.06,5066.25,0.300846,0.017643,0.203798,0.198589,0.186413,0.123478,204.321
-1761.68,0.99545,0.0737325,6,63,0,1769.75,5058.36,0.27675,0.0181778,0.161556,0.320351,0.23625,0.0409401,201.878
-1761.16,0.999302,0.0737325,6,63,0,1764.16,5117.91,0.304359,0.0174156,0.17839,0.219991,0.172548,0.0831513,218.044
-1762.04,0.962635,0.0737325,6,63,0,1766.79,4921.54,0.285255,0.0242524,0.181279,0.34316,0.248265,0.0893087,206.019
-1762.31,0.990734,0.0737325,5,63,0,1764.68,5000.67,0.313923,0.0425869,0.17497,0.237805,0.179197,0.117715,207.33
-1763.58,0.978701,0.0737325,6,63,0,1766.05,5127.51,0.27203,0.0140174,0.156442,0.311727,0.245047,-0.00286382,216.768
-1763.09,0.938157,0.0737325,6,63,0,1768.18,5138.68,0.305958,0.00644838,0.179869,0.209166,0.149496,0.114555,204.231
-1762.8,0.780979,0.0737325,6,63,0,1769.72,5044.85,0.267217,0.00646473,0.2049,0.288488,0.231273,0.0731947,212.331
-1759.61,0.977781,0.0737325,5,31,0,1763.84,5097.27,0.277243,0.00984859,0.177361,0.271779,0.221433,0.0720061,212.432
-1758.88,0.988908,0.0737325,6,63,0,1762.32,5079.17,0.287869,0.0201954,0.162869,0.26311,0.210907,0.100456,207.454
-1761.1,0.999807,0.0737325,5,31,0,1761.64,5155,0.275022,0.0136645,0.173676,0.220289,0.215127,0.115614,211.197
-1762.99,0.987543,0.0737325,6,63,0,1765.67,5092.96,0.28039,0.0266796,0.175865,0.196384,0.256883,0.134214,207.554
-1763,1,0.0737325,5,63,0,1766.88,5181.92,0.273696,0.035508,0.182593,0.189805,0.224882,0.0653306,213.211
-1761.27,0.999944,0.0737325,6,63,0,1766.03,5114.07,0.285927,0.0362333,0.150965,0.293529,0.169606,0.0571886,220.887
-1761.18,0.99876,0.0737325,6,63,0,1764.12,5053.8,0.288899,0.0308245,0.159794,0.312553,0.218899,0.00229656,202.819
-1763.86,0.842528,0.0737325,6,63,0,1767.69,5025.15,0.298521,0.0279792,0.161402,0.218224,0.221366,0.191937,217.906
