# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\_sxqupx8.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120040_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.08101
# Diagonal elements of inverse mass matrix:
# 8593.93, 0.000104993, 0.000460916, 0.000446104, 0.0012256, 0.00130609, 0.00248727, 0.0018036
-1760.65,0.994928,0.08101,6,63,0,1764.51,5163.88,0.296571,-0.00171156,0.17314,0.246727,0.207789,0.00685783,205.229
-1759.74,0.999312,0.08101,6,63,0,1762.76,5054.38,0.283108,0.0297856,0.166253,0.283988,0.200688,0.12108,213.076
-1762.99,0.83745,0.08101,5,31,0,1765.24,5079.73,0.28707,-0.0100204,0.202087,0.239052,0.199179,0.095641,220.568
-1759.9,0.994479,0.08101,5,63,0,1764.04,5060.34,0.29534,0.0172862,0.189793,0.238824,0.241148,0.0458529,208.176
-1761.38,0.885516,0.08101,6,63,0,1763.24,5018.59,0.290212,0.0107056,0.167378,0.318369,0.183815,0.0869923,204.854
-1766.33,0.968284,0.08101,5,31,0,1769.58,5117.22,0.306387,0.00106907,0.120451,0.333957,0.176774,0.0535155,226.753
-1765.91,0.967473,0.08101,6,63,0,1771.87,5051.07,0.290128,-0.0123432,0.15855,0.379053,0.131595,0.115639,213.31
-1759.5,0.999938,0.08101,5,31,0,1766.39,5068.87,0.29181,0.0204252,0.182009,0.259373,0.202221,0.0822809,218.089
-1761.52,0.994136,0.08101,6,63,0,1762.63,4880.48,0.303435,0.0466096,0.196145,0.294778,0.233148,0.0580416,209.625
-1763.25,0.994749,0.08101,5,31,0,1765.47,4919.15,0.293229,0.00515722,0.155617,0.334098,0.235363,0.194058,217.83
-1762.52,0.999383,0.08101,6,63,0,1767.29,5202.27,0.29363,0.0166135,0.182712,0.207457,0.188073,-0.0290023,203.121
-1763.1,0.908959,0.08101,6,63,0,1768.07,4945.17,0.288441,0.0171084,0.160076,0.335857,0.222101,0.189377,215.743
-1764.69,0.894997,0.08101,5,63,0,1766.66,4961.72,0.290514,0.00360732,0.159189,0.340889,0.220133,0.189725,222.011
-1764.81,0.997615,0.08101,6,63,0,1769.54,4949.5,0.295924,0.00828688,0.221696,0.304061,0.210012,-0.0115163,216.267
-1762.18,0.991889,0.08101,5,31,0,1767.05,4984.87,0.296714,-0.00325669,0.202658,0.312649,0.200241,0.0829297,217.021
-1765.96,0.93944,0.08101,5,31,0,1769.16,4911.08,0.292726,0.0519504,0.239053,0.261875,0.201616,0.0771341,209.101
-1763.45,0.995686,0.08101,6,63,0,1769.89,5215.68,0.281098,-0.0143872,0.144151,0.282426,0.156584,0.0761426,218.88
-1760.68,0.972163,0.08101,5,31,0,1764.5,5205.02,0.282305,0.00263459,0.152215,0.239077,0.188323,0.0822738,213.703
-1761.32,0.988273,0.08101,6,63,0,1764.94,4907.4,0.299877,0.0396377,0.172857,0.339806,0.187407,0.109732,212.137
-1764.12,0.962045,0.08101,5,31,0,1765.98,4933.43,0.305139,0.0192092,0.166941,0.371417,0.198493,0.0213985,206.67
-1760.03,0.991172,0.08101,5,31,0,1766.67,4924.53,0.296434,0.0393997,0.19382,0.27145,0.236442,0.103169,208.857
-1759.4,0.999379,0.08101,6,63,0,1762.24,5131.93,0.286547,0.0215382,0.157081,0.273566,0.206878,0.0333193,212.385
-1760.06,0.976716,0.08101,5,63,0,1761.06,5147.12,0.285104,0.0132959,0.157355,0.275529,0.172551,0.0954839,215.413
-1763.91,0.944115,0.08101,5,47,0,1769.45,4964.97,0.281329,0.0214932,0.18213,0.34169,0.227758,0.0257224,223.74
-1763.93,0.982915,0.08101,6,63,0,1766.74,4984.79,0.311832,0.033026,0.174181,0.215327,0.230874,0.133533,200.683
-1764.7,0.982837,0.08101,6,63,0,1771.19,5124.3,0.290396,-0.010223,0.182912,0.315609,0.150782,0.0287516,230.622
-1762.46,0.785801,0.08101,5,31,0,1770.57,5114.63,0.299453,0.0310214,0.159016,0.260121,0.161236,0.0789541,228.849
-1762.96,0.986522,0.08101,6,63,0,1765.31,4955.86,0.287379,0.00195563,0.204226,0.281983,0.259299,0.0860494,196.139
-1762.92,0.998361,0.08101,6,63,0,1765.74,5044.81,0.294552,0.0318996,0.170601,0.311395,0.144244,0.0556206,226.441
-1762.05,0.995184,0.08101,6,63,0,1766.54,4961.82,0.287901,0.043585,0.148946,0.317723,0.231395,0.140617,201.244
-1763.32,0.769076,0.08101,6,63,0,1768.17,4953.43,0.311945,0.0101656,0.205406,0.263525,0.206621,0.0645309,224.816
-1761,0.88279,0.08101,6,63,0,1767.61,5146.52,0.27681,0.0149039,0.156469,0.266529,0.246362,0.0211256,214.064
-1762.54,0.93892,0.08101,6,63,0,1766.08,5150.87,0.29509,0.0290284,0.188339,0.213429,0.215893,-0.020666,203.88
-1762.2,0.971624,0.08101,6,63,0,1767.05,5011.95,0.283304,0.00530192,0.167428,0.316979,0.185865,0.156167,202.051
-1760.41,0.999408,0.08101,5,31,0,1765.28,5072.54,0.286498,-0.00317558,0.164697,0.28806,0.220865,0.100833,221.285
-1763.45,0.997727,0.08101,5,31,0,1764.67,5090.31,0.294811,-0.0126151,0.147494,0.325142,0.156792,0.142541,222.299
-1762.65,0.988696,0.08101,6,63,0,1767.95,5058.31,0.298879,0.0505496,0.192352,0.220365,0.185333,0.0478411,197.815
-1761.63,0.993278,0.08101,6,63,0,1767.08,5000.37,0.302096,0.0446236,0.198958,0.233207,0.213824,0.0444055,201.154
-1761.88,0.986207,0.08101,5,31,0,1765.2,4906.23,0.302076,0.0459528,0.196294,0.269488,0.234377,0.086955,197.724
-1759.51,0.969505,0.08101,5,31,0,1763.64,5008.69,0.292236,0.0320869,0.180882,0.265332,0.229672,0.10287,207.218
-1761.36,0.999278,0.08101,5,31,0,1762.32,4901.19,0.304159,0.0266442,0.202324,0.273345,0.268336,0.0574725,210.263
-1764.01,0.96222,0.08101,6,63,0,1766.42,4920.51,0.29951,0.0534731,0.194745,0.328169,0.200968,-0.00818614,204.744
-1765.07,0.93807,0.08101,6,63,0,1769.1,4947.07,0.309633,0.0512879,0.203483,0.296179,0.142423,0.0219556,216.494
-1767.61,0.999054,0.08101,6,63,0,1770.89,5325.09,0.264795,-0.0202617,0.133622,0.216175,0.236452,0.0925139,202.132
-1763.87,0.955422,0.08101,6,63,0,1770.97,5204.38,0.28327,0.00106487,0.133842,0.209306,0.25902,0.116893,207.852
-1762.95,0.999014,0.08101,5,31,0,1769.51,5188.33,0.279201,0.0139128,0.138836,0.215176,0.261142,0.105373,209.538
-1759.94,0.997091,0.08101,6,63,0,1766.24,5084.54,0.295221,0.0155864,0.187508,0.276462,0.153348,0.0504004,209.187
-1760.45,0.995117,0.08101,6,63,0,1761.87,5177.13,0.283167,0.0139443,0.145503,0.233253,0.229958,0.079174,207.997
-1763.53,0.914745,0.08101,5,31,0,1765.89,5122.72,0.303805,0.0247018,0.190985,0.232272,0.206639,-0.0432798,204.247
-1765.95,0.979621,0.08101,4,15,0,1767.9,5120.95,0.303634,0.0463546,0.177098,0.232842,0.222069,-0.0806237,201.749
-1764.14,0.98324,0.08101,5,63,0,1769.82,5073.65,0.307028,0.049838,0.165187,0.258458,0.220051,-0.0371393,203.776
-1761.17,0.999197,0.08101,5,31,0,1765.85,5077.02,0.295096,0.0386273,0.169092,0.282814,0.206127,-0.0273599,209.97
-1759.33,0.9254,0.08101,5,63,0,1762.47,5108.86,0.290026,-0.00567062,0.181957,0.252029,0.212482,0.0737275,209.484
-1762.85,0.994996,0.08101,5,31,0,1763.94,5190.42,0.29457,0.037617,0.143322,0.271459,0.15292,-0.0137679,213.585
-1760.37,0.935181,0.08101,5,63,0,1764.78,5184.18,0.291562,0.0123887,0.155066,0.254957,0.196506,0.0124278,217.187
-1762.46,0.998009,0.08101,5,31,0,1763.45,5221.66,0.28698,0.0362005,0.167549,0.183416,0.193172,0.0285051,216.383
-1761.48,0.912819,0.08101,6,63,0,1765.26,5175.57,0.282688,0.0215378,0.142647,0.263921,0.173271,0.0715125,203.841
-1762.23,0.991912,0.08101,5,31,0,1764.25,5192.24,0.289916,0.0170063,0.138346,0.283942,0.197779,-0.00264243,216.697
-1760.88,0.990675,0.08101,6,63,0,1764.59,5161.62,0.285768,0.0107512,0.164258,0.227999,0.174753,0.127203,204.157
-1759.85,0.984367,0.08101,5,31,0,1765.42,5157.43,0.285278,0.00994676,0.163952,0.234085,0.198309,0.112686,205.819
-1761.72,0.94433,0.08101,6,63,0,1768.3,4885.21,0.308004,0.053016,0.168429,0.295074,0.234245,0.134493,208.829
-1760.34,0.965076,0.08101,6,63,0,1765.79,5107.07,0.284619,-0.000866754,0.190686,0.282631,0.194384,0.0425256,210.859
-1761.33,0.951197,0.08101,5,63,0,1764.46,5095.96,0.287926,0.0259137,0.149151,0.295471,0.237406,0.0141366,202.584
-1767.83,0.999794,0.08101,5,31,0,1770.71,4998.39,0.28425,0.0182736,0.145963,0.242634,0.287737,0.243238,225.654
-1759.86,0.987897,0.08101,5,63,0,1769.41,5056.34,0.296713,0.0279447,0.181004,0.261036,0.224758,0.0241624,215.244
-1763.03,0.938666,0.08101,5,63,0,1764.94,5076.14,0.279136,0.0573261,0.144963,0.269203,0.239361,0.0939342,207.997
-1764.97,0.999899,0.08101,6,63,0,1769.59,4853.3,0.310155,0.0033889,0.195425,0.341018,0.169125,0.191201,216.999
-1767.57,0.993774,0.08101,5,63,0,1773.43,5198.09,0.269277,0.0411535,0.11848,0.257078,0.27225,0.0265978,202.189
-1759.55,0.975202,0.08101,5,31,0,1769.49,5081.44,0.281738,0.027612,0.172957,0.264348,0.196034,0.116174,210.262
-1766.43,0.98629,0.08101,5,31,0,1767.87,5079.82,0.27004,0.00683055,0.210141,0.270096,0.162124,0.147968,230.969
-1766.37,0.98216,0.08101,5,63,0,1769.06,5132.75,0.268747,-0.00171038,0.210766,0.24911,0.164583,0.134922,228.15
-1761.96,0.998522,0.08101,5,31,0,1768.78,5123.62,0.280847,-0.0292288,0.184181,0.266282,0.235674,0.0788238,212.256
-1762.53,0.999469,0.08101,5,63,0,1765.42,5216.05,0.277758,-0.0226315,0.172896,0.247339,0.23297,0.00560427,206.679
-1760.98,0.999884,0.08101,5,31,0,1764.56,5130.04,0.288896,0.0170236,0.187831,0.241497,0.227129,-0.0290051,210.45
-1761.01,0.990611,0.08101,6,63,0,1762.8,4966.5,0.283681,0.00531669,0.18213,0.339398,0.207185,0.119918,209.74
-1761.83,0.997918,0.08101,6,63,0,1764.31,5103.85,0.288738,0.049821,0.181431,0.194143,0.229644,0.0599976,209.546
-1761.38,0.99787,0.08101,5,63,0,1763.46,5116.81,0.287613,0.0545523,0.162399,0.225723,0.226106,0.030161,214.355
