# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\zcsfkh4k.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120047_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0896567
# Diagonal elements of inverse mass matrix:
# 5109.3, 7.76881e-005, 0.00034189, 0.000315566, 0.000717051, 0.00112971, 0.00180619, 0.00130156
-2323.29,0.877821,0.0896567,5,31,0,2329.61,4951.55,0.301169,0.0794688,0.224472,0.226025,0.0955231,0.127437,190.175
-2323.43,0.996959,0.0896567,6,63,0,2325.64,4954.96,0.313261,0.031169,0.232083,0.221255,0.141506,0.112707,207.471
-2326.67,0.995788,0.0896567,5,31,0,2330.18,4865.19,0.291543,0.0928685,0.232877,0.230859,0.180969,0.125056,195.79
-2328.44,0.802,0.0896567,6,63,0,2332.09,5020.87,0.324377,0.0205164,0.220738,0.227,0.0824828,0.118386,201.505
-2326.96,0.944292,0.0896567,6,63,0,2330.24,4872.13,0.291177,0.0947578,0.235723,0.220565,0.164179,0.126371,197.941
-2324.71,0.985557,0.0896567,5,31,0,2330.22,4943.81,0.317133,0.0338618,0.223436,0.261772,0.0896689,0.0973194,194.672
-2325.05,0.998395,0.0896567,5,31,0,2327.86,4965.31,0.312535,0.0599826,0.205354,0.258167,0.0624048,0.136222,194.247
-2328.8,0.839584,0.0896567,6,63,0,2331.06,4744.65,0.308403,0.0642392,0.262543,0.226353,0.219933,0.169608,209.567
-2323.25,0.973153,0.0896567,5,31,0,2330.08,4890.71,0.317125,0.0693526,0.219049,0.239503,0.0980612,0.154357,192.711
