# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\zcsfkh4k.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120047_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0911851
# Diagonal elements of inverse mass matrix:
# 5401.25, 7.93538e-005, 0.00031321, 0.000276458, 0.000684225, 0.000868685, 0.00219348, 0.00121199
-2325.25,0.774032,0.0911851,5,31,0,2334.04,4946.35,0.299518,0.05178,0.206363,0.244294,0.106854,0.19774,202.443
-2328.29,0.979975,0.0911851,5,31,0,2331.9,4994.67,0.284236,0.0410589,0.206797,0.229196,0.160948,0.181386,192.8
-2329.05,0.991511,0.0911851,5,63,0,2334.37,4977.64,0.283755,0.0559531,0.209576,0.258483,0.140831,0.142355,184.261
-2328.61,0.928345,0.0911851,5,31,0,2331.06,4966.18,0.287058,0.046969,0.206265,0.264304,0.149037,0.148026,184.917
-2327.62,0.9096,0.0911851,5,31,0,2333.36,5047.5,0.308414,0.0618109,0.233454,0.158629,0.10088,0.0896911,216.184
-2323.95,0.988431,0.0911851,5,31,0,2328.88,4958.89,0.298851,0.0571878,0.225436,0.233736,0.125697,0.110619,184.182
-2323.26,0.967997,0.0911851,5,31,0,2324.94,4948,0.298194,0.0607958,0.229124,0.235339,0.121338,0.119971,185.696
-2324.05,0.99998,0.0911851,6,63,0,2326.97,4900.97,0.3139,0.0746056,0.227872,0.201791,0.163897,0.101496,208.694
-2325.88,0.847992,0.0911851,5,31,0,2328.08,4841.4,0.315588,0.0839768,0.222384,0.199999,0.173503,0.159449,203.856
-2325.67,0.988917,0.0911851,6,63,0,2327.77,4855.73,0.320868,0.0795288,0.216378,0.198753,0.174126,0.15106,204.331
-2323.98,0.998144,0.0911851,6,63,0,2329.22,4906.66,0.307388,0.062574,0.244063,0.24167,0.0629199,0.171366,199.138
-2324.08,0.994412,0.0911851,6,63,0,2327.4,4873.83,0.299617,0.0726371,0.249071,0.225437,0.105283,0.199695,197.06
-2326.88,0.67297,0.0911851,5,31,0,2330.41,4847.34,0.314303,0.0623219,0.241891,0.253579,0.0911928,0.13343,212.635
-2322.11,0.934628,0.0911851,5,31,0,2329.28,4883.45,0.315836,0.0677405,0.237805,0.228975,0.130364,0.115691,195.457
-2324.74,0.821561,0.0911851,6,63,0,2326.73,5023.02,0.298207,0.0420951,0.209424,0.220838,0.110047,0.133046,202.627
-2322.49,0.999015,0.0911851,6,63,0,2325.01,4854.49,0.312303,0.0627719,0.251034,0.236665,0.1411,0.11237,195.204
-2321.87,0.999013,0.0911851,5,31,0,2323.23,4855.16,0.310099,0.0585985,0.249049,0.245315,0.134511,0.117607,197.297
-2323.15,0.871771,0.0911851,5,63,0,2328.34,4867.22,0.311537,0.054723,0.213678,0.248976,0.160161,0.17963,200.801
-2323.16,0.857212,0.0911851,6,63,0,2326.93,5041.66,0.300939,0.0585137,0.236097,0.203364,0.0830815,0.0760109,197.27
-2323.58,0.985589,0.0911851,5,63,0,2325.27,5002.16,0.304619,0.0660781,0.227365,0.209618,0.105277,0.0874632,211.735
-2323.12,0.998817,0.0911851,5,63,0,2326.89,4973.66,0.307466,0.0686665,0.230996,0.198315,0.121613,0.095199,209.439
-2323.93,0.995308,0.0911851,5,31,0,2325.51,4984,0.313053,0.0680245,0.217149,0.188127,0.127938,0.113478,210.691
-2322.32,0.99945,0.0911851,5,31,0,2325.08,4910.21,0.317751,0.063246,0.21562,0.219879,0.12908,0.151602,202.735
-2325.2,0.949695,0.0911851,5,31,0,2328.41,4905.46,0.32461,0.0611961,0.225048,0.204525,0.0912713,0.186433,200.016
-2323.97,0.993228,0.0911851,5,63,0,2328.85,4871.92,0.316498,0.0725345,0.256541,0.21052,0.10393,0.119127,194.491
-2325.57,0.956782,0.0911851,5,31,0,2333.56,4903.83,0.307958,0.0644947,0.254435,0.248677,0.0503067,0.145219,193.798
