# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\2zf98cnn.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120055_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0687925
# Diagonal elements of inverse mass matrix:
# 4852.87, 7.84248e-005, 0.000336329, 0.000258884, 0.000808089, 0.000765578, 0.00147444, 0.00108376
-2936.45,0.877671,0.0687925,6,63,0,2942.29,4869.38,0.304868,0.0653109,0.196792,0.314115,0.211903,0.0583011,212.094
-2934.7,0.971225,0.0687925,6,63,0,2941.93,4952.3,0.302549,0.0250201,0.214854,0.299481,0.121235,0.152992,210.594
-2933.69,0.900933,0.0687925,6,63,0,2939.14,4867.2,0.28835,0.0632205,0.235408,0.280971,0.184356,0.15125,208.041
-2931.32,0.953019,0.0687925,6,63,0,2936.43,4887.09,0.306265,0.0281693,0.205746,0.272239,0.180729,0.180724,217.225
-2934.8,0.982518,0.0687925,6,63,0,2938.67,4897,0.31246,0.0701902,0.179993,0.278993,0.140518,0.171186,214.213
-2931.54,0.956644,0.0687925,6,63,0,2937.12,4912.57,0.28289,0.0310982,0.214782,0.276257,0.204561,0.204976,210.727
-2930.57,0.999616,0.0687925,6,63,0,2934.48,5023.27,0.297977,0.0203356,0.207427,0.227743,0.180177,0.122256,211.81
-2930.45,0.974357,0.0687925,6,63,0,2932.76,5030.65,0.290974,0.0235371,0.20124,0.245254,0.190664,0.104193,207.807
-2935.49,0.768342,0.0687925,6,63,0,2937.34,4971.52,0.295843,0.0342235,0.233097,0.215168,0.185953,0.0892487,213.45
