# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:00:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\2zf98cnn.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120055_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0550796
# Diagonal elements of inverse mass matrix:
# 5279.41, 8.37972e-005, 0.000252241, 0.000296199, 0.000895448, 0.0009462, 0.00192178, 0.000899968
-2933.23,0.989227,0.0550796,6,63,0,2937.97,4910.08,0.283572,0.0307505,0.243706,0.267726,0.179961,0.170801,202.045
-2932.73,0.990519,0.0550796,6,63,0,2937.39,4938.86,0.310631,0.0206403,0.203268,0.273455,0.152935,0.148762,203.596
-2936.82,0.84131,0.0550796,5,31,0,2940.83,4884.65,0.317814,0.0142254,0.201112,0.276996,0.184935,0.154252,201.059
-2933.02,0.997951,0.0550796,5,31,0,2940.32,4909.76,0.303356,0.0160271,0.206937,0.272097,0.17939,0.178633,202.334
-2932.54,0.999493,0.0550796,6,63,0,2934.41,4919.03,0.289862,0.0598357,0.214141,0.25745,0.170228,0.146146,221.828
-2931.41,0.998986,0.0550796,6,63,0,2935.79,4892.92,0.292032,0.0521009,0.226377,0.258113,0.191735,0.141484,223.933
-2934.24,0.921565,0.0550796,6,63,0,2937.07,4943.95,0.293549,0.035926,0.24561,0.220442,0.213942,0.12252,213.822
-2934.85,0.977411,0.0550796,6,63,0,2938.25,4878.66,0.305053,0.0495129,0.231099,0.210703,0.209391,0.147834,206.319
-2933.6,0.998781,0.0550796,6,63,0,2937.33,4913.12,0.302081,0.0527369,0.212911,0.217796,0.198025,0.157906,205.212
-2929.75,0.99799,0.0550796,6,63,0,2934.46,4911.01,0.288477,0.0393814,0.212208,0.29522,0.169455,0.169788,208.539
-2930.36,0.965601,0.0550796,6,63,0,2933.82,5001.21,0.302072,0.0363001,0.200714,0.25431,0.164315,0.105912,215.454
-2930.82,0.998513,0.0550796,6,63,0,2932.73,4976.21,0.290247,0.0510426,0.203104,0.228765,0.195587,0.173295,201.361
-2929.43,0.999825,0.0550796,6,63,0,2932.5,4937.69,0.296949,0.030874,0.216043,0.24541,0.180649,0.178386,215.562
-2932.73,0.98988,0.0550796,5,31,0,2933.19,4966.5,0.293222,0.0156191,0.231219,0.211914,0.193247,0.18858,215.499
-2930.09,0.971636,0.0550796,6,63,0,2936.4,4912.95,0.307217,0.0473742,0.210305,0.23405,0.197687,0.168616,213.624
-2939.59,0.811363,0.0550796,6,63,0,2941.87,5040.21,0.30098,0.0545641,0.223608,0.18535,0.199156,0.075942,213.668
-2938.91,0.999982,0.0550796,6,63,0,2945.67,4999.95,0.287754,0.0150521,0.170926,0.288681,0.17476,0.174114,218.72
-2936.41,0.955006,0.0550796,6,63,0,2945.65,4989.78,0.292234,0.052503,0.214748,0.263013,0.155427,0.112527,194.163
-2931.69,0.997354,0.0550796,6,63,0,2940.08,5090.58,0.284013,0.0255798,0.197173,0.239169,0.149455,0.143217,208.41
-2932.09,0.973428,0.0550796,6,127,0,2934.12,4741.68,0.310306,0.0617998,0.229495,0.287233,0.222721,0.167065,212.888
-2932.62,0.946614,0.0550796,6,127,0,2937.02,4944.83,0.279155,0.0442322,0.198402,0.269068,0.205668,0.171747,218.234
-2930.1,0.996902,0.0550796,6,63,0,2937.07,4939.71,0.30248,0.0368026,0.223455,0.243578,0.19456,0.117727,206.026
-2930.61,0.995926,0.0550796,6,63,0,2935.36,4966.7,0.293967,0.0193701,0.231604,0.256746,0.16945,0.135581,212.083
-2931.89,0.997066,0.0550796,6,63,0,2933.21,4977.53,0.297166,0.00199458,0.216983,0.261201,0.182024,0.137508,215.566
-2931.49,0.986199,0.0550796,6,63,0,2934.79,5019.26,0.2847,0.0377505,0.212594,0.211885,0.207335,0.140268,205.755
-2933.21,0.974761,0.0550796,6,63,0,2936.53,5014.04,0.301987,0.0400608,0.193652,0.272429,0.102016,0.154134,211.484
-2929.89,0.978143,0.0550796,5,31,0,2934.6,4976.95,0.298974,0.0330467,0.209635,0.264798,0.147537,0.144901,214.934
-2935.27,0.999155,0.0550796,6,63,0,2936.74,5048.04,0.288696,0.0230119,0.188389,0.265137,0.120511,0.192138,199.256
-2934.41,0.981372,0.0550796,6,63,0,2940.64,5000.62,0.306318,0.0459349,0.194548,0.199634,0.219114,0.0999488,217.239
-2932.46,1,0.0550796,6,63,0,2937.58,4915.75,0.286516,0.0195777,0.230874,0.300889,0.166003,0.157372,205.879
-2929.44,0.998973,0.0550796,5,63,0,2934.56,4885.21,0.291625,0.0517052,0.225153,0.276105,0.164194,0.176339,209.714
-2930.95,0.985036,0.0550796,6,63,0,2931.63,5027.79,0.29926,0.0237827,0.196639,0.233953,0.193774,0.103043,208.325
-2930.12,0.969213,0.0550796,6,63,0,2933.1,4936.46,0.287075,0.0375862,0.214499,0.260551,0.180549,0.187463,202.184
-2929.53,0.999969,0.0550796,6,63,0,2931.8,4874.91,0.294977,0.055863,0.214306,0.261095,0.181452,0.205226,207.677
-2933.68,0.820363,0.0550796,6,63,0,2938.68,5024.42,0.298877,0.0155835,0.205379,0.231635,0.186032,0.0947147,214.594
-2936,0.995137,0.0550796,6,63,0,2938.64,5081.73,0.274952,0.0284841,0.194113,0.259057,0.178708,0.134055,223.52
-2930.35,0.997066,0.0550796,6,63,0,2939.99,4875.81,0.297053,0.038958,0.195567,0.295446,0.216221,0.159773,205.821
-2930.78,0.999842,0.0550796,6,63,0,2931.86,4936.78,0.295972,0.063629,0.224341,0.234922,0.145601,0.167549,214.317
-2931.55,0.978977,0.0550796,6,63,0,2935.13,4962.47,0.293408,0.057395,0.211137,0.237235,0.134674,0.1913,216.107
-2930.14,0.999274,0.0550796,6,63,0,2933.42,4981.73,0.289441,0.0523056,0.206292,0.272888,0.15997,0.10528,207.942
-2930.11,0.999999,0.0550796,6,63,0,2931.61,4952.22,0.287524,0.0504912,0.197611,0.286722,0.175628,0.128381,213.393
-2931.11,0.965969,0.0550796,7,127,0,2932.72,5035.95,0.282329,0.0410871,0.194345,0.267794,0.167911,0.109368,212.084
-2932.28,0.938959,0.0550796,6,63,0,2935.81,4882.49,0.307011,0.0466498,0.241157,0.229491,0.184683,0.163506,206.927
-2931.96,0.988787,0.0550796,6,63,0,2934.18,4907,0.295639,0.0267013,0.211164,0.296502,0.173749,0.132667,217.107
-2932.46,0.999785,0.0550796,6,63,0,2934.2,4798.54,0.302756,0.0601571,0.231188,0.252615,0.197642,0.196335,214.043
-2935.48,0.999535,0.0550796,6,63,0,2937.76,4887.28,0.291803,0.0711966,0.243739,0.250142,0.16919,0.139258,225.931
-2935.52,0.999163,0.0550796,6,63,0,2938.47,4962.63,0.299574,0.0123279,0.180567,0.258869,0.226287,0.177038,197.898
-2932.72,0.998486,0.0550796,6,63,0,2938.26,4941.74,0.290119,0.0683942,0.215509,0.23207,0.176693,0.178751,222.045
-2931.74,0.993985,0.0550796,6,63,0,2935.23,4920.47,0.299633,0.0493939,0.209305,0.264287,0.146809,0.167881,222.923
-2931.6,0.986646,0.0550796,6,63,0,2935.26,5026.66,0.28714,0.0472389,0.187412,0.229072,0.191531,0.176037,205.017
-2932.38,0.999327,0.0550796,6,63,0,2935.51,4981.97,0.28965,0.031136,0.197868,0.278832,0.142427,0.190981,199.196
-2930.72,0.999615,0.0550796,6,63,0,2934.67,4823.15,0.304335,0.0569523,0.221451,0.279776,0.220449,0.119868,215.017
-2932.65,0.994843,0.0550796,6,63,0,2935.08,4802.66,0.29676,0.0516818,0.23035,0.316697,0.148962,0.199303,204.473
-2933.4,0.978536,0.0550796,6,63,0,2938.97,4911.49,0.284206,0.0446448,0.209396,0.243083,0.253534,0.184829,205.384
-2930.92,1,0.0550796,6,63,0,2935.92,4833.4,0.296507,0.0512394,0.22706,0.276898,0.22714,0.118259,206.799
-2932.65,0.988258,0.0550796,6,63,0,2933.87,4861.47,0.302965,0.0599789,0.205366,0.281038,0.133158,0.226041,215.628
-2932.48,0.999374,0.0550796,6,63,0,2936.05,4805.06,0.311459,0.0553886,0.201414,0.311061,0.181395,0.155343,215.489
-2931.13,0.999993,0.0550796,6,63,0,2934.13,4853.41,0.296841,0.0415136,0.236919,0.239913,0.225432,0.161348,211.732
-2933.16,0.990739,0.0550796,6,63,0,2935.02,4837.21,0.312701,0.0605294,0.210167,0.305449,0.147994,0.125328,217.092
-2934.49,0.999677,0.0550796,6,63,0,2937.49,4749.39,0.294458,0.0515509,0.226543,0.279,0.232615,0.25891,208.501
-2935.08,0.921258,0.0550796,6,63,0,2940.73,4956.84,0.307158,0.0219924,0.214822,0.275676,0.174247,0.0767198,228.597
-2937.63,0.93503,0.0550796,6,63,0,2942.99,5104.23,0.268018,0.0230838,0.197823,0.23892,0.158606,0.15003,207.259
-2932.63,0.999232,0.0550796,6,63,0,2939.22,5103.82,0.290192,0.0427372,0.185545,0.227444,0.154305,0.119264,211.488
-2933.36,0.998617,0.0550796,6,63,0,2936.82,5010.99,0.285263,0.0334936,0.216107,0.253047,0.188972,0.103543,196.369
-2931.08,0.985573,0.0550796,6,63,0,2935.76,4968.01,0.30478,0.0316049,0.197975,0.225809,0.194622,0.164871,204.13
-2929.87,0.998441,0.0550796,6,63,0,2932.77,4957.77,0.304584,0.023897,0.205719,0.247301,0.184192,0.166661,211.167
-2930.84,0.959338,0.0550796,6,63,0,2936.21,4912.48,0.306146,0.0206069,0.216819,0.247697,0.192702,0.161668,208.263
-2934.43,0.992506,0.0550796,6,63,0,2938.32,4697.96,0.313528,0.0619412,0.246578,0.308498,0.183552,0.18158,210.965
-2931.18,0.998203,0.0550796,6,63,0,2935.53,5070.44,0.287603,0.0284139,0.184003,0.236272,0.188489,0.134433,210.334
