# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8wfgg0qr.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120105_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0790489
# Diagonal elements of inverse mass matrix:
# 3319.68, 6.55669e-005, 0.000240483, 0.000201135, 0.000499044, 0.000659972, 0.0010384, 0.000940125
-3512.2,0.956331,0.0790489,5,31,0,3514.58,5076.99,0.305658,0.0220749,0.192455,0.268569,0.0809492,0.0757146,201.216
-3509.24,0.988304,0.0790489,6,63,0,3519.18,4928.6,0.319015,0.062092,0.172215,0.295031,0.16086,0.0617347,207.956
-3507.91,0.999517,0.0790489,5,63,0,3516.04,5036.31,0.313736,0.0457167,0.203122,0.237575,0.141392,0.0119164,200.281
-3508.92,0.897052,0.0790489,6,63,0,3512.67,5052.8,0.298598,0.0417957,0.172112,0.280569,0.145933,0.0650131,212.895
-3508.24,0.999299,0.0790489,6,63,0,3513.24,5029.3,0.321943,0.0409719,0.201238,0.229346,0.133669,0.0277209,202.876
-3508.3,0.973216,0.0790489,6,63,0,3510.91,5033.82,0.30294,0.0593779,0.167542,0.273435,0.133398,0.0678863,212.22
-3508.52,0.9983,0.0790489,6,63,0,3512.18,4898.03,0.31888,0.0521419,0.206922,0.272642,0.158008,0.0759117,201.777
-3509.18,0.863273,0.0790489,6,63,0,3513.42,4943.19,0.316268,0.0594923,0.206871,0.253648,0.110936,0.105975,213.437
-3508.63,0.978179,0.0790489,5,31,0,3510.08,4958.11,0.316522,0.059423,0.202005,0.259844,0.113618,0.0955191,214.45
