# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8wfgg0qr.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120105_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0802016
# Diagonal elements of inverse mass matrix:
# 4060.69, 7.13406e-005, 0.00022656, 0.000230196, 0.000639857, 0.000774559, 0.00121824, 0.000810358
-3510.38,0.972333,0.0802016,6,63,0,3515.14,5067.85,0.315269,0.0442349,0.197979,0.26611,0.0599942,0.0303489,201.456
-3509.62,0.969374,0.0802016,6,63,0,3513.74,5073.96,0.316788,0.0354696,0.168099,0.249649,0.160571,0.00299142,211.723
-3510.1,0.817781,0.0802016,6,63,0,3513.1,5036.97,0.30478,0.0613948,0.2018,0.243771,0.086207,0.0678524,203.656
-3515.78,0.9948,0.0802016,5,31,0,3517.79,5002.79,0.304466,0.0429121,0.165787,0.283499,0.2257,0.0227475,206.755
-3510.25,0.937611,0.0802016,5,63,0,3519.84,5012.28,0.307978,0.0583874,0.217576,0.235164,0.0915331,0.0827895,208.141
-3510.3,0.997009,0.0802016,6,63,0,3514.77,4986.88,0.318341,0.039403,0.168699,0.293165,0.169498,0.0263661,212.795
-3509.57,0.955645,0.0802016,5,63,0,3515.08,4967.69,0.305154,0.0513638,0.199992,0.275109,0.184232,0.0118572,202.141
-3509.3,0.974828,0.0802016,6,63,0,3513.1,5040.33,0.317346,0.0533256,0.183419,0.243337,0.0840828,0.102742,214.289
-3509.05,0.998624,0.0802016,6,63,0,3516.03,5022.91,0.310139,0.0501071,0.185699,0.257797,0.176283,-0.00656164,200.891
