# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8_i12y6h.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120115_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0718067
# Diagonal elements of inverse mass matrix:
# 3514.9, 5.05611e-005, 0.00021149, 0.000189902, 0.00050347, 0.000653915, 0.000901436, 0.000631568
-4083.73,0.980748,0.0718067,5,63,0,4088.23,4906.56,0.312996,0.0768672,0.204446,0.246936,0.104339,0.182667,214.094
-4086.3,0.934191,0.0718067,5,63,0,4089,4898.4,0.310706,0.0865051,0.204846,0.243111,0.0952975,0.193619,209.643
-4079.4,0.995377,0.0718067,5,31,0,4087.76,4907.93,0.312174,0.0655626,0.21732,0.24077,0.134409,0.154027,209.008
-4079.55,0.977093,0.0718067,6,63,0,4083.35,4876.45,0.311574,0.0705082,0.219307,0.241159,0.142993,0.15777,207.898
-4080.76,0.99389,0.0718067,6,63,0,4083.76,4881.54,0.307594,0.0455919,0.214312,0.218254,0.219086,0.181623,199.786
-4077.35,0.967774,0.0718067,5,31,0,4083.03,4953.76,0.310049,0.0463669,0.192235,0.23489,0.162664,0.16953,205.2
-4077.34,0.998653,0.0718067,6,63,0,4078.18,4911.09,0.308731,0.0538714,0.212575,0.236482,0.163973,0.168687,199.635
-4077.4,0.974715,0.0718067,6,63,0,4080.31,4989.37,0.31108,0.0489854,0.184021,0.236603,0.156135,0.146211,204.089
-4078.99,0.921357,0.0718067,5,31,0,4080.91,4996.65,0.315282,0.0478023,0.18236,0.244686,0.143946,0.133468,205.497
-4080.23,0.995097,0.0718067,6,63,0,4083.52,4989.75,0.303367,0.0403083,0.213586,0.198697,0.189206,0.130984,206.887
-4080.23,0.935949,0.0718067,6,63,0,4083.88,4886.43,0.315657,0.0622257,0.195506,0.274978,0.139745,0.159207,197.858
-4078.86,0.99992,0.0718067,6,63,0,4083.66,4924.89,0.312053,0.0721431,0.200242,0.244849,0.13263,0.152455,202.77
