# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:15 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\8_i12y6h.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120115_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0720144
# Diagonal elements of inverse mass matrix:
# 2963.69, 5.41784e-005, 0.000193983, 0.00019793, 0.000463236, 0.000665132, 0.000993668, 0.000849395
-4077.73,0.987822,0.0720144,6,63,0,4079.97,4953.17,0.310058,0.0524659,0.202334,0.227627,0.175355,0.124234,198.529
-4080.32,0.990561,0.0720144,5,63,0,4087.03,4919.25,0.315031,0.062016,0.212724,0.251567,0.131294,0.117541,211.412
-4080.26,0.990994,0.0720144,6,63,0,4083.66,4912.32,0.3114,0.0658326,0.224144,0.237032,0.138919,0.126087,210.552
-4078.32,0.999654,0.0720144,6,63,0,4082.97,4960.08,0.301972,0.0489092,0.197804,0.252038,0.14505,0.171776,198.939
-4080.95,0.986663,0.0720144,6,63,0,4083.17,4987.99,0.312002,0.047126,0.194783,0.257225,0.148846,0.084132,211.795
-4081.7,0.952942,0.0720144,5,31,0,4083.7,4970.25,0.314747,0.0399165,0.202089,0.246025,0.145884,0.103346,216.109
-4079.25,0.998381,0.0720144,5,63,0,4084.54,4925.29,0.306029,0.0473391,0.195072,0.235627,0.203192,0.157033,210.877
-4081.93,0.999519,0.0720144,5,31,0,4083.95,4944.77,0.30721,0.051817,0.181821,0.21958,0.226382,0.156116,212.578
-4079.25,0.980673,0.0720144,6,63,0,4085.81,4993.84,0.304164,0.0534116,0.184254,0.211902,0.174766,0.182183,211.861
-4079.49,0.991833,0.0720144,6,63,0,4082.67,4966.8,0.311297,0.0422087,0.210921,0.240844,0.151614,0.104123,196.269
-4077.93,0.999463,0.0720144,5,63,0,4082.13,4941.16,0.305959,0.0464446,0.203522,0.244893,0.172513,0.145413,195.862
-4079.34,0.97309,0.0720144,5,31,0,4080.53,4915.58,0.306013,0.0627185,0.210518,0.233551,0.175806,0.154469,214.192
-4079.82,0.998241,0.0720144,6,63,0,4082.05,4915.54,0.303751,0.0607996,0.212569,0.241104,0.156473,0.159685,215.25
