# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\kmbrsvj5.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120128_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0842507
# Diagonal elements of inverse mass matrix:
# 3311.23, 4.78979e-005, 0.000142211, 0.00016958, 0.000486875, 0.000631205, 0.000918565, 0.000616963
-4669.67,0.974771,0.0842507,6,63,0,4673.95,4824.46,0.313525,0.0657126,0.222688,0.242932,0.154866,0.18567,197.493
-4667.17,0.996268,0.0842507,6,63,0,4672.92,4967.55,0.297329,0.0381945,0.212996,0.245542,0.136177,0.167409,212.32
-4668.68,0.796607,0.0842507,6,63,0,4671.62,4842.95,0.303043,0.0703369,0.2163,0.254252,0.190974,0.137986,201.262
-4669.25,0.946594,0.0842507,6,63,0,4672.74,4764.97,0.30738,0.0620535,0.225401,0.282875,0.170026,0.19545,199.859
-4671.25,0.979733,0.0842507,5,31,0,4675.62,4821.66,0.311958,0.0715449,0.238987,0.275464,0.127053,0.11063,211.668
-4667.75,0.951604,0.0842507,5,31,0,4674.8,4837.8,0.305056,0.0584005,0.224292,0.292085,0.129767,0.14599,209.408
-4670.6,0.97151,0.0842507,5,31,0,4671.6,4825.03,0.306908,0.0652579,0.228323,0.30173,0.100977,0.150814,206.81
-4668.87,0.986953,0.0842507,6,63,0,4674.35,4829.91,0.299311,0.082045,0.207207,0.291012,0.149943,0.161492,206.591
-4669.37,0.99597,0.0842507,5,31,0,4671.89,4843.12,0.306474,0.0769192,0.209584,0.284634,0.120877,0.175169,214.31
-4666.31,0.981067,0.0842507,6,63,0,4672.91,4904.93,0.299101,0.0477346,0.226118,0.267901,0.131824,0.149732,201.432
-4670.4,0.798321,0.0842507,5,63,0,4672.44,4932.44,0.308738,0.0513979,0.217907,0.209618,0.149347,0.205075,209.197
-4669.66,0.946899,0.0842507,6,63,0,4675.45,4788.06,0.300544,0.053282,0.219144,0.302718,0.156101,0.217506,210.258
-4669.03,0.999933,0.0842507,6,63,0,4672.88,4811.58,0.297034,0.0585146,0.220541,0.280902,0.159225,0.22606,211.565
-4666.05,0.946119,0.0842507,5,63,0,4671.96,4927.48,0.306377,0.0543033,0.214941,0.234221,0.14179,0.153274,201.722
-4667.55,0.999401,0.0842507,5,31,0,4669.29,4906.51,0.313959,0.0550726,0.217689,0.234842,0.132059,0.152722,203.751
-4669.77,0.981979,0.0842507,6,63,0,4673.01,4840.5,0.30529,0.0521114,0.202486,0.275403,0.167911,0.218291,216.335
-4673.62,0.905612,0.0842507,5,31,0,4678.58,4765.4,0.300044,0.0836342,0.245732,0.26675,0.162131,0.176683,218.883
-4673.25,0.998601,0.0842507,6,63,0,4678.61,5025.76,0.310142,0.0233534,0.189025,0.22498,0.157281,0.138662,202.205
-4675.06,0.999473,0.0842507,6,63,0,4681.29,4917.41,0.288297,0.054836,0.233304,0.241245,0.112636,0.229898,221.27
-4668.5,0.998789,0.0842507,5,31,0,4678.95,4964.98,0.305971,0.0407725,0.200663,0.22073,0.164087,0.185013,204.341
-4666.32,0.695662,0.0842507,5,31,0,4672.79,4902.99,0.304826,0.0481235,0.212269,0.245419,0.167253,0.17952,204.269
-4666.29,0.992056,0.0842507,6,63,0,4669.53,4925.82,0.300884,0.0535891,0.222546,0.261628,0.114982,0.151032,208.958
-4669.13,0.961173,0.0842507,5,31,0,4671.07,5029.96,0.294401,0.0451396,0.192516,0.253064,0.136981,0.121634,200.289
-4668.24,0.999293,0.0842507,5,63,0,4673.99,4936,0.296314,0.0581505,0.194164,0.28946,0.134575,0.147571,209.594
-4669.37,0.949676,0.0842507,5,31,0,4672.99,4881.32,0.315953,0.0524615,0.228503,0.241872,0.137449,0.123794,207.958
-4670.73,0.994475,0.0842507,5,47,0,4673.18,4837.04,0.317861,0.0524281,0.233918,0.252962,0.150552,0.120289,209.286
-4669.12,1,0.0842507,5,31,0,4672.7,4820.31,0.316042,0.0468873,0.225331,0.273206,0.170858,0.146379,207.189
-4669.89,0.97137,0.0842507,5,63,0,4676.85,4877.93,0.299319,0.0862925,0.210288,0.275108,0.144597,0.10982,208.149
-4666.27,0.99993,0.0842507,5,31,0,4671.73,4952.59,0.300201,0.0593329,0.195599,0.245035,0.15099,0.167302,203.573
-4667.31,0.962291,0.0842507,5,31,0,4669.23,4963.87,0.300887,0.0686252,0.194558,0.234607,0.146745,0.159676,205.45
-4667.66,0.970567,0.0842507,5,31,0,4669.93,4924.01,0.293048,0.0566766,0.21866,0.276586,0.118011,0.143025,205.742
-4667.14,0.999651,0.0842507,6,63,0,4671.38,4844.39,0.310992,0.0563839,0.213095,0.254825,0.168785,0.192963,202.594
-4670.51,0.705246,0.0842507,6,63,0,4672.03,4828.74,0.310174,0.0545178,0.211204,0.257276,0.168161,0.189467,202.136
-4670.15,0.978106,0.0842507,5,31,0,4672.75,4905.18,0.297028,0.0610542,0.211854,0.280486,0.138541,0.170112,209.029
-4670.76,0.9903,0.0842507,5,31,0,4675.36,4977.74,0.293771,0.0618031,0.19059,0.289827,0.106855,0.126336,208.409
-4666.81,0.99945,0.0842507,5,31,0,4674.86,4895.31,0.300732,0.0758423,0.207439,0.261987,0.150396,0.140564,202.884
-4667.17,0.998256,0.0842507,6,63,0,4673.37,4913.95,0.307706,0.0360099,0.217199,0.243272,0.146873,0.182952,210.239
-4671.46,0.957079,0.0842507,5,31,0,4673.54,4904.48,0.320197,0.0357448,0.219871,0.223986,0.142166,0.176498,208.059
-4673.26,0.935723,0.0842507,5,31,0,4677.57,4879.91,0.318894,0.0274069,0.224645,0.262553,0.121134,0.18215,215.899
-4671.91,0.977309,0.0842507,5,63,0,4679.46,4920.7,0.285336,0.047699,0.228333,0.284223,0.119797,0.161073,213.337
-4666.16,0.975175,0.0842507,6,63,0,4674.16,4869.27,0.30016,0.0660178,0.217896,0.259796,0.153934,0.162905,199.599
-4667.48,0.790818,0.0842507,5,63,0,4670.89,4851.83,0.309713,0.0451994,0.224507,0.267957,0.147865,0.154707,201.763
-4666.85,0.771665,0.0842507,6,63,0,4672.07,4831.98,0.310518,0.0584877,0.209449,0.270488,0.174435,0.172947,206.666
-4668.91,0.936519,0.0842507,5,63,0,4673.64,4886.31,0.299992,0.0462568,0.211873,0.285075,0.119501,0.198465,214.078
-4668.81,0.954745,0.0842507,5,63,0,4672.06,4893.68,0.30298,0.0522198,0.21604,0.228723,0.175677,0.186793,196.456
-4669.71,0.941986,0.0842507,6,63,0,4672.89,4860.82,0.305603,0.0557911,0.218128,0.296074,0.128271,0.129594,216.367
-4670.92,0.949678,0.0842507,5,31,0,4673.67,4846.11,0.303449,0.0526431,0.209604,0.31006,0.165099,0.111209,214.174
-4669.51,0.968308,0.0842507,5,31,0,4673.9,4867.4,0.296658,0.0682156,0.215916,0.303687,0.130086,0.129056,211.392
-4666.85,0.978398,0.0842507,5,31,0,4672.39,4989.9,0.300634,0.0564743,0.209397,0.230776,0.129714,0.136404,201.117
