# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:28 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\kmbrsvj5.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120128_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0890228
# Diagonal elements of inverse mass matrix:
# 2769.41, 4.13006e-005, 0.000150789, 0.000190601, 0.000432894, 0.000559647, 0.000885742, 0.000626534
-4668.65,0.975826,0.0890228,5,63,0,4671.22,4891.47,0.295662,0.0490997,0.208129,0.25846,0.181805,0.200331,199.58
-4666.22,0.961233,0.0890228,5,31,0,4670.41,4894.99,0.302275,0.0632906,0.225786,0.240318,0.157778,0.141385,206.832
-4666.49,0.999911,0.0890228,5,31,0,4667.55,4908.06,0.308674,0.059378,0.222332,0.230481,0.144434,0.147895,207.472
-4667.3,0.902722,0.0890228,6,63,0,4669.8,4911.24,0.298887,0.0667764,0.199824,0.251586,0.158014,0.164316,209.618
-4667.19,0.998616,0.0890228,6,63,0,4669.49,4941.63,0.302092,0.0428434,0.217141,0.25995,0.111026,0.172608,211.681
-4669.59,0.902925,0.0890228,5,31,0,4672.07,4914.31,0.298552,0.0442045,0.219895,0.269184,0.13377,0.173388,219.148
-4667.76,0.967211,0.0890228,5,63,0,4672.7,4834.02,0.305532,0.0467066,0.22088,0.265298,0.177062,0.194342,212.734
-4671.59,0.945196,0.0890228,5,63,0,4674.27,4832.93,0.305529,0.0634433,0.220747,0.229892,0.158515,0.263622,202.74
-4665.85,0.97988,0.0890228,5,31,0,4672.83,4877.03,0.305024,0.0551277,0.215875,0.258096,0.172972,0.142946,205.935
-4667.55,0.998118,0.0890228,5,31,0,4669.89,4872.31,0.305055,0.0705472,0.20596,0.259933,0.17276,0.138733,211.626
-4667.03,0.98515,0.0890228,5,31,0,4672.18,4868.06,0.30579,0.0674835,0.212329,0.258865,0.162237,0.147056,213.43
-4668.71,0.736723,0.0890228,6,63,0,4672.58,4903.63,0.299613,0.0458986,0.220028,0.255047,0.12969,0.183457,199.074
-4674,1,0.0890228,5,31,0,4676.61,4764.71,0.313294,0.0779257,0.212911,0.261921,0.162936,0.226541,218.19
-4671.27,0.860002,0.0890228,5,63,0,4679.84,5009.31,0.297385,0.0431123,0.223245,0.236567,0.122052,0.127115,201.778
-4667.56,0.906524,0.0890228,5,63,0,4673.73,4949.83,0.303677,0.0391558,0.226415,0.237087,0.134285,0.131476,203.164
-4671.35,0.733025,0.0890228,5,31,0,4674.09,4970.82,0.308014,0.0310958,0.214364,0.247908,0.150056,0.126333,207.137
-4671.51,0.893881,0.0890228,5,63,0,4675.93,5001.9,0.296047,0.0487132,0.212634,0.241337,0.0996391,0.129399,205.043
-4674.8,0.871289,0.0890228,6,63,0,4682.39,4704.54,0.31433,0.0697876,0.210379,0.293167,0.19666,0.219824,210.021
-4673.53,0.995778,0.0890228,6,63,0,4677.63,4704.13,0.317355,0.0714028,0.226319,0.293399,0.198518,0.178572,206.772
-4669.14,0.965459,0.0890228,5,31,0,4675.35,4792.71,0.310447,0.0451107,0.22731,0.278492,0.169799,0.175742,208.154
-4669.37,0.877204,0.0890228,6,63,0,4673.39,4975.26,0.295232,0.0677039,0.206967,0.245612,0.126879,0.157893,203.926
-4668.34,0.994182,0.0890228,5,31,0,4670.15,4952.45,0.298503,0.0699739,0.207658,0.247577,0.128563,0.160229,203.912
-4667.9,0.948887,0.0890228,5,31,0,4670.45,4972.21,0.299708,0.0447952,0.206151,0.250833,0.134721,0.171433,208.361
-4667.68,0.96756,0.0890228,4,31,0,4672.07,4918.43,0.306574,0.0632571,0.2133,0.258102,0.14389,0.0949495,205.664
-4670.17,0.958664,0.0890228,6,63,0,4673.17,5023.67,0.295957,0.0723306,0.196919,0.236744,0.12031,0.111433,209.791
-4671.27,0.998862,0.0890228,6,63,0,4675.12,5001.21,0.292784,0.0748091,0.192598,0.223541,0.121959,0.178769,213.141
-4669.75,0.981871,0.0890228,6,63,0,4673.87,4932.1,0.30617,0.0271738,0.223386,0.261619,0.143951,0.118279,200.658
-4669.12,0.971823,0.0890228,6,63,0,4673.22,4908.26,0.298374,0.0835616,0.199638,0.253467,0.147616,0.1642,212.756
-4668.84,0.79588,0.0890228,5,31,0,4673.58,4949.86,0.297696,0.0786972,0.214219,0.240537,0.132379,0.118772,210.397
-4668.91,0.9639,0.0890228,5,63,0,4674.7,4776.53,0.309033,0.0581452,0.22874,0.278459,0.161633,0.217566,208.868
-4671.12,0.948853,0.0890228,5,63,0,4675.33,4877.3,0.316154,0.0379978,0.217998,0.256047,0.140369,0.188918,196.287
-4667.16,0.919896,0.0890228,5,31,0,4673.39,4830.77,0.302414,0.0538142,0.217248,0.284722,0.162572,0.168145,209.78
-4671.08,0.817136,0.0890228,3,15,0,4674.03,4827.79,0.301484,0.0473312,0.21244,0.305416,0.162806,0.150172,212.169
-4673.19,0.999855,0.0890228,5,31,0,4675.49,4820.57,0.305025,0.0463269,0.210786,0.30679,0.190485,0.120002,217.854
-4672.19,0.998342,0.0890228,6,63,0,4675.38,4795.87,0.308484,0.0411324,0.217081,0.314545,0.181295,0.141827,215.171
-4669.59,0.999993,0.0890228,6,63,0,4675.77,4973.25,0.297093,0.0768423,0.211567,0.229356,0.103931,0.159376,199.23
-4669.31,0.912496,0.0890228,5,31,0,4673.08,4960.62,0.307271,0.0717803,0.202058,0.232875,0.120666,0.13679,198.091
-4667.25,0.975561,0.0890228,5,31,0,4671.39,4994.54,0.297996,0.0489434,0.199439,0.245537,0.145379,0.134771,199.989
-4666.74,0.915424,0.0890228,5,31,0,4671.84,4989.67,0.30264,0.0449751,0.199672,0.245651,0.136633,0.142151,202.507
-4668.37,0.933677,0.0890228,5,31,0,4670.58,4950.31,0.292257,0.0573835,0.191613,0.264982,0.169108,0.146234,206.463
-4667.93,0.999738,0.0890228,6,63,0,4673.01,4874.31,0.315421,0.0479231,0.2205,0.246843,0.129315,0.190665,204.986
-4665.23,0.961415,0.0890228,4,31,0,4669.79,4885.05,0.30421,0.0564549,0.219003,0.251619,0.13875,0.181441,203.775
-4667.81,0.872907,0.0890228,5,31,0,4669.55,4942.16,0.29708,0.0497893,0.212052,0.270735,0.129317,0.120774,207.355
-4668.87,0.995451,0.0890228,5,63,0,4672.3,4900.98,0.293083,0.0456761,0.227509,0.247073,0.156884,0.210235,209.018
-4666.82,0.923268,0.0890228,5,31,0,4672.98,4898.73,0.30955,0.0416036,0.210959,0.267733,0.143044,0.166059,201.853
-4670.16,0.982304,0.0890228,5,31,0,4673.08,4802.71,0.310472,0.0793539,0.208497,0.252597,0.185341,0.183459,209.311
-4673.23,0.929033,0.0890228,5,63,0,4676.59,4974.55,0.296617,0.0215188,0.227487,0.248582,0.125799,0.145491,196.61
-4673.2,0.960111,0.0890228,5,31,0,4678.75,4949.33,0.291015,0.0259467,0.210614,0.285607,0.143547,0.145418,199.102
-4670.6,0.948957,0.0890228,6,63,0,4677.15,4909.39,0.308699,0.0818142,0.216817,0.219147,0.116733,0.167834,210.312
-4668.54,0.999723,0.0890228,5,31,0,4673.88,4905.28,0.296682,0.0483695,0.210547,0.292033,0.152529,0.115255,209.321
-4668.35,0.944467,0.0890228,5,63,0,4671.54,4879.79,0.30842,0.0585986,0.234565,0.24097,0.119508,0.185943,203.331
-4671.28,0.936851,0.0890228,5,31,0,4673.54,4886.49,0.313174,0.0587268,0.238988,0.227659,0.108057,0.151274,205.757
-4667.32,0.999981,0.0890228,5,31,0,4673.17,4955.09,0.303981,0.0525722,0.214377,0.234683,0.133097,0.129221,209.388
-4667.65,0.999189,0.0890228,5,31,0,4670.31,4892.56,0.29939,0.0521355,0.234336,0.258353,0.145442,0.141956,199.519
-4667.29,1,0.0890228,5,31,0,4669.83,4874.11,0.31336,0.060253,0.215389,0.24777,0.128568,0.176097,206.55
-4667.09,0.982469,0.0890228,6,63,0,4669.24,4942.39,0.295776,0.0551091,0.199306,0.261318,0.164093,0.140225,200.519
-4666.43,0.990282,0.0890228,5,63,0,4669.15,4863.26,0.30449,0.0597442,0.22082,0.248914,0.174737,0.149906,209.049
-4666.71,0.99498,0.0890228,6,63,0,4668.29,4817.94,0.305787,0.0661622,0.213715,0.277726,0.150645,0.195422,205.082
-4667.27,0.95715,0.0890228,5,31,0,4671.61,4846.26,0.303478,0.053868,0.223334,0.249696,0.170856,0.199733,198.945
-4667.06,0.898026,0.0890228,5,31,0,4669.32,4872.14,0.303244,0.0499782,0.221959,0.238169,0.160287,0.212384,202.624
-4671.77,0.994426,0.0890228,5,31,0,4674.33,4891.26,0.297224,0.0920343,0.21902,0.252484,0.143241,0.110336,200.232
-4673.22,0.628622,0.0890228,5,31,0,4680.15,4887.49,0.304101,0.0816109,0.235077,0.238103,0.131232,0.142345,202.889
-4668.31,0.988537,0.0890228,5,31,0,4674.73,4936.96,0.297455,0.0435717,0.197899,0.256317,0.172058,0.191122,207.47
-4668.95,0.951984,0.0890228,5,31,0,4671.46,4903.98,0.297751,0.0416663,0.228047,0.240797,0.16691,0.154148,210.541
-4667.41,0.998296,0.0890228,5,63,0,4671.76,4935.43,0.303105,0.0327501,0.220581,0.264589,0.126943,0.155856,209.234
-4668.06,0.999366,0.0890228,6,63,0,4671.29,4914.35,0.294943,0.0533718,0.212655,0.281466,0.154467,0.120171,199.284
-4666.13,0.964992,0.0890228,5,31,0,4671.47,4932.88,0.298758,0.0430912,0.209895,0.251463,0.155792,0.164506,208.685
-4666.64,0.993133,0.0890228,5,31,0,4669.63,4902.58,0.30765,0.042393,0.205717,0.266636,0.165028,0.149281,204.131
-4667.56,0.970932,0.0890228,6,63,0,4670.5,4835.36,0.300847,0.0734831,0.23171,0.26282,0.134061,0.189772,207.127
-4666.88,0.99636,0.0890228,6,63,0,4670.64,4873.8,0.30827,0.0438477,0.210467,0.28113,0.148822,0.152289,202.763
-4671.05,0.99344,0.0890228,5,63,0,4672.7,4873.35,0.297186,0.0484872,0.233461,0.301098,0.119768,0.134739,213.257
-4669.06,0.98304,0.0890228,5,31,0,4674.09,4826.12,0.308199,0.0562119,0.228518,0.284025,0.113102,0.183575,211.608
-4666.87,0.999916,0.0890228,5,31,0,4670.18,4938.19,0.302992,0.0519441,0.202823,0.236562,0.173579,0.161393,204.122
-4668.69,0.999564,0.0890228,5,31,0,4670.87,4900.45,0.295364,0.0393779,0.215216,0.275228,0.127497,0.216056,204.938
-4667.99,0.974989,0.0890228,5,31,0,4671.54,4939.14,0.29359,0.0486843,0.220882,0.232548,0.14742,0.204046,209.924
-4668.51,0.993814,0.0890228,5,63,0,4674.73,4955.11,0.288621,0.0561969,0.216326,0.239238,0.165951,0.151373,210.45
-4670.41,0.9953,0.0890228,5,63,0,4674.73,4866.67,0.294867,0.0416097,0.201147,0.295837,0.191627,0.175355,205.773
-4666.98,0.848796,0.0890228,6,63,0,4672.92,4914.63,0.301453,0.0394176,0.207263,0.277226,0.163346,0.14174,205.968
-4668.23,0.983849,0.0890228,6,63,0,4670.45,4895.91,0.302136,0.064837,0.197143,0.259595,0.133114,0.2142,210.718
-4669.98,0.804531,0.0890228,5,31,0,4677.67,4888.89,0.301348,0.0303519,0.223961,0.247985,0.161854,0.191306,203.681
-4673.05,0.710233,0.0890228,5,31,0,4676.04,4911.5,0.304376,0.0717158,0.201142,0.260529,0.121461,0.1306,206.827
-4668.32,0.950769,0.0890228,5,63,0,4675.21,4891.76,0.302322,0.0391849,0.216919,0.250165,0.17476,0.192258,213.201
-4668.82,0.798172,0.0890228,5,31,0,4671.84,4903.92,0.306976,0.0630602,0.214369,0.239858,0.143425,0.18994,204.461
-4666.34,0.999955,0.0890228,6,63,0,4669.58,4866.77,0.301262,0.0524154,0.215448,0.282914,0.15186,0.148457,207.24
-4666.93,0.954188,0.0890228,5,63,0,4668.56,4882.68,0.299084,0.0687556,0.209485,0.283396,0.149037,0.128928,206.73
-4665.64,0.998737,0.0890228,5,31,0,4667.91,4905.65,0.306493,0.0608046,0.206206,0.254494,0.147467,0.153296,208.682
-4666.63,0.997303,0.0890228,5,63,0,4668.97,4865.97,0.303306,0.0527445,0.222854,0.251557,0.162582,0.181791,213.169
-4667.72,0.949761,0.0890228,6,63,0,4670.92,4982.47,0.29953,0.0364161,0.221571,0.236059,0.13003,0.141195,211.17
-4668.65,0.987339,0.0890228,5,31,0,4678.62,4870.52,0.305718,0.0623702,0.207921,0.253035,0.159149,0.188058,193.707
-4668.11,0.745954,0.0890228,5,31,0,4677.14,4924.47,0.296669,0.0519865,0.214197,0.25557,0.114523,0.223048,209.294
-4668.24,0.955457,0.0890228,5,31,0,4672.12,4880.74,0.312277,0.0625483,0.211322,0.251945,0.158005,0.119274,203.648
-4668.52,0.809552,0.0890228,5,63,0,4672.83,4824.29,0.310338,0.0741398,0.219589,0.259415,0.15984,0.142349,209.631
-4669.84,0.836927,0.0890228,6,63,0,4675.89,4980.64,0.29964,0.052712,0.227535,0.2014,0.124454,0.159294,201.278
-4669.5,0.942566,0.0890228,6,63,0,4673.47,4880.01,0.303361,0.0559921,0.194536,0.301644,0.154141,0.159265,210.514
-4668.44,0.999668,0.0890228,6,63,0,4672.63,4810.54,0.308544,0.0815967,0.22095,0.254955,0.158207,0.16929,204.715
-4669.5,0.992228,0.0890228,5,63,0,4674.1,4865.67,0.301434,0.0485031,0.240672,0.266112,0.11636,0.168648,213.83
-4667.69,0.999481,0.0890228,5,31,0,4671.59,4867.98,0.302704,0.0467798,0.236025,0.267096,0.125978,0.178552,210.949
-4668.54,0.993292,0.0890228,6,63,0,4670.87,4826.91,0.301244,0.0677633,0.203194,0.271426,0.17737,0.20901,210.14
-4670.07,0.817155,0.0890228,6,63,0,4674.58,4966.65,0.293228,0.0696507,0.194074,0.269347,0.113945,0.171685,212.652
-4671.25,0.948316,0.0890228,5,63,0,4676.3,5058.84,0.293832,0.0407348,0.184235,0.255941,0.103256,0.162895,202.438
-4673.39,0.988881,0.0890228,5,63,0,4678.53,4815.49,0.317455,0.0554182,0.250561,0.235439,0.166934,0.128503,211.26
-4674.38,0.987939,0.0890228,5,31,0,4677.29,4817.79,0.318665,0.0499573,0.255197,0.235817,0.152003,0.131412,211.929
-4674.35,0.999072,0.0890228,6,63,0,4680.77,4916.4,0.291041,0.060691,0.182506,0.290067,0.151993,0.204964,195.094
-4668.54,0.949064,0.0890228,5,63,0,4678.4,4840.95,0.295247,0.0573698,0.222357,0.281911,0.140657,0.223841,208.15
-4665.99,0.963035,0.0890228,5,31,0,4671.1,4900.83,0.300701,0.0447839,0.214703,0.271588,0.137441,0.166523,206.36
-4667.84,0.991057,0.0890228,5,31,0,4669.23,4865.08,0.310318,0.0476577,0.204706,0.250441,0.174429,0.202607,206.182
-4666.66,0.988206,0.0890228,5,63,0,4671.21,4910.52,0.305799,0.0484115,0.226135,0.237121,0.151256,0.148002,199.903
-4671.03,0.668488,0.0890228,6,63,0,4673.14,4986.59,0.306561,0.0552174,0.198211,0.238618,0.149444,0.126696,202.034
-4671.49,0.996445,0.0890228,5,63,0,4674.83,4827.08,0.305476,0.0491292,0.216855,0.294937,0.135731,0.172643,213.575
-4666.31,0.996935,0.0890228,5,31,0,4672.27,4901.27,0.300716,0.0560918,0.208432,0.240159,0.164911,0.19081,204.947
-4669.91,0.9988,0.0890228,5,31,0,4671.1,4853.88,0.298885,0.0520916,0.219823,0.245906,0.190157,0.195955,196.321
-4667.06,0.999977,0.0890228,5,63,0,4673.29,4987.95,0.29473,0.0538777,0.199993,0.255002,0.117342,0.159045,201.495
-4669.17,0.997145,0.0890228,5,31,0,4673.84,4964.25,0.303833,0.0572244,0.185256,0.261965,0.154094,0.125935,212.753
-4668.78,0.962322,0.0890228,5,31,0,4673.42,4894.55,0.296227,0.0511228,0.235657,0.248378,0.127019,0.194475,197.661
-4666.78,0.999917,0.0890228,4,15,0,4669.09,4883.78,0.299245,0.0501353,0.229611,0.250273,0.137974,0.197098,200.579
-4668.4,0.995159,0.0890228,5,63,0,4671.86,4979.58,0.29767,0.056648,0.220045,0.235307,0.0944646,0.1691,199.7
-4669.68,0.597168,0.0890228,6,63,0,4675.4,4944.76,0.300797,0.0415802,0.202328,0.241878,0.190288,0.142755,214.727
-4670.35,0.846742,0.0890228,6,63,0,4674.03,4884.41,0.301883,0.0650699,0.224587,0.273433,0.0882161,0.181737,197.636
-4671.99,0.85754,0.0890228,6,63,0,4678.19,4915.59,0.303319,0.0693248,0.209177,0.220876,0.192215,0.121862,216.353
-4668.58,0.944403,0.0890228,6,63,0,4677.43,4897.98,0.296227,0.0522324,0.205835,0.273023,0.151845,0.182406,194.893
-4667.49,0.932655,0.0890228,5,63,0,4671.07,4962.1,0.30255,0.0506172,0.217605,0.227743,0.11192,0.171555,209.089
-4666.26,0.956695,0.0890228,5,31,0,4669.02,4964.3,0.302172,0.0553797,0.209528,0.236271,0.118857,0.16227,209.263
-4671.49,0.711211,0.0890228,5,31,0,4672.64,4941.13,0.297157,0.0393321,0.197043,0.26038,0.178635,0.134136,204.736
-4670.47,0.991008,0.0890228,5,31,0,4675.87,4918.17,0.301473,0.0332272,0.207962,0.282879,0.180998,0.110923,210.393
-4668.26,0.907909,0.0890228,5,63,0,4674.88,4839.88,0.308573,0.0786342,0.223556,0.265962,0.140045,0.135142,210.391
-4667.73,0.864234,0.0890228,5,63,0,4672.22,4826.05,0.304325,0.0721261,0.225089,0.273283,0.161365,0.129719,209.535
-4668.52,0.999564,0.0890228,5,63,0,4671.88,4900.25,0.298217,0.0384303,0.215479,0.298536,0.141606,0.140125,206.036
-4667.45,0.72931,0.0890228,5,63,0,4674.18,4972.4,0.302418,0.0415484,0.214645,0.233862,0.136941,0.140314,198.473
-4671.21,0.812033,0.0890228,5,31,0,4672.64,4991.19,0.312314,0.0389394,0.209335,0.230227,0.117465,0.155484,201.795
-4668.61,0.999288,0.0890228,5,63,0,4673.04,5009.82,0.301702,0.0446109,0.196809,0.227198,0.147095,0.1274,205.19
-4667.63,0.993006,0.0890228,5,31,0,4670.74,4945.43,0.301284,0.0517836,0.225463,0.233924,0.110445,0.160701,204.209
-4670.68,1,0.0890228,5,31,0,4672.45,4970.85,0.298758,0.0405988,0.240546,0.225772,0.120973,0.126657,200.114
-4673.56,0.459776,0.0890228,5,31,0,4680.96,4969.87,0.302262,0.0438783,0.171552,0.257077,0.156163,0.200686,215.869
-4667.72,0.915233,0.0890228,5,31,0,4677.04,4964.02,0.294379,0.0591358,0.194868,0.241631,0.166208,0.1531,204.823
-4666.98,0.922721,0.0890228,5,63,0,4670.75,4874.56,0.2992,0.0591986,0.220632,0.242335,0.181204,0.161974,207.502
-4668.03,0.963513,0.0890228,5,63,0,4671.35,4947.01,0.304023,0.0503007,0.214851,0.24246,0.10515,0.193489,198.213
-4668.47,0.921385,0.0890228,5,31,0,4670.66,4944.58,0.307969,0.0543349,0.21572,0.232802,0.100405,0.19275,200.561
-4669.98,0.995259,0.0890228,5,63,0,4672.19,4895.51,0.295494,0.0457068,0.220824,0.267138,0.191055,0.111083,211.536
-4666.57,0.999469,0.0890228,5,63,0,4671.89,4973.77,0.298214,0.0508297,0.200986,0.250895,0.127717,0.164027,211.407
-4668.36,0.942766,0.0890228,5,31,0,4669.96,4969.04,0.302171,0.0379205,0.193007,0.26234,0.128018,0.19057,209.659
-4668.14,0.958682,0.0890228,5,31,0,4673.32,4919.69,0.303327,0.0380419,0.214874,0.254365,0.17767,0.133463,199.84
-4667.78,0.913702,0.0890228,5,31,0,4671.76,4997.9,0.302181,0.0525284,0.20355,0.249133,0.116311,0.132416,207.87
-4667.03,0.997494,0.0890228,5,63,0,4669.18,4980.64,0.300388,0.0588138,0.193547,0.256933,0.118924,0.144144,205.844
-4668.65,0.964486,0.0890228,6,63,0,4672.11,4835.17,0.299523,0.0612817,0.235229,0.258298,0.171693,0.147389,213.368
-4669.37,0.999209,0.0890228,5,63,0,4671.06,4860.65,0.302531,0.0640165,0.226232,0.2471,0.170084,0.154046,219.05
-4667.98,0.922552,0.0890228,5,31,0,4672.12,4893.69,0.305369,0.0535284,0.202408,0.273168,0.156435,0.165041,215.099
-4668.72,0.913688,0.0890228,5,63,0,4671.88,4873.24,0.303264,0.0627931,0.231611,0.274077,0.106141,0.163808,211.508
-4668.94,0.99997,0.0890228,5,31,0,4671.83,4810.74,0.309234,0.0736403,0.239654,0.259716,0.135921,0.152478,210.175
-4671.1,0.859497,0.0890228,5,31,0,4675.09,4798.23,0.312954,0.0793046,0.222733,0.274159,0.114118,0.187468,210.965
-4670.24,0.997995,0.0890228,6,63,0,4673.1,5026.85,0.304683,0.0649123,0.20222,0.213829,0.10386,0.143846,208.875
-4668.17,0.999039,0.0890228,6,63,0,4673.88,4810.93,0.300937,0.0481396,0.231557,0.293054,0.162486,0.166079,202.248
-4668.66,0.957562,0.0890228,6,63,0,4672.08,4946.4,0.30812,0.0661836,0.212772,0.20975,0.12738,0.172852,202.848
-4667.58,0.930663,0.0890228,6,63,0,4671.86,4895.03,0.299775,0.0505524,0.211192,0.286981,0.120236,0.190948,202.684
-4669.62,0.913332,0.0890228,5,31,0,4672.38,4840.05,0.311319,0.0472078,0.214419,0.290468,0.119292,0.185671,203.378
-4668.83,0.90253,0.0890228,5,31,0,4673.21,4907.5,0.301456,0.0585105,0.225163,0.270384,0.138036,0.120936,205.457
-4670.28,0.998584,0.0890228,6,63,0,4672.32,4971.14,0.293044,0.0663206,0.200792,0.230215,0.153061,0.140068,203.188
-4665.62,0.997992,0.0890228,5,31,0,4671.41,4878.93,0.306606,0.0517204,0.215581,0.259486,0.150087,0.167202,200.525
-4667.65,0.825232,0.0890228,5,31,0,4669.74,4883.79,0.297819,0.0500931,0.212959,0.243018,0.184096,0.201261,204.802
-4666.77,0.64664,0.0890228,5,31,0,4675.22,4901.78,0.302032,0.0524494,0.226938,0.239341,0.15183,0.178537,205.388
-4667.78,0.998075,0.0890228,5,31,0,4668.97,4925.52,0.294528,0.0538854,0.206991,0.251509,0.173163,0.144714,207.552
-4666.3,0.996353,0.0890228,5,31,0,4668.14,4909.99,0.295758,0.0523814,0.215172,0.256255,0.169556,0.145943,207.058
-4668.54,0.946324,0.0890228,5,31,0,4670.47,4925.18,0.305223,0.0346741,0.232045,0.252219,0.120207,0.166919,207.746
-4668.4,0.962338,0.0890228,5,31,0,4671.74,4898.78,0.306155,0.0481849,0.236683,0.2268,0.154862,0.153946,211.368
-4669.26,0.914138,0.0890228,5,31,0,4672.34,4854.63,0.298938,0.0594468,0.237282,0.229622,0.169003,0.189936,212.581
-4669.17,0.986103,0.0890228,6,63,0,4677.03,4972.38,0.306801,0.0452669,0.191796,0.270554,0.117838,0.148143,199.859
-4670.46,0.979289,0.0890228,5,31,0,4674.25,4988.12,0.310009,0.0436612,0.192428,0.257856,0.107477,0.147503,198.137
-4668.07,0.952009,0.0890228,5,31,0,4674.2,4943.8,0.309269,0.0447362,0.200724,0.261545,0.112751,0.177659,201.036
-4669.68,0.963067,0.0890228,5,31,0,4672.94,4883.94,0.29549,0.0395333,0.243227,0.261029,0.143688,0.152119,203.021
-4666.91,0.981505,0.0890228,5,31,0,4672.67,4903.02,0.300449,0.0473463,0.227446,0.237602,0.152375,0.170056,210.594
-4666.91,0.998922,0.0890228,5,31,0,4670.76,4970.62,0.302318,0.0492906,0.199203,0.259275,0.117385,0.168389,206.134
-4667.74,0.983832,0.0890228,5,31,0,4668.89,4981.14,0.298628,0.0548028,0.194017,0.260477,0.116968,0.173934,205.323
-4667.04,0.985794,0.0890228,5,31,0,4673.14,4956.92,0.300035,0.0471929,0.217978,0.228311,0.144924,0.155499,198.285
-4665.84,0.987435,0.0890228,5,31,0,4668.1,4927.5,0.303142,0.0653537,0.214298,0.245532,0.138013,0.139093,203.889
-4666.54,0.999986,0.0890228,5,63,0,4667,4893.16,0.299565,0.0431815,0.206502,0.278777,0.155807,0.174608,205.665
-4667.01,0.999808,0.0890228,6,63,0,4668.91,4952.48,0.29966,0.0596799,0.227038,0.222031,0.134464,0.140203,205.257
-4668.47,0.998726,0.0890228,6,63,0,4670.16,4830.31,0.30462,0.0551318,0.199666,0.302671,0.169751,0.177727,206.422
-4666.4,0.879165,0.0890228,5,31,0,4673.48,4873.1,0.308123,0.0642642,0.205677,0.259262,0.158161,0.153637,204.635
-4669.25,0.932035,0.0890228,5,31,0,4672.32,4819.29,0.311619,0.0585187,0.237948,0.262149,0.16867,0.11707,207.62
-4670.77,0.937699,0.0890228,6,63,0,4673.95,4776.5,0.306366,0.0553719,0.20767,0.298203,0.164193,0.235684,207.787
-4667.02,0.99904,0.0890228,6,63,0,4675.95,4964.61,0.301959,0.0559334,0.212842,0.237413,0.138755,0.111357,204.952
-4665.4,0.989121,0.0890228,5,31,0,4669.12,4873.35,0.30005,0.0552429,0.220957,0.263784,0.161665,0.162589,206.296
-4667.87,0.880618,0.0890228,5,31,0,4670.38,4811.11,0.29815,0.0660358,0.229311,0.276016,0.153099,0.192412,200.759
