# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\bv1t2rjn.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120139_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0826227
# Diagonal elements of inverse mass matrix:
# 2307.03, 3.73334e-005, 0.000117785, 0.000119597, 0.000400906, 0.000388623, 0.000781707, 0.000550915
-5198.92,0.872457,0.0826227,6,63,0,5202.28,4930.96,0.306531,0.0540099,0.214798,0.2566,0.189751,0.0575965,190.522
-5198.64,0.95824,0.0826227,6,63,0,5202.9,5032.6,0.277325,0.0642376,0.20165,0.26693,0.143459,0.0988195,198.706
-5199.81,0.956846,0.0826227,5,63,0,5201.59,5011.94,0.280383,0.0654089,0.197117,0.281694,0.138393,0.112606,197.539
-5196.88,0.999929,0.0826227,5,31,0,5203.57,4991.34,0.291394,0.0570997,0.229165,0.227513,0.162033,0.075304,192.076
-5195.92,0.963916,0.0826227,5,31,0,5201.57,5036.68,0.285775,0.0677702,0.198048,0.242419,0.173013,0.0469647,194.589
-5196.5,0.957857,0.0826227,5,63,0,5201.54,4995.49,0.293688,0.0537643,0.211873,0.273864,0.158508,0.0492723,191.293
-5199.97,0.9703,0.0826227,5,31,0,5203.59,4946.44,0.297633,0.0495987,0.225064,0.245539,0.197504,0.0782092,185.889
-5195.34,0.994928,0.0826227,5,31,0,5201.98,4944.34,0.295192,0.0681701,0.216287,0.246735,0.174717,0.0912834,189.732
-5195.61,0.999951,0.0826227,5,31,0,5196.61,4932.65,0.300556,0.0649513,0.210867,0.255864,0.173161,0.0912439,192.06
-5198.73,0.995032,0.0826227,5,31,0,5200.21,4921.75,0.289904,0.0516092,0.220042,0.255832,0.219615,0.0926586,198.119
-5197.93,0.989923,0.0826227,6,63,0,5202.75,5085.63,0.289204,0.0703767,0.176659,0.242968,0.149426,0.0596566,192.76
-5196.61,0.999905,0.0826227,5,31,0,5201.11,5083.81,0.291572,0.0564441,0.178721,0.245435,0.163423,0.0506142,194.117
-5196.75,0.85919,0.0826227,6,63,0,5203.21,5057.83,0.284408,0.0573479,0.182608,0.262137,0.160603,0.0770605,192.156
-5196.36,0.848966,0.0826227,6,63,0,5201.46,5019.13,0.2876,0.0474606,0.206399,0.235834,0.177515,0.106038,188.205
-5196.87,0.999555,0.0826227,5,63,0,5198.45,4994.03,0.286908,0.0540455,0.205059,0.245174,0.195098,0.102501,186.83
-5194.98,0.999935,0.0826227,5,31,0,5197.5,5019.34,0.29157,0.0624436,0.20992,0.261378,0.145163,0.0394528,195.57
