# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:01:39 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\bv1t2rjn.json
# init = 2 (Default)
# random
#   seed = 9381
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223120139_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0825544
# Diagonal elements of inverse mass matrix:
# 2262.07, 3.97225e-005, 0.000146241, 0.000131339, 0.000361932, 0.00046005, 0.000740559, 0.00071571
-5196.24,0.951911,0.0825544,5,31,0,5203.23,4962.83,0.293076,0.0529582,0.209849,0.266309,0.203039,0.0484211,190.747
-5195.7,0.96497,0.0825544,5,63,0,5198.45,4972.47,0.297696,0.0701079,0.201951,0.250237,0.180866,0.0688568,197.128
-5197.44,0.916296,0.0825544,5,31,0,5200.03,5030.71,0.283384,0.0480367,0.193952,0.275523,0.163859,0.0834898,187.208
-5197.51,0.961884,0.0825544,5,31,0,5200.31,5019.51,0.289269,0.0447329,0.198135,0.274982,0.139049,0.0996919,189.63
-5197.84,0.931192,0.0825544,6,63,0,5202.1,5004.31,0.288291,0.0816096,0.206767,0.224459,0.170037,0.0702238,193.339
-5197.02,0.995153,0.0825544,6,63,0,5200.63,4971.6,0.290795,0.0410259,0.211271,0.282148,0.161414,0.0819866,197.075
-5195.94,0.990804,0.0825544,5,31,0,5200.2,4992.98,0.28959,0.0425922,0.210248,0.269862,0.171479,0.0647327,197.516
-5195.05,0.974245,0.0825544,6,63,0,5197.96,5004.64,0.294277,0.0727655,0.202777,0.236786,0.165453,0.0763606,191.324
-5198.1,0.934221,0.0825544,5,31,0,5199.81,5071.28,0.284352,0.0564466,0.202611,0.231698,0.188407,0.0403837,200.699
-5195.89,0.998607,0.0825544,6,63,0,5205.78,4958.34,0.300762,0.0599627,0.208458,0.26104,0.151061,0.0942976,190.604
-5199.65,0.659863,0.0825544,5,31,0,5202.14,4936.21,0.303458,0.0690939,0.211809,0.25467,0.153447,0.0694021,191.983
-5194.68,0.999765,0.0825544,5,31,0,5201.2,5037.38,0.291781,0.051156,0.193723,0.243253,0.17329,0.089169,192.797
-5194.82,0.996918,0.0825544,6,63,0,5196.92,4952.17,0.291705,0.0697404,0.217452,0.26761,0.161443,0.0678355,193.798
-5195.17,0.982213,0.0825544,5,63,0,5197.32,5056.16,0.295462,0.0569445,0.192964,0.24296,0.161424,0.0496576,191.462
-5198.92,0.998726,0.0825544,5,31,0,5202.05,5019.98,0.29434,0.0597294,0.185129,0.256683,0.189229,0.0445054,184.031
