# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\80mopq3v.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121538_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0707581
# Diagonal elements of inverse mass matrix:
# 38364.8, 0.000325678, 0.00115476, 0.00129583, 0.00397528, 0.00328761, 0.00799665, 0.00578111
-580.662,0.99911,0.0707581,6,63,0,587.323,4479.72,0.338903,0.167566,0.228682,0.261206,0.220454,0.198194,200.189
-581.099,0.930996,0.0707581,6,63,0,583.756,4489.88,0.29098,0.205834,0.212521,0.345737,0.198029,0.239827,195.331
-579.389,0.93005,0.0707581,6,63,0,582.778,4397.47,0.334096,0.126944,0.258705,0.356443,0.147099,0.280358,195.911
-586.874,0.674248,0.0707581,5,63,0,589.544,4332.76,0.317878,0.136735,0.183266,0.353517,0.236918,0.425211,228.957
-583.142,0.991359,0.0707581,6,63,0,589.153,4616.73,0.330491,0.150438,0.211951,0.369743,0.122516,0.0964549,180.645
-579.704,0.932488,0.0707581,5,63,0,591.061,4576.53,0.329327,0.153635,0.212006,0.360161,0.118702,0.0998754,178.107
-581.138,0.906756,0.0707581,5,63,0,584.864,4317,0.330228,0.13201,0.252402,0.428445,0.196982,0.199956,220.458
-581.995,0.861979,0.0707581,5,63,0,589.441,4386.33,0.344657,0.11854,0.245933,0.419147,0.16798,0.150383,218.772
-584.308,0.983185,0.0707581,6,63,0,587.872,4506.19,0.289091,0.213364,0.186132,0.383006,0.182528,0.24113,178.469
-584.384,0.999287,0.0707581,4,15,0,586.445,4481.79,0.287682,0.213791,0.195279,0.395238,0.188028,0.187307,177.42
-580.564,0.999065,0.0707581,5,31,0,584.965,4476.3,0.298963,0.191831,0.211198,0.377542,0.191217,0.172028,180.729
-580.717,0.986168,0.0707581,6,63,0,583.294,4114.6,0.346252,0.148543,0.259623,0.406764,0.182522,0.419779,203.308
-580.95,0.852367,0.0707581,5,63,0,584.832,4284.61,0.337406,0.118751,0.217218,0.414965,0.162757,0.369501,194.696
-579.586,0.969803,0.0707581,5,63,0,584.328,4582.72,0.308027,0.154779,0.196271,0.386313,0.133615,0.150198,195.82
-581.367,0.999956,0.0707581,6,63,0,582.54,4803.73,0.3139,0.0906589,0.189789,0.25706,0.167041,0.205348,191.013
