# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:38 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\80mopq3v.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121538_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0548523
# Diagonal elements of inverse mass matrix:
# 31261.3, 0.000309159, 0.00122097, 0.00124564, 0.00375866, 0.00326054, 0.00766637, 0.00525552
-581.833,0.996447,0.0548523,5,63,0,588.023,4417.06,0.307471,0.186373,0.249542,0.296591,0.130944,0.374982,213.045
-584.567,0.908558,0.0548523,5,63,0,588.495,4489.69,0.30234,0.202706,0.249131,0.285512,0.102617,0.373783,216.633
-581.198,0.984059,0.0548523,6,63,0,587.779,4234.67,0.321711,0.15847,0.288548,0.372476,0.191304,0.325948,218.411
-584.698,0.993001,0.0548523,6,63,0,587.868,4186.12,0.3249,0.177894,0.210102,0.333191,0.341063,0.444065,218.242
-581.448,0.988252,0.0548523,6,63,0,590.015,4296.33,0.318438,0.190477,0.213582,0.375254,0.231942,0.271219,165.311
-579.118,0.999217,0.0548523,6,63,0,584.655,4515.84,0.318269,0.135836,0.218077,0.376445,0.163392,0.16677,208.841
-577.789,0.999809,0.0548523,6,63,0,580.828,4354.05,0.328102,0.149117,0.226092,0.404803,0.16607,0.259033,176.951
-578.73,0.958691,0.0548523,6,63,0,579.857,4352.82,0.324948,0.135793,0.236094,0.404038,0.165191,0.251862,175.468
-578.225,0.966015,0.0548523,6,127,0,580.636,4199.64,0.334899,0.195272,0.235385,0.402641,0.186981,0.322648,185.537
-578,0.977786,0.0548523,6,127,0,582.549,4381.58,0.31493,0.145498,0.24627,0.38661,0.177508,0.233171,180.839
-578.388,0.999225,0.0548523,6,63,0,580.716,4411.91,0.335813,0.173546,0.206716,0.387571,0.125324,0.228494,198.11
-577.933,0.99097,0.0548523,5,63,0,580.322,4415.73,0.32856,0.148411,0.218178,0.388859,0.191341,0.197541,191.438
-580.597,0.985224,0.0548523,6,63,0,581.646,4244.77,0.319979,0.201208,0.263864,0.374202,0.124905,0.382117,211.275
-580.003,0.999799,0.0548523,6,63,0,583.233,4235.3,0.317596,0.20614,0.250865,0.404329,0.110819,0.354669,207.559
-579.717,0.998599,0.0548523,6,63,0,580.941,4454.44,0.333883,0.123201,0.214375,0.385994,0.204852,0.157529,176.212
-578.466,0.99711,0.0548523,6,63,0,581.448,4339.79,0.325134,0.167258,0.273915,0.348603,0.163839,0.233288,187.019
-580.289,0.999033,0.0548523,6,63,0,581.888,4629.85,0.311598,0.140945,0.153562,0.363167,0.184868,0.220531,185.609
-578.715,0.903368,0.0548523,6,63,0,583.162,4510.27,0.316882,0.108939,0.21365,0.37889,0.17132,0.24367,182.83
-580.014,0.977774,0.0548523,6,63,0,581.024,4321.77,0.338133,0.220219,0.2393,0.353043,0.134897,0.206192,198.276
-580.244,0.937224,0.0548523,6,63,0,583.323,4382.88,0.335575,0.112074,0.242797,0.445402,0.158696,0.169688,190.877
-579.065,0.999029,0.0548523,6,63,0,581.408,4280.26,0.323448,0.188126,0.251343,0.407897,0.109461,0.335057,198.53
-580.551,0.991493,0.0548523,6,63,0,581.895,4660.96,0.320806,0.118565,0.1815,0.328993,0.210957,0.114631,180.608
-581.875,0.752606,0.0548523,6,63,0,587.099,4433.52,0.304562,0.151556,0.26243,0.370193,0.13325,0.29347,221.329
-579.794,0.998223,0.0548523,6,63,0,583.533,4423.05,0.337584,0.160199,0.194284,0.3913,0.167009,0.249445,173.354
-579.319,0.999944,0.0548523,6,63,0,582.365,4472.91,0.312753,0.155392,0.229944,0.388969,0.143094,0.224233,207.508
-584.041,0.885967,0.0548523,6,63,0,587.931,3997.05,0.341834,0.196436,0.247494,0.491349,0.179966,0.284843,191.469
-587.503,0.998715,0.0548523,6,95,0,589.836,4328.48,0.320955,0.115789,0.290076,0.372718,0.0597233,0.361151,226.065
-582.731,0.996589,0.0548523,6,63,0,589.813,4272.66,0.295797,0.146421,0.277416,0.400368,0.168503,0.343728,219.804
-582.525,0.979115,0.0548523,6,63,0,585.08,4282.88,0.29507,0.148602,0.287739,0.413275,0.182752,0.321077,217.059
-581.542,0.999022,0.0548523,5,31,0,583.103,4225.79,0.3032,0.157243,0.275472,0.42173,0.162584,0.331669,217.463
-579.476,0.996952,0.0548523,6,63,0,583.6,4246.28,0.321781,0.21833,0.213708,0.396448,0.219426,0.284532,187.554
-581.835,0.839032,0.0548523,6,63,0,585.229,4657.71,0.331207,0.0920615,0.237144,0.290021,0.106639,0.182788,199.471
-580.368,0.97232,0.0548523,6,63,0,584.841,4224.66,0.336046,0.213626,0.20681,0.413704,0.210214,0.228307,191.442
-579.114,0.977145,0.0548523,6,63,0,582.124,4457.69,0.332784,0.12574,0.231453,0.388308,0.0910958,0.288336,189.674
-578.917,0.983464,0.0548523,6,63,0,580.711,4220.89,0.334987,0.17553,0.241372,0.389718,0.221812,0.242687,196.746
-578.415,0.877779,0.0548523,6,63,0,583.098,4498.34,0.322154,0.135649,0.23037,0.382024,0.0945493,0.253749,189.885
-579.07,0.999938,0.0548523,6,127,0,580.854,4141.31,0.343139,0.185845,0.256724,0.437991,0.173059,0.247449,204.967
-581.363,0.882189,0.0548523,6,63,0,585.946,4391.58,0.335178,0.126981,0.237044,0.358544,0.23089,0.257241,192.902
-585.377,0.944724,0.0548523,6,63,0,587.638,4472.74,0.343369,0.0984099,0.196466,0.379475,0.163638,0.366048,193.981
-588.208,0.960845,0.0548523,6,127,0,596.498,3822.6,0.340986,0.211245,0.250106,0.564459,0.118972,0.443378,210.982
-584.76,0.988028,0.0548523,6,63,0,594.334,3959.02,0.348253,0.202301,0.238745,0.47822,0.128342,0.520492,180.353
-583.049,0.990912,0.0548523,6,63,0,587.553,3905.63,0.351458,0.216157,0.294262,0.485975,0.185213,0.266469,226.058
-581.206,0.965924,0.0548523,6,63,0,587.795,4159.05,0.331436,0.148125,0.220738,0.42729,0.265958,0.327908,193.517
-583.803,0.891962,0.0548523,5,31,0,586.407,4184.94,0.334466,0.130416,0.24548,0.396039,0.292744,0.373512,201.053
-582.882,0.97957,0.0548523,6,63,0,585.34,4582.78,0.312851,0.189067,0.216888,0.338846,0.0559918,0.166889,183.849
-582.534,0.981209,0.0548523,6,63,0,586.125,4066.72,0.344451,0.140562,0.239102,0.43475,0.245373,0.378712,204.244
-584.373,0.963511,0.0548523,6,63,0,591.936,4762.2,0.300345,0.176632,0.19946,0.347598,0.058301,0.0434459,197.336
-581.319,0.994328,0.0548523,6,63,0,587.467,4547.65,0.3234,0.150935,0.25283,0.260253,0.112721,0.282995,196.709
-579.998,0.997551,0.0548523,6,63,0,582.673,4442.57,0.32405,0.14447,0.207917,0.412984,0.190687,0.144989,209.539
-582.583,0.961618,0.0548523,6,63,0,584.666,4345.54,0.311445,0.152783,0.279641,0.395228,0.0979845,0.335026,171.937
-583.214,0.975814,0.0548523,6,63,0,586.484,4655.07,0.337915,0.147475,0.158243,0.305172,0.236289,0.0963606,206.641
-579.319,0.997858,0.0548523,6,63,0,584.793,4575.34,0.334223,0.134764,0.188967,0.370755,0.0937739,0.245896,191.744
-579.075,0.977098,0.0548523,6,63,0,584.503,4587.99,0.307256,0.140946,0.221727,0.314844,0.190473,0.162487,197.645
-582.156,0.881128,0.0548523,6,63,0,584.616,4325.25,0.343537,0.17759,0.218581,0.380791,0.104815,0.276051,175.49
-580.746,1,0.0548523,6,63,0,584.823,4471.76,0.314502,0.0958021,0.231292,0.382208,0.23872,0.182995,199.031
-583.128,0.940896,0.0548523,6,63,0,586.61,4677.75,0.322119,0.0901745,0.223032,0.26974,0.152009,0.286335,182.802
-581.941,0.948604,0.0548523,6,63,0,586.931,4583.2,0.324698,0.127523,0.193883,0.421633,0.122165,0.145225,173.11
-583.676,0.998508,0.0548523,6,63,0,588.345,4848.03,0.325929,0.107844,0.208405,0.242848,0.101931,0.143367,210.571
-579.01,0.994445,0.0548523,6,63,0,586.751,4363.17,0.309723,0.167722,0.208767,0.374066,0.232388,0.300826,177.496
-579.55,0.923562,0.0548523,6,127,0,582.739,4525.58,0.318935,0.149681,0.193186,0.319996,0.156381,0.323254,175.729
