# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:17:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\qvai8wu8.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121705_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0963196
# Diagonal elements of inverse mass matrix:
# 2285.61, 4.03309e-005, 0.000121173, 0.000132264, 0.000306917, 0.000374095, 0.000757743, 0.000491831
-5821.27,0.98331,0.0963196,5,31,0,5823.6,5060.71,0.314136,0.0568956,0.172046,0.225601,0.156073,0.0682299,204.08
-5822.89,0.964715,0.0963196,5,31,0,5826.48,5085.85,0.30358,0.0389582,0.163409,0.271613,0.133668,0.0619541,204.035
-5824.53,0.996542,0.0963196,5,31,0,5830.1,5108.57,0.29281,0.042253,0.179205,0.249956,0.0907118,0.144702,203.054
-5822.46,0.962611,0.0963196,5,63,0,5829.93,5050.74,0.316635,0.0409394,0.183252,0.241038,0.125363,0.0879102,192.359
-5823.03,0.957239,0.0963196,6,63,0,5826.84,5035.82,0.313653,0.045891,0.186766,0.247231,0.114143,0.0868383,191.468
-5824.46,1,0.0963196,6,63,0,5828.96,5005.97,0.313925,0.036836,0.205824,0.223477,0.119925,0.141941,193.747
-5821.6,0.91017,0.0963196,5,31,0,5827.16,5089.47,0.303184,0.0505207,0.159135,0.24043,0.147119,0.0892478,205.855
-5822.34,0.998446,0.0963196,5,31,0,5824.17,5087.71,0.30384,0.0567361,0.152406,0.245162,0.149372,0.0901511,204.486
-5821.23,0.999282,0.0963196,5,31,0,5825.73,5077.72,0.31023,0.0541129,0.166421,0.220327,0.117793,0.142569,205.369
