# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:17:05 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\qvai8wu8.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121705_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0742825
# Diagonal elements of inverse mass matrix:
# 2121.13, 4.65632e-005, 0.000133969, 0.000141655, 0.000308068, 0.000423449, 0.000669317, 0.000487844
-5820.42,0.993561,0.0742825,6,63,0,5824.22,5034.54,0.310141,0.0450427,0.169389,0.236617,0.140032,0.14657,198.646
-5820.51,0.998172,0.0742825,6,63,0,5822.96,5070.91,0.303143,0.0428759,0.192586,0.24462,0.125733,0.0580856,206.557
-5820.17,0.962098,0.0742825,6,63,0,5823.05,5086.66,0.304425,0.0437737,0.172746,0.258349,0.126633,0.0655312,205.88
-5820.08,0.997775,0.0742825,6,63,0,5822.88,5036.56,0.307576,0.0540342,0.166073,0.257244,0.143358,0.106855,209.681
-5820.65,0.992986,0.0742825,6,63,0,5823.34,5002.72,0.305116,0.0354111,0.210897,0.245162,0.136383,0.112676,198.712
-5819.05,0.952394,0.0742825,5,63,0,5826.04,5040.55,0.309665,0.0329315,0.184804,0.230315,0.165899,0.0988601,202.951
-5824.46,0.823341,0.0742825,5,31,0,5825.98,5046.45,0.320601,0.0325777,0.178994,0.221441,0.170545,0.0950063,202.644
-5823.87,0.99922,0.0742825,6,63,0,5827.27,5040.15,0.293422,0.0532729,0.204945,0.250794,0.123142,0.109088,203.772
-5824.6,0.999699,0.0742825,5,63,0,5831.11,5058.71,0.3093,0.0357685,0.199117,0.219011,0.151223,0.0905741,215.938
-5820.98,0.975469,0.0742825,6,63,0,5827.59,5046.51,0.300746,0.0566451,0.196037,0.236875,0.144581,0.066848,208.789
-5820.14,0.980678,0.0742825,5,31,0,5822.61,5039.68,0.30426,0.0583224,0.197045,0.227398,0.138995,0.0890777,207.633
-5820.42,0.999239,0.0742825,6,63,0,5824.07,5127.67,0.298654,0.0439138,0.182463,0.229289,0.123799,0.0748209,201.437
-5820.31,0.881844,0.0742825,5,31,0,5825.28,5091.94,0.308494,0.0454557,0.181805,0.212651,0.118502,0.105733,203.885
-5819.59,0.997303,0.0742825,6,63,0,5821.71,5054.81,0.304479,0.0455326,0.177292,0.2489,0.131949,0.12951,198.141
-5822.92,0.95496,0.0742825,5,31,0,5824.79,5080.09,0.298703,0.0538911,0.177946,0.241138,0.103893,0.121214,197.114
-5820.09,0.99643,0.0742825,5,31,0,5825.5,5083.86,0.3049,0.0309444,0.183158,0.227533,0.141482,0.0952699,200.587
-5820.73,0.984473,0.0742825,5,63,0,5824.15,5060.61,0.30815,0.0212297,0.191533,0.233043,0.13755,0.11118,199.985
-5820.53,0.91155,0.0742825,6,63,0,5823.6,5089.71,0.299373,0.0401819,0.180759,0.230413,0.135219,0.0992191,201.55
-5820.47,0.848124,0.0742825,4,31,0,5827.75,5117.81,0.299855,0.0406651,0.177674,0.233906,0.125249,0.106472,202.949
-5820.49,0.92479,0.0742825,6,63,0,5823.54,4977.85,0.309292,0.0473053,0.189676,0.247289,0.153473,0.114616,203.104
-5820.05,0.993938,0.0742825,4,31,0,5824.77,4995.06,0.306532,0.0471475,0.196894,0.257595,0.144012,0.114201,204.417
-5818.16,0.993344,0.0742825,6,63,0,5823.72,4974.09,0.312679,0.0455904,0.187664,0.254728,0.154881,0.12017,201.522
-5819.11,0.996247,0.0742825,5,31,0,5822.23,5002.23,0.30943,0.0449727,0.191145,0.225588,0.168914,0.12639,201.307
-5818.17,0.939572,0.0742825,5,63,0,5821.01,5006.8,0.30548,0.0441965,0.196819,0.253438,0.138855,0.111724,201.682
-5821.35,0.978187,0.0742825,5,31,0,5822.72,5022.91,0.295821,0.0384923,0.200207,0.236892,0.164301,0.131164,202.405
-5818.52,0.999998,0.0742825,5,63,0,5822.66,4997.4,0.310592,0.0566997,0.191698,0.24899,0.125212,0.108165,202.139
-5818.58,0.995286,0.0742825,6,63,0,5820.37,5082.22,0.303227,0.0316141,0.176561,0.239813,0.143649,0.107946,202.669
-5824.25,0.813121,0.0742825,6,63,0,5829.14,4891.15,0.312963,0.0699278,0.195433,0.262118,0.147406,0.146378,204.391
-5822.75,0.99223,0.0742825,6,63,0,5828.32,5120.66,0.298113,0.0240859,0.175176,0.233413,0.154219,0.0807749,202.387
-5821.04,0.986342,0.0742825,5,63,0,5825.3,5079.02,0.298594,0.0339995,0.181034,0.245576,0.161633,0.0932021,206.961
-5820.23,0.999837,0.0742825,6,63,0,5822.49,5040.96,0.314709,0.046079,0.189217,0.223,0.119401,0.109383,201.125
-5820.85,0.973435,0.0742825,6,63,0,5826.4,4984.3,0.298427,0.0507647,0.186171,0.27265,0.16551,0.117515,204.044
-5821.79,0.976627,0.0742825,5,63,0,5825.49,4945.73,0.300768,0.044131,0.193727,0.271052,0.162288,0.148089,205.769
-5820.24,0.999823,0.0742825,6,63,0,5824.67,5035.94,0.316771,0.0549473,0.174607,0.232029,0.136287,0.110471,199.753
-5817.72,0.997172,0.0742825,5,31,0,5820.76,5054.14,0.305217,0.046882,0.183836,0.248345,0.125489,0.101367,202.697
-5819.3,0.997719,0.0742825,5,31,0,5820.3,5098.16,0.308257,0.0508581,0.166602,0.233112,0.124294,0.0925133,202.28
-5819.18,0.982149,0.0742825,6,63,0,5821.33,4999.08,0.30185,0.0385093,0.20086,0.248492,0.150647,0.122727,203.192
-5820.42,0.992388,0.0742825,6,63,0,5823.62,4991.15,0.300912,0.0561124,0.197943,0.255919,0.160787,0.08174,200.386
-5821.44,0.995083,0.0742825,5,31,0,5823.01,4998.92,0.299565,0.0605892,0.200726,0.250295,0.156387,0.0737397,200.755
-5820.67,0.994141,0.0742825,6,63,0,5825.68,5024.94,0.316333,0.0301888,0.169273,0.256041,0.143493,0.130716,201.492
-5821.53,0.968409,0.0742825,6,63,0,5824.68,5063.54,0.295586,0.0568999,0.197877,0.224269,0.131791,0.0947896,203.391
-5821.28,0.914993,0.0742825,6,63,0,5826.16,5013.13,0.317519,0.0366771,0.170191,0.25181,0.140479,0.130227,198.301
-5825.06,0.844391,0.0742825,6,63,0,5832.78,4907.4,0.299949,0.0659661,0.199647,0.263107,0.176188,0.140015,210.04
-5822.38,0.995101,0.0742825,6,63,0,5829.51,4972.08,0.308383,0.0392138,0.179878,0.255721,0.191825,0.13381,196.856
-5821.1,0.999996,0.0742825,6,63,0,5823.16,5023.48,0.307748,0.0533283,0.195625,0.249476,0.0989364,0.111067,208.623
-5822.23,0.999567,0.0742825,6,63,0,5825.75,5083.86,0.306493,0.0309675,0.179993,0.23041,0.143249,0.108809,190.571
-5821.88,0.831407,0.0742825,5,31,0,5828.03,5051.03,0.304048,0.0460277,0.190837,0.227205,0.12816,0.110907,194.017
-5821.74,1,0.0742825,6,63,0,5825.05,4988.29,0.312112,0.0475792,0.177233,0.257375,0.153727,0.109315,213.269
-5819.23,0.875413,0.0742825,5,31,0,5825.85,5030.57,0.304523,0.0411234,0.196811,0.244669,0.137133,0.0925943,208.871
-5819.98,0.853663,0.0742825,6,63,0,5823.41,5047.87,0.309758,0.0288383,0.178752,0.236244,0.153195,0.112391,201.768
-5820.22,0.99815,0.0742825,6,63,0,5821.31,5000.43,0.303996,0.0582113,0.191989,0.25247,0.123683,0.111568,203.058
-5822.81,0.98304,0.0742825,5,31,0,5826.03,4990.88,0.301058,0.0622992,0.187839,0.233127,0.139675,0.174527,198.623
-5822.13,0.989642,0.0742825,6,63,0,5827.46,5086.64,0.313453,0.0270961,0.184574,0.233756,0.151829,0.0492838,203.638
-5822.54,0.999948,0.0742825,6,63,0,5826.52,4934.41,0.303125,0.0631901,0.18497,0.261068,0.15702,0.172799,203.386
-5819.7,0.9994,0.0742825,6,63,0,5825.9,5078.57,0.306265,0.0316992,0.191147,0.242671,0.137996,0.061842,203.103
-5819.72,0.926045,0.0742825,6,63,0,5822.18,5078.78,0.303016,0.0388848,0.172376,0.233656,0.130597,0.137375,204.607
-5820.44,0.99211,0.0742825,6,63,0,5822.58,5054.7,0.312739,0.0602453,0.179362,0.236515,0.123743,0.0803542,206.598
-5818.62,0.999876,0.0742825,5,63,0,5821.97,5026.83,0.307799,0.0485795,0.176445,0.267224,0.129341,0.102569,204.74
-5818.94,0.997841,0.0742825,6,63,0,5822.56,5045.64,0.301782,0.040335,0.195124,0.22527,0.15423,0.116738,200.629
-5820.96,0.99094,0.0742825,5,31,0,5822.46,5100.01,0.313142,0.0277257,0.168,0.231203,0.146361,0.0869995,206.602
-5819.86,0.873219,0.0742825,5,31,0,5825.66,5092.96,0.311255,0.0385764,0.17372,0.227733,0.133254,0.0786454,203.663
-5819.73,0.995073,0.0742825,5,63,0,5823.75,5013.09,0.317554,0.0414633,0.183787,0.232651,0.139523,0.11938,200.796
-5819.67,0.995725,0.0742825,6,63,0,5821.23,5029.01,0.297372,0.0472945,0.187984,0.261008,0.152064,0.0935081,204.573
-5818.17,0.993742,0.0742825,6,63,0,5823.82,5013.89,0.312707,0.0462581,0.18486,0.238029,0.135426,0.134091,200.522
-5821.51,0.998056,0.0742825,5,31,0,5823.16,5022.46,0.315237,0.0293987,0.202114,0.227406,0.138011,0.110873,209.696
-5822.51,0.998293,0.0742825,6,63,0,5827.92,5024.08,0.316944,0.0236413,0.202042,0.224503,0.133056,0.126879,207.331
-5818.18,0.971639,0.0742825,5,31,0,5824.01,5031.42,0.307346,0.0550941,0.180051,0.252568,0.121764,0.11409,203.134
-5819.54,0.993266,0.0742825,6,63,0,5820.68,4968.7,0.309466,0.044864,0.198332,0.26135,0.15038,0.098313,208.542
-5822.44,0.911921,0.0742825,5,31,0,5825.41,5000.58,0.310104,0.0209244,0.17449,0.277586,0.159727,0.135707,204.262
-5824.52,0.859932,0.0742825,6,63,0,5830.2,4979.68,0.301722,0.0616341,0.184165,0.224088,0.184921,0.145809,210.09
-5823.65,0.999586,0.0742825,6,63,0,5826.62,4991.78,0.30287,0.0636043,0.182267,0.223345,0.182157,0.15204,209.175
