# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\3miuwjsn.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121542_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.070416
# Diagonal elements of inverse mass matrix:
# 13077.4, 0.000178985, 0.000552206, 0.000640251, 0.00195994, 0.00200085, 0.00390136, 0.00229123
-1171.22,0.99966,0.070416,5,63,0,1174.06,4961.22,0.33348,0.0476162,0.136207,0.246725,0.195132,0.150564,213.35
-1170.46,0.999021,0.070416,6,63,0,1174.01,4984.38,0.31676,0.0171885,0.158658,0.28999,0.119153,0.225201,202.136
-1173.66,0.959331,0.070416,5,63,0,1176.11,4881.09,0.317714,0.0607568,0.155177,0.221717,0.201269,0.309906,202.267
-1173.81,0.99604,0.070416,6,63,0,1178.05,4889.69,0.329757,0.0485048,0.149847,0.216668,0.199475,0.339461,203.123
-1171.2,0.999974,0.070416,6,63,0,1175.76,5124.34,0.303906,0.0233959,0.15104,0.27437,0.13359,0.104284,202.738
-1172.19,0.999806,0.070416,5,31,0,1173.2,5177.64,0.297583,0.00832678,0.149885,0.261246,0.113931,0.150069,203.715
-1172.58,0.982515,0.070416,6,63,0,1175.5,4813.22,0.332893,0.0654337,0.184767,0.227988,0.24042,0.180092,203.584
-1175.46,0.737179,0.070416,6,63,0,1179.11,5030.79,0.320948,0.00430098,0.153612,0.299589,0.0889671,0.155505,216.651
-1172.96,0.998264,0.070416,6,63,0,1178.92,5157.51,0.312027,0.0359253,0.126353,0.182091,0.182573,0.214445,212.603
-1172.09,0.991394,0.070416,6,63,0,1174.92,5134.77,0.311465,0.00654969,0.169652,0.243272,0.079592,0.202067,205.198
-1174.4,0.998721,0.070416,5,31,0,1177.64,5200.06,0.322317,0.00899689,0.180094,0.195685,0.0624679,0.128354,210.955
-1174.59,0.999978,0.070416,6,63,0,1177.95,5287.34,0.310025,0.0395592,0.131397,0.202138,0.047175,0.137744,205.283
-1173.15,0.997304,0.070416,6,63,0,1176.89,5216.59,0.311408,0.0247094,0.163481,0.194204,0.122743,0.0631315,211.904
-1174.73,0.987276,0.070416,6,63,0,1178.15,4750.82,0.322154,0.0756483,0.176062,0.292225,0.15767,0.346505,202.809
-1175.33,0.995103,0.070416,6,63,0,1179.12,5225.09,0.314556,-0.000442082,0.118538,0.230563,0.19737,0.035255,210.377
-1171.84,0.962483,0.070416,5,31,0,1177.03,5163.95,0.315669,0.0290666,0.120363,0.245805,0.138984,0.115354,216.956
-1174.97,0.908539,0.070416,6,63,0,1189.52,4793.17,0.340098,0.0483706,0.183536,0.27189,0.230111,0.179024,184.567
-1174.98,1,0.070416,6,63,0,1176.88,5160.31,0.303337,0.0316573,0.135237,0.253642,0.0703129,0.195303,228.461
-1172.01,0.99914,0.070416,6,63,0,1177.85,4956.55,0.344268,0.0205513,0.155821,0.254957,0.121353,0.24975,202.362
-1174.56,0.998053,0.070416,6,63,0,1178.07,4814.55,0.334301,0.0418075,0.132558,0.335503,0.199106,0.21284,183.862
-1176.42,0.988053,0.070416,5,31,0,1179.24,4791.37,0.331349,0.077911,0.130118,0.328801,0.171485,0.254059,182.831
-1176.67,0.980535,0.070416,6,63,0,1181.79,5047.92,0.323844,-0.00981173,0.186418,0.227471,0.180697,0.144569,240.407
-1174.55,0.987502,0.070416,6,63,0,1180.32,4990.01,0.322656,0.00767521,0.146693,0.323707,0.123389,0.203285,233.169
-1172.39,0.999294,0.070416,6,63,0,1177.99,5054.31,0.306494,0.0524082,0.183157,0.243096,0.123403,0.125969,190.117
-1171.59,0.997872,0.070416,6,63,0,1173.74,4937.25,0.334073,0.0194091,0.129973,0.277247,0.222066,0.212367,213.167
