# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\3miuwjsn.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121542_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0719064
# Diagonal elements of inverse mass matrix:
# 14265.2, 0.000177831, 0.000642945, 0.000656176, 0.00190269, 0.0021049, 0.0034169, 0.00265014
-1171.22,0.992688,0.0719064,6,63,0,1178.59,5080.67,0.32114,0.00482531,0.152495,0.226135,0.178248,0.177282,189.83
-1171,0.781822,0.0719064,6,63,0,1176.44,4906.13,0.322589,0.0490599,0.181349,0.231919,0.174264,0.229388,217.669
-1170.8,0.885593,0.0719064,6,63,0,1173.84,4899.85,0.31955,0.0523003,0.146545,0.324458,0.180892,0.164909,197.855
-1173.01,0.937621,0.0719064,6,63,0,1175.65,5185.24,0.333343,0.00942517,0.126133,0.193704,0.107962,0.178317,208.96
-1171.29,0.949331,0.0719064,6,63,0,1175.43,4945.69,0.313053,0.0195115,0.172992,0.292821,0.175593,0.216464,204.386
-1175.07,0.941563,0.0719064,5,47,0,1178.37,4999.55,0.297188,0.0211309,0.177574,0.311512,0.158916,0.182009,195.5
-1173.63,0.979243,0.0719064,6,63,0,1179.82,4928.28,0.344845,0.063455,0.154829,0.204576,0.179422,0.185534,220.37
-1170.57,0.963594,0.0719064,5,63,0,1175.1,4987.83,0.322945,0.015078,0.137832,0.282849,0.143846,0.236,203.585
-1170.48,0.967193,0.0719064,5,63,0,1172.25,4938.51,0.317628,0.0263767,0.169996,0.270336,0.208178,0.193476,203.296
-1171.93,0.999867,0.0719064,6,63,0,1173.14,4781.45,0.331502,0.0582022,0.152416,0.300481,0.239184,0.232658,200.445
-1173.33,0.999806,0.0719064,6,63,0,1176.71,5177.66,0.313762,0.0167961,0.172908,0.222471,0.0644173,0.119183,201.058
-1172.4,0.996901,0.0719064,6,63,0,1178.6,4867.66,0.322399,0.0439809,0.127931,0.286106,0.258554,0.22291,211.68
-1171.9,0.999988,0.0719064,6,63,0,1176.32,4921.39,0.327443,0.0327455,0.196414,0.268713,0.099165,0.219271,204.524
-1172.57,0.846625,0.0719064,5,63,0,1175.21,4925.46,0.324998,0.0382572,0.199289,0.256396,0.0914773,0.213522,203.802
-1172.77,0.999804,0.0719064,6,63,0,1179.26,4993.05,0.30987,0.0310753,0.130917,0.285951,0.25352,0.124813,212.574
-1172.72,0.995558,0.0719064,6,63,0,1179.22,4839.64,0.323333,0.0697083,0.183451,0.280796,0.107767,0.263133,200.322
-1169.27,0.999307,0.0719064,5,31,0,1173.62,4990.61,0.312774,0.0374879,0.155113,0.27682,0.159087,0.189556,206.182
-1174.63,0.837656,0.0719064,6,63,0,1175.22,4824.71,0.341501,0.0259817,0.163499,0.290115,0.136077,0.268155,197.682
-1175.33,0.944008,0.0719064,6,63,0,1179.55,4987.7,0.296649,0.0639746,0.168567,0.278623,0.166237,0.197882,223.019
-1174.92,0.967573,0.0719064,6,63,0,1178.8,4865.23,0.346096,0.0422416,0.150281,0.258376,0.173954,0.184109,200.265
-1170.41,0.992959,0.0719064,6,63,0,1176.94,5008.59,0.304967,0.0198614,0.166952,0.264987,0.187782,0.160546,202.592
-1170.22,0.999864,0.0719064,5,31,0,1171.17,5048.97,0.30378,0.0306142,0.158109,0.240388,0.188619,0.167902,206.953
-1173.31,0.923623,0.0719064,6,63,0,1176.2,4899.13,0.322455,-0.00841648,0.151794,0.344128,0.209884,0.184227,207.342
-1169.76,0.999402,0.0719064,5,63,0,1174.31,4981.63,0.326072,0.0146839,0.155261,0.27126,0.188174,0.166561,198.386
-1170.33,0.842476,0.0719064,6,63,0,1172.99,5044.73,0.307275,0.046927,0.146196,0.262513,0.162313,0.138723,196.822
-1172,0.812955,0.0719064,5,55,0,1173.8,4941.28,0.315029,0.0376388,0.143429,0.295434,0.184899,0.154297,204.673
-1172.33,0.983797,0.0719064,6,63,0,1174.55,5014.9,0.325599,0.019562,0.18244,0.239709,0.192243,0.106088,198.399
-1175.36,0.999346,0.0719064,5,63,0,1178.63,4954.43,0.354473,0.0140982,0.171014,0.208617,0.177054,0.202218,197.695
-1174.9,0.985425,0.0719064,5,63,0,1179.1,4907.01,0.357548,0.00156509,0.14222,0.253927,0.206443,0.219148,197.75
-1174.26,0.999402,0.0719064,6,63,0,1179.16,5055.92,0.309081,0.0464428,0.209335,0.205128,0.135877,0.100119,221.256
-1173.8,0.995718,0.0719064,6,63,0,1178.95,4985.24,0.31935,0.0637841,0.127361,0.327477,0.136742,0.104328,188.741
-1173.56,0.989842,0.0719064,6,63,0,1178.52,4895.88,0.317236,0.0031846,0.190519,0.224877,0.221238,0.297341,207.748
-1173.01,0.999233,0.0719064,6,63,0,1176.28,4881.74,0.33045,0.0726833,0.134738,0.343186,0.108708,0.170701,209.169
-1175.35,0.915271,0.0719064,6,63,0,1182.71,4651.23,0.315802,0.0626346,0.194167,0.315447,0.22177,0.304847,217.501
-1171.79,0.998102,0.0719064,6,63,0,1177.42,4899.76,0.32043,0.0625069,0.141543,0.271002,0.23154,0.142068,202.483
-1173.74,0.800921,0.0719064,6,63,0,1179.78,5058.95,0.322645,0.0270193,0.19654,0.202503,0.127473,0.105071,197.312
-1176.53,0.946734,0.0719064,5,31,0,1179.72,5057.85,0.302161,0.00833904,0.215305,0.245175,0.112582,0.113969,191.92
-1173.17,0.999443,0.0719064,5,63,0,1179.72,4783.76,0.328467,0.0878931,0.144977,0.313607,0.21938,0.203077,209.694
-1175.83,0.993574,0.0719064,6,63,0,1178.3,4806.53,0.350691,0.065897,0.163056,0.234028,0.175902,0.2418,227.515
-1173.5,0.993451,0.0719064,6,63,0,1178.25,4924.96,0.308798,0.0126008,0.172162,0.353825,0.162163,0.127914,196.771
-1175.31,0.987169,0.0719064,6,63,0,1179.68,4840.78,0.328055,0.0857049,0.196335,0.268265,0.186665,0.0828446,230.364
