# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\nq41il_6.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121547_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0684999
# Diagonal elements of inverse mass matrix:
# 8212.5, 0.000123851, 0.000454483, 0.000480363, 0.00135507, 0.00148086, 0.00268088, 0.001752
-1760.23,0.998787,0.0684999,5,47,0,1764.64,5014.96,0.297693,0.0303741,0.170513,0.257615,0.212931,0.0945886,211.212
-1761.72,0.999916,0.0684999,5,31,0,1763.43,5123.83,0.291173,-0.00180667,0.130045,0.287219,0.215966,0.112707,216.955
-1762.29,0.999984,0.0684999,6,63,0,1765.22,5015.5,0.294768,0.00521089,0.170967,0.248655,0.24418,0.183108,221.28
-1762.08,0.952638,0.0684999,6,63,0,1765.81,5023.96,0.295715,0.0320742,0.181405,0.298182,0.225114,-0.0199444,199.412
-1763.45,0.902701,0.0684999,6,63,0,1767.34,5152.99,0.295348,0.00683978,0.147012,0.205148,0.222403,0.124171,202.379
-1762.77,0.994588,0.0684999,6,63,0,1767.36,4966.13,0.293295,0.0176358,0.207354,0.329739,0.184099,0.0256907,221.744
-1760.09,0.982714,0.0684999,6,63,0,1764.31,4964.6,0.300425,0.0432416,0.18269,0.262368,0.224144,0.0866284,217.256
-1759.49,0.993592,0.0684999,6,63,0,1760.98,5124.26,0.287051,0.000355218,0.164663,0.274064,0.19772,0.0668392,201.783
-1759.24,0.990261,0.0684999,6,63,0,1760.63,5011.25,0.294109,0.0336705,0.184068,0.26028,0.224553,0.0887008,210.103
-1759.78,0.973966,0.0684999,5,31,0,1761.3,5022.76,0.291366,0.0324854,0.173848,0.26061,0.25355,0.0781272,210.239
-1761.8,0.998984,0.0684999,5,63,0,1764.38,5000.93,0.290253,0.00473905,0.208312,0.240262,0.234711,0.111024,218.463
-1760.92,0.975085,0.0684999,6,63,0,1764.21,5009.69,0.293431,0.0283635,0.178462,0.328567,0.177028,0.0411065,205.797
-1760.66,0.999221,0.0684999,6,63,0,1762.68,5087.58,0.291638,0.0114735,0.171814,0.219957,0.244805,0.126998,208.046
-1761.6,0.999581,0.0684999,6,63,0,1763.02,4976.65,0.295236,0.0292658,0.1867,0.321854,0.225567,-0.00809141,211.188
-1760.85,0.997376,0.0684999,6,63,0,1764.6,4992.75,0.291638,0.0230732,0.161707,0.296053,0.205547,0.175165,202.673
-1761.11,0.983693,0.0684999,6,63,0,1762.85,5010.56,0.294458,0.0180085,0.155959,0.31942,0.191328,0.132479,198.354
-1760.24,0.994072,0.0684999,6,63,0,1763.1,4955.48,0.288444,0.0296592,0.191953,0.28949,0.226402,0.120492,202.582
-1759.87,0.990499,0.0684999,6,63,0,1761.56,5086.85,0.302597,0.0328785,0.153199,0.25187,0.204224,0.0696082,212.171
-1760.73,0.998723,0.0684999,6,63,0,1762.72,4933.11,0.284873,0.0132955,0.200233,0.310706,0.229559,0.113213,207.597
-1759.82,0.961436,0.0684999,6,63,0,1762.11,5009.91,0.297964,0.00369905,0.181953,0.288683,0.197769,0.129983,211.88
-1759.75,0.977674,0.0684999,6,63,0,1762.19,5073.77,0.287168,0.0293133,0.16917,0.272448,0.223756,0.0389113,198.708
-1763.17,0.82675,0.0684999,6,63,0,1765.77,4942.74,0.304365,0.0175376,0.178406,0.304021,0.222723,0.137379,225.332
-1768.27,0.999472,0.0684999,5,31,0,1772.1,4864.35,0.313858,0.0346044,0.177954,0.228984,0.250009,0.230296,218.552
-1765.06,0.966016,0.0684999,6,63,0,1772.82,5012.18,0.293998,0.0408689,0.193426,0.269055,0.150078,0.167424,212.075
-1765.72,0.940502,0.0684999,6,63,0,1771.23,4997.24,0.296709,0.0355809,0.192296,0.305942,0.183064,0.0573287,234.324
-1765.7,0.995645,0.0684999,6,63,0,1770.81,4951.1,0.282827,0.0520235,0.144988,0.292335,0.270457,0.19787,213.337
-1760.64,0.987806,0.0684999,6,63,0,1769.02,5169.78,0.286588,-0.00203945,0.173055,0.246321,0.167803,0.114655,209.561
-1760.74,0.999599,0.0684999,6,63,0,1762.95,5109.09,0.281212,0.0291876,0.177629,0.25976,0.229317,0.00589585,218.432
-1760.16,0.999841,0.0684999,6,63,0,1762.69,5164.16,0.29315,0.00154964,0.144707,0.267924,0.178397,0.0878039,212.803
-1761.18,0.966134,0.0684999,5,63,0,1767.12,5165.58,0.298822,-0.0111013,0.144027,0.259632,0.184984,0.107247,210.273
-1760.27,0.9895,0.0684999,6,63,0,1763.2,5085.05,0.282826,0.0262623,0.198647,0.257026,0.191605,0.029798,213.041
-1763.09,0.987673,0.0684999,5,31,0,1764.01,5071.2,0.285396,0.050118,0.197369,0.249151,0.181873,0.0316959,226.964
-1760.63,0.999831,0.0684999,5,31,0,1764.52,5046.19,0.299959,0.040578,0.189132,0.244364,0.171424,0.0681364,215.837
-1761.7,0.995232,0.0684999,6,63,0,1764.28,4993.53,0.278908,0.0258281,0.201964,0.311354,0.174931,0.0965084,215.501
-1761.8,0.93415,0.0684999,6,63,0,1764.82,5140.17,0.295893,0.00738338,0.14288,0.221093,0.253217,0.0949464,205.296
-1761.24,0.998435,0.0684999,6,63,0,1764.3,5080.22,0.270748,0.014998,0.187915,0.268435,0.235278,0.0705321,216.589
-1760.54,0.999164,0.0684999,6,63,0,1763.19,4989.88,0.307056,0.0206503,0.203008,0.257951,0.195793,0.0676621,210.876
-1759.84,0.983555,0.0684999,6,63,0,1762.83,5109.7,0.282995,0.0118109,0.145895,0.284097,0.224363,0.0882003,209.78
-1760.36,0.951742,0.0684999,5,63,0,1763.09,5068.5,0.286045,0.0205536,0.153693,0.285314,0.244909,0.0879925,211.525
-1763.31,0.974594,0.0684999,6,63,0,1765.32,5148.85,0.276625,0.0143365,0.163934,0.202835,0.257593,0.109484,219.828
-1761.94,0.837552,0.0684999,6,63,0,1769.21,5190.67,0.281149,0.0180383,0.134419,0.256813,0.190156,0.110872,221.302
-1761.45,0.989959,0.0684999,6,63,0,1766.4,4915.24,0.310078,0.0181649,0.189655,0.290381,0.247955,0.0692868,220.369
-1762.38,0.997044,0.0684999,5,31,0,1763.73,4886.05,0.314816,0.00653429,0.18651,0.290882,0.250175,0.119042,216.941
-1766.04,0.953947,0.0684999,6,63,0,1772.02,4973.09,0.306779,-0.0174772,0.168582,0.358586,0.206537,0.0667531,231.681
-1760.62,0.97445,0.0684999,6,63,0,1768.82,5111.28,0.30141,0.00964171,0.155282,0.283091,0.17505,0.0763146,215.09
-1762.82,0.870606,0.0684999,5,63,0,1767.48,5060.02,0.311723,0.0345808,0.154924,0.218268,0.257151,0.0618225,210.839
-1763.62,0.950356,0.0684999,6,63,0,1767.19,5078.91,0.274793,0.00572593,0.201701,0.309659,0.154859,0.0898277,205.72
-1762.47,0.988257,0.0684999,6,63,0,1767.09,4998.75,0.309601,0.0209025,0.138758,0.267419,0.238606,0.15704,211.774
-1760.93,0.989029,0.0684999,6,63,0,1766.63,5160.47,0.278684,0.000486833,0.154864,0.246268,0.212761,0.120038,204.495
-1764.23,0.996668,0.0684999,6,63,0,1767.13,5293.11,0.295731,0.00598466,0.155031,0.236367,0.152207,-0.0536282,214.445
-1763.79,0.992329,0.0684999,6,63,0,1766.11,5302.07,0.288793,-0.00772562,0.162514,0.233244,0.169629,-0.0507497,217.598
-1761.94,0.908688,0.0684999,6,63,0,1767.09,4955.43,0.289247,0.0321489,0.174579,0.288018,0.224341,0.185598,203.498
-1761.13,0.989306,0.0684999,6,63,0,1763.68,4974.08,0.300219,0.0409789,0.164782,0.258663,0.210159,0.160993,205.805
-1761.72,0.999963,0.0684999,6,63,0,1763.99,5145.9,0.281223,-0.0147114,0.153992,0.313974,0.190325,0.0483368,211.828
-1761.53,0.975137,0.0684999,6,63,0,1766.97,5143.74,0.281829,-0.0130012,0.152561,0.319968,0.194374,0.0475892,211.931
-1761.35,0.998089,0.0684999,6,63,0,1764.51,5055.62,0.280991,0.0436788,0.169811,0.233783,0.267301,0.0862639,208.684
-1759.71,0.999912,0.0684999,5,31,0,1762.74,5064,0.283906,0.0238071,0.186121,0.248707,0.246958,0.0456141,208.977
-1760.36,0.95115,0.0684999,6,63,0,1761.98,5019.19,0.295157,0.0166999,0.17039,0.279679,0.181295,0.149715,202.582
-1760.5,0.994121,0.0684999,6,63,0,1762.14,5108.29,0.291753,0.0168173,0.174892,0.258306,0.234215,0.00646618,216.424
-1763.26,0.987316,0.0684999,6,63,0,1766.16,4968.89,0.278648,0.0359872,0.157216,0.325251,0.255029,0.0903971,198.918
-1763.93,0.998943,0.0684999,6,63,0,1770.4,5132.36,0.292176,-0.0393297,0.182105,0.290588,0.149837,0.126847,208.379
-1766.71,0.99229,0.0684999,5,31,0,1769.65,5133.45,0.282096,-0.0360383,0.180489,0.274325,0.167003,0.180514,195.788
-1765.57,1,0.0684999,6,63,0,1768.78,5072.33,0.297814,0.070845,0.148017,0.251096,0.245325,-0.025767,223.992
-1762.18,0.998323,0.0684999,5,31,0,1769.45,4992.91,0.287005,0.0616322,0.154608,0.28668,0.225261,0.105806,221.789
-1763.09,0.915675,0.0684999,6,63,0,1770.16,5086.16,0.291548,-0.0168789,0.198768,0.218398,0.26136,0.0602363,207.656
-1764.2,0.994004,0.0684999,6,63,0,1767.06,5027.26,0.300457,0.0564887,0.174542,0.293079,0.116159,0.07014,210.355
-1763.36,0.964067,0.0684999,6,63,0,1767.8,5049.96,0.308535,0.0503641,0.191098,0.24689,0.151588,0.0405443,210.116
-1762.16,0.996928,0.0684999,6,63,0,1766.18,4965.93,0.300464,-0.0111882,0.186292,0.28301,0.252519,0.146259,212.322
-1760.37,0.988857,0.0684999,6,63,0,1764.01,5020.64,0.293912,0.00567477,0.16774,0.276654,0.242488,0.0971177,219.692
-1759.25,0.99877,0.0684999,6,63,0,1766.18,5040.51,0.285593,0.0308615,0.186086,0.268507,0.199315,0.0913493,204.555
-1763.13,0.903793,0.0684999,6,63,0,1764.01,5054.94,0.286817,0.0549651,0.173618,0.23889,0.199027,0.13751,200.2
-1764.05,0.998238,0.0684999,6,63,0,1768.44,4903.4,0.298094,-0.0033678,0.160972,0.369439,0.241968,0.112433,203.008
-1762.28,0.995923,0.0684999,6,63,0,1767.94,5014.36,0.27364,0.0254691,0.175811,0.283688,0.266485,0.0944262,222.572
-1762.75,0.992372,0.0684999,6,63,0,1766.7,5170.49,0.28909,-0.0202751,0.160771,0.261634,0.150368,0.151094,205.209
-1760.01,0.999971,0.0684999,6,63,0,1764.54,5089.64,0.30054,0.0170626,0.182289,0.244354,0.161728,0.0891823,210.356
-1761.08,0.988342,0.0684999,6,63,0,1763.66,5152.88,0.282933,0.0399083,0.142636,0.269818,0.182389,0.0596036,202.943
-1760.46,0.849502,0.0684999,6,63,0,1764.94,4999.61,0.292902,0.018814,0.201881,0.285873,0.183666,0.05966,214.296
-1760.4,0.999337,0.0684999,6,63,0,1762.42,4988.8,0.304288,0.03548,0.148331,0.284426,0.235751,0.106742,209.858
-1761.95,0.971055,0.0684999,6,63,0,1764.09,5016.09,0.282169,-0.00616149,0.173957,0.291444,0.272079,0.127009,210.659
-1762.91,0.999531,0.0684999,6,63,0,1768.34,5049.94,0.280364,-0.00411433,0.169402,0.25593,0.288058,0.128307,203.749
-1764.14,0.947699,0.0684999,6,63,0,1769.98,5277.93,0.286505,0.0318589,0.169213,0.218183,0.129065,-0.00692331,208.402
-1761.63,0.999677,0.0684999,6,63,0,1767.19,5174.89,0.275777,0.0116782,0.164848,0.265834,0.166726,0.0998361,197.152
-1760.03,0.9238,0.0684999,6,63,0,1763.48,5153.47,0.296635,-0.00324125,0.172525,0.232313,0.204983,0.0608231,213.006
-1761.81,0.965554,0.0684999,5,63,0,1765.05,4999.11,0.306064,-0.0126931,0.156852,0.312645,0.220291,0.11416,210.609
-1761.02,0.972554,0.0684999,6,63,0,1764.82,4993.11,0.292486,-0.0036187,0.209949,0.263226,0.220239,0.102053,211.128
-1763.17,0.978179,0.0684999,6,63,0,1766.09,5031.42,0.302683,-0.015588,0.209216,0.295684,0.162513,0.0715226,215.584
-1765.46,0.995148,0.0684999,6,63,0,1771.3,5258.12,0.277299,0.0162636,0.196116,0.208215,0.158683,-0.0337887,226.822
-1762.29,0.994849,0.0684999,6,63,0,1770.14,5002.9,0.297941,-0.00189732,0.150847,0.316214,0.218201,0.143953,196.948
-1762.69,0.999205,0.0684999,6,63,0,1765.87,5017.57,0.304783,0.0554621,0.195021,0.209001,0.226855,0.0390864,214.562
-1765.41,0.886233,0.0684999,6,63,0,1771.62,5063.98,0.284157,-0.0208335,0.154805,0.354684,0.192128,0.140351,211.829
-1765.56,0.999754,0.0684999,6,63,0,1776.02,5074.12,0.311248,0.0474729,0.183094,0.174197,0.242798,0.00806778,216.687
-1759.8,0.962095,0.0684999,5,31,0,1767.03,5035.8,0.293809,0.0346572,0.173792,0.27444,0.193555,0.108068,208.192
-1759.72,0.985957,0.0684999,6,63,0,1761.97,4978.08,0.292146,0.0439915,0.187456,0.27838,0.206497,0.0748314,209.887
-1760.54,0.999792,0.0684999,5,31,0,1762.45,4983.37,0.294163,0.0537077,0.190753,0.273492,0.209661,0.0393086,209.478
-1761.1,0.943984,0.0684999,6,63,0,1763.43,5122.8,0.283995,0.0075287,0.180978,0.282198,0.144305,0.0693041,216.517
-1760.35,0.975181,0.0684999,6,63,0,1763.09,5131.85,0.2929,0.00873044,0.186096,0.258817,0.152574,0.0371551,210.884
-1760.78,0.889166,0.0684999,5,63,0,1765.08,4981.76,0.294196,0.00172487,0.175243,0.288486,0.267493,0.115611,211.861
-1764.38,0.981009,0.0684999,5,63,0,1766.95,4966.88,0.288589,-0.00209142,0.203286,0.303118,0.163087,0.184608,225.192
-1762.47,0.98981,0.0684999,6,63,0,1767.86,5074.4,0.296327,0.055893,0.165672,0.258694,0.217798,-0.022707,202.942
-1761.56,0.998935,0.0684999,5,31,0,1764.57,5078.08,0.293385,0.0533406,0.169938,0.247482,0.226129,-0.00762229,204.372
-1761.95,0.879138,0.0684999,5,31,0,1763.87,5073.01,0.294238,0.0452165,0.169316,0.244039,0.232109,-0.0110153,208.26
-1764.07,0.956189,0.0684999,5,63,0,1767.14,4942.71,0.293766,-0.00491223,0.159213,0.30497,0.255712,0.177658,209.922
-1760.74,0.985123,0.0684999,5,31,0,1766.45,4982.51,0.290155,0.0277243,0.169597,0.316995,0.215707,0.116983,206.625
