# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:47 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\nq41il_6.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121547_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0865551
# Diagonal elements of inverse mass matrix:
# 9559.49, 0.000117973, 0.000431904, 0.000400277, 0.00123199, 0.001381, 0.00265725, 0.00172575
-1761.27,0.980023,0.0865551,6,63,0,1762.31,5177.22,0.273606,0.0036962,0.157183,0.290291,0.175525,0.088012,206.393
-1761.66,0.979574,0.0865551,5,63,0,1765.43,5017.64,0.288633,0.0347372,0.172906,0.280639,0.181998,0.160092,198.06
-1759.61,0.987889,0.0865551,5,31,0,1765.27,5114.12,0.283678,0.00205219,0.156486,0.293577,0.206682,0.0837034,205.643
-1760.34,0.81488,0.0865551,6,63,0,1763.45,4982.69,0.289406,0.0268499,0.178558,0.317965,0.212538,0.043751,208.493
-1761.57,0.931761,0.0865551,5,31,0,1764.39,5070.02,0.304906,0.0191017,0.184025,0.239855,0.199908,0.0638247,195.59
-1763.99,0.919093,0.0865551,5,63,0,1766.14,5191.36,0.28165,-0.00677006,0.141668,0.276518,0.228897,0.0661094,227.335
-1760.5,0.993765,0.0865551,5,31,0,1764.44,5126.81,0.283317,-0.00134362,0.152645,0.287182,0.226163,0.0507014,215.853
-1765.36,0.99585,0.0865551,5,31,0,1766.9,5214.61,0.284869,0.00474471,0.103814,0.279895,0.21388,0.0902551,200.552
-1764.74,1,0.0865551,6,63,0,1769.54,4931.84,0.299207,0.0249676,0.240742,0.258614,0.197307,0.0501552,222.884
-1763.91,0.999876,0.0865551,6,63,0,1770.11,5168.85,0.287667,0.00295738,0.13062,0.338667,0.15935,0.0276218,211.215
-1760.18,0.824423,0.0865551,5,63,0,1768.88,5046.6,0.294348,0.00616206,0.160113,0.277388,0.226885,0.121936,220.771
-1760.07,0.870963,0.0865551,5,31,0,1762.68,5055.45,0.283001,0.0425865,0.171614,0.264132,0.207861,0.0918292,200.884
-1760.68,0.886093,0.0865551,5,63,0,1764.3,5015.13,0.286468,0.00159969,0.1832,0.323228,0.177356,0.09878,210.52
-1763.48,0.922656,0.0865551,6,63,0,1766.38,5175.59,0.287192,-0.000701943,0.208848,0.226674,0.1646,-0.0145359,213.884
-1764.03,0.968772,0.0865551,5,63,0,1767.87,5159.57,0.303158,0.0455725,0.170978,0.221093,0.146082,0.0369859,221.614
-1764.01,0.923677,0.0865551,5,63,0,1767.78,5114.21,0.30648,0.0483102,0.170897,0.195869,0.190186,0.0224786,210.391
-1764.92,0.995925,0.0865551,6,63,0,1766.84,5086.89,0.313315,0.0465675,0.16597,0.203913,0.20634,0.0102679,217.559
-1768.53,0.949588,0.0865551,5,31,0,1770.62,5079.81,0.313655,0.051798,0.203605,0.189362,0.214931,-0.0291556,220.526
-1763.33,0.826517,0.0865551,6,63,0,1773.23,5213.12,0.299866,0.024487,0.165005,0.193131,0.213029,-0.00429874,217.247
-1762.19,0.999725,0.0865551,5,31,0,1767.37,5170.99,0.302956,0.011641,0.174631,0.23112,0.176603,0.0176058,220.983
-1762.87,0.959579,0.0865551,6,63,0,1769.84,4862.08,0.286578,0.0340685,0.201317,0.306508,0.260535,0.105802,206.087
-1762.8,0.996182,0.0865551,5,63,0,1765.48,4987.71,0.314952,0.0233665,0.177994,0.260126,0.246961,0.0447347,221.28
-1762.7,0.999445,0.0865551,6,63,0,1765.76,5215.51,0.269472,0.00729154,0.164156,0.259381,0.172696,0.0903152,198.901
-1761.12,0.999816,0.0865551,5,31,0,1764.95,5240.51,0.273384,0.0106903,0.164737,0.231497,0.18473,0.0569726,206.24
-1762.67,0.98951,0.0865551,5,31,0,1763.65,5297.15,0.275608,-0.0135941,0.162975,0.222017,0.192,0.0134274,204.028
-1765.38,0.985684,0.0865551,5,31,0,1765.75,5355.58,0.266302,-0.0237724,0.160127,0.216587,0.189844,0.0304035,205.084
-1761.97,0.925096,0.0865551,5,31,0,1768.07,5224.72,0.284992,0.000280662,0.130702,0.287842,0.173092,0.0531034,214.048
-1760.82,0.821596,0.0865551,5,31,0,1765.46,5077.97,0.290565,0.0101281,0.188444,0.268687,0.167783,0.0684313,219.84
-1761.52,0.990986,0.0865551,6,63,0,1763.38,5020.52,0.296106,0.0294356,0.17166,0.259851,0.266503,0.00904557,207.333
-1761.91,0.928955,0.0865551,5,31,0,1764.99,5082.56,0.305034,0.012521,0.164252,0.224887,0.260824,0.0288935,213.249
-1761.81,0.999629,0.0865551,5,63,0,1765.68,5048.25,0.305625,0.0136817,0.183585,0.250987,0.156296,0.140516,202.114
-1760.3,0.998134,0.0865551,5,31,0,1765.09,5075,0.298757,0.0198094,0.167017,0.264959,0.160281,0.125503,201.935
-1763.37,0.971618,0.0865551,5,31,0,1766.2,5231.81,0.272053,0.0058597,0.148375,0.233096,0.262863,0.0179149,211.802
-1761.39,0.799661,0.0865551,6,63,0,1768.38,4938.32,0.311271,0.0153719,0.183511,0.277205,0.201064,0.137297,205.424
-1761.26,0.977476,0.0865551,5,31,0,1764.02,4973.91,0.305574,0.0107083,0.195731,0.297792,0.173173,0.0875495,200.246
-1761.41,0.839232,0.0865551,6,63,0,1765.87,5141.5,0.28044,0.0335277,0.144328,0.263958,0.210111,0.101039,212.828
-1761.07,0.991778,0.0865551,5,63,0,1763.01,5103.38,0.287173,0.0331095,0.136012,0.288422,0.207801,0.0806563,219.29
-1764.11,0.821731,0.0865551,5,31,0,1767.98,5241.45,0.280302,-0.0172073,0.145395,0.279802,0.137346,0.100124,198.278
-1763.69,0.96472,0.0865551,6,63,0,1768.02,5189.25,0.294935,-0.0182481,0.143091,0.300124,0.136864,0.0978149,201.94
-1762.99,0.998656,0.0865551,6,63,0,1767.33,5265.58,0.273115,-0.0181403,0.175044,0.26351,0.16123,0.015498,216.433
-1763.39,0.980266,0.0865551,6,63,0,1766.91,5224.03,0.275499,-0.00533347,0.156798,0.236726,0.241145,0.0152096,197.456
-1760,0.917614,0.0865551,5,31,0,1765.41,5113.78,0.295905,0.0289446,0.179202,0.243656,0.180583,0.0217086,203.764
-1763.17,0.978944,0.0865551,5,31,0,1765.9,5163.86,0.288155,-0.0264739,0.16935,0.259545,0.252461,-0.00674549,209.131
-1761.18,0.976684,0.0865551,5,63,0,1768.48,5048.54,0.303052,-0.0119503,0.16667,0.296753,0.179159,0.107954,207.034
-1761.19,0.993607,0.0865551,5,31,0,1765.57,5180.45,0.289028,0.00529329,0.177581,0.253779,0.175325,-0.0179107,207.714
-1759.59,0.918819,0.0865551,5,31,0,1762.75,5018.47,0.293309,0.0201205,0.182449,0.280158,0.226461,0.0825501,206.728
-1761.84,0.95004,0.0865551,4,31,0,1764.88,4982.61,0.288055,0.00902559,0.180811,0.308265,0.25395,0.0435692,222.86
-1762.2,0.945524,0.0865551,5,63,0,1766.13,5091.52,0.296887,0.00366474,0.173296,0.279721,0.199358,0.0367237,231.281
-1759.92,0.937483,0.0865551,6,63,0,1763.5,5044.14,0.294506,0.0219681,0.171702,0.269295,0.220518,0.098782,200.224
-1763.55,0.786617,0.0865551,5,31,0,1764.59,5038.4,0.300401,0.0191218,0.167587,0.292937,0.207002,0.0943993,198.506
-1760.57,0.999954,0.0865551,6,63,0,1764.9,5105.13,0.296271,0.00758342,0.164714,0.282014,0.184543,0.077878,199.913
-1761.78,0.922386,0.0865551,6,63,0,1764.42,5035.14,0.283357,0.0344476,0.176547,0.260813,0.247584,0.112144,212.318
-1762.84,0.995494,0.0865551,5,31,0,1764.29,5045.25,0.298685,-0.0132644,0.195422,0.300529,0.161756,0.045044,210.855
-1762.37,0.990612,0.0865551,5,63,0,1770.76,5151.77,0.276304,0.00144737,0.177308,0.245473,0.207251,0.128828,212.634
-1761.59,0.999175,0.0865551,6,63,0,1764.38,4987.16,0.293335,0.00868978,0.195441,0.314479,0.206841,0.0153659,210.089
-1767.41,0.970959,0.0865551,5,31,0,1769.02,4979.44,0.306693,-0.0350227,0.196447,0.349035,0.164081,0.0503803,211.263
-1763.58,0.965102,0.0865551,5,63,0,1772.07,5107.51,0.29566,0.0371728,0.19816,0.256825,0.130492,0.0380956,208.586
-1764.78,0.941972,0.0865551,6,63,0,1770.55,4997.94,0.286527,-0.0216787,0.16177,0.338595,0.268068,0.120247,219.997
-1764.01,0.860264,0.0865551,2,7,0,1767.25,4987.21,0.286902,-0.0216303,0.161113,0.333535,0.263411,0.116583,220.034
-1764.33,0.936861,0.0865551,5,31,0,1772.77,4936.06,0.294402,0.0514172,0.152755,0.299799,0.181795,0.215446,213.28
-1764.22,0.994218,0.0865551,5,31,0,1765.19,4946.01,0.292141,0.0535597,0.156783,0.300463,0.185963,0.217986,213.348
-1761.76,0.936287,0.0865551,5,31,0,1766.57,4923.79,0.309456,0.0220273,0.191522,0.279375,0.21862,0.140538,212.527
-1762.56,0.988039,0.0865551,6,63,0,1766.74,4909.26,0.299278,0.0438307,0.151203,0.330205,0.212283,0.135564,217.199
-1760.59,0.974297,0.0865551,6,63,0,1766.49,5142.85,0.288191,0.00811494,0.199915,0.222163,0.190359,0.0405413,206.254
-1760.41,0.983984,0.0865551,6,63,0,1761.94,5098.64,0.289038,-0.000580527,0.196826,0.238696,0.189323,0.0901035,203.606
-1760.42,0.999481,0.0865551,5,31,0,1762.56,5041.72,0.296945,0.0336969,0.182121,0.254084,0.191626,0.0744756,195.765
-1762.05,0.956072,0.0865551,6,63,0,1763.67,5096.4,0.289565,-0.00777084,0.191146,0.233835,0.242654,0.0640915,225.194
-1763.82,0.989615,0.0865551,5,31,0,1767.02,5070.08,0.304003,0.0558853,0.15148,0.242769,0.190683,0.0841971,193.472
-1760.38,0.995286,0.0865551,5,31,0,1764.68,5095.26,0.285845,-0.005944,0.196128,0.261258,0.19948,0.0672742,218.087
-1763.79,0.986768,0.0865551,5,31,0,1765.46,5143.11,0.308852,-0.0011757,0.164374,0.238862,0.230714,-0.035012,204.498
-1765.08,0.977625,0.0865551,5,31,0,1767.55,5113.3,0.310097,-0.0126677,0.17698,0.24965,0.241387,-0.0514625,213.7
-1767.78,0.996029,0.0865551,5,31,0,1773.23,5080.1,0.295364,0.0252777,0.172337,0.240168,0.312619,-0.0864136,205.452
-1761.71,0.97407,0.0865551,5,31,0,1771.48,5116.41,0.296009,-0.0254952,0.163884,0.273676,0.231016,0.0801269,214.871
-1765.63,0.689214,0.0865551,6,63,0,1770.65,4925.68,0.285777,0.0577777,0.173405,0.251734,0.251259,0.15938,211.111
-1763.23,0.984807,0.0865551,5,63,0,1767.58,4898.57,0.311293,0.0315726,0.189892,0.261173,0.2325,0.102892,210.677
-1760.85,1,0.0865551,6,63,0,1765.08,5078.53,0.278956,0.00913885,0.167374,0.310428,0.180581,0.0829751,213.241
-1761.34,0.953371,0.0865551,6,63,0,1763.45,5073.91,0.297843,0.0237831,0.174233,0.222115,0.22968,0.0560651,202.546
-1760.59,0.967635,0.0865551,6,63,0,1763.59,5021.32,0.287827,0.0136787,0.183269,0.307592,0.188694,0.0661123,219.982
-1760.01,0.994656,0.0865551,6,63,0,1764.47,5046.09,0.295626,0.0208205,0.173435,0.246989,0.244516,0.0957193,202.506
-1760.55,0.880797,0.0865551,5,63,0,1763.3,5109.9,0.291276,0.0118444,0.158563,0.241079,0.207948,0.101119,210.028
-1761.05,1,0.0865551,5,31,0,1762.08,5101.91,0.284117,0.00936123,0.170761,0.293548,0.195508,0.0778855,199.108
-1760.91,0.9944,0.0865551,6,63,0,1762.97,5084.68,0.295982,0.0310341,0.162222,0.234588,0.237299,0.0838013,220.291
-1763.93,0.998975,0.0865551,6,63,0,1765.89,5113.09,0.276184,-0.0198373,0.143713,0.340206,0.206259,0.0886047,211.424
-1761.5,0.998839,0.0865551,5,63,0,1765.59,5101.07,0.290716,0.0440433,0.184612,0.207263,0.220152,0.025002,207.387
-1762.5,1,0.0865551,5,31,0,1764.81,5013.99,0.299793,0.0579298,0.195795,0.21143,0.208888,0.088868,215.78
-1759.34,0.993524,0.0865551,5,31,0,1764.75,5150.9,0.284248,0.0174097,0.158162,0.265573,0.19739,0.062108,205.996
-1761.94,0.740735,0.0865551,5,31,0,1763.76,5152.18,0.285595,0.024992,0.161114,0.268908,0.216152,0.00498422,220.961
-1764.31,0.971436,0.0865551,6,63,0,1768.89,5300.25,0.289045,-0.00686945,0.125352,0.235465,0.190947,0.061441,212.064
-1759.91,1,0.0865551,5,31,0,1765.82,5153.94,0.293348,0.0169717,0.165875,0.218489,0.226883,0.0421666,207.556
-1760.54,0.995622,0.0865551,5,63,0,1762.44,5014.69,0.287721,0.0293139,0.187696,0.255149,0.239057,0.0784537,222.826
-1758.96,0.999343,0.0865551,5,63,0,1764.54,5070.95,0.287888,0.00715604,0.180918,0.260338,0.229222,0.0675249,210.356
-1760.75,0.998957,0.0865551,5,31,0,1762.18,5100.98,0.289628,0.00251605,0.203322,0.23722,0.173975,0.0912045,213.44
-1760.49,0.921714,0.0865551,6,63,0,1762.88,5113.96,0.289392,0.0100375,0.14487,0.298944,0.225241,0.0414331,209.946
-1762.19,0.951749,0.0865551,5,63,0,1764.44,4997.48,0.296844,0.0235401,0.158007,0.278106,0.291457,0.074725,216.593
-1761.35,0.975267,0.0865551,6,63,0,1765.18,5087.25,0.295271,-0.00569849,0.188028,0.268217,0.154818,0.0900622,206.493
-1760.9,0.999968,0.0865551,6,63,0,1764.55,5041.49,0.293134,0.0398601,0.151957,0.264763,0.241992,0.0558593,213.928
-1761.97,0.909224,0.0865551,6,63,0,1763.9,5085.07,0.295792,0.0149898,0.136289,0.283685,0.224617,0.0601779,206.271
