# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ildduuwa.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121555_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0831832
# Diagonal elements of inverse mass matrix:
# 5456.71, 9.4795e-005, 0.000320821, 0.000303553, 0.000831738, 0.000898529, 0.0016975, 0.00120237
-2322.92,0.999151,0.0831832,5,31,0,2326.95,4919.77,0.304615,0.056,0.225193,0.259117,0.125585,0.118327,208.977
-2323.07,0.984378,0.0831832,5,63,0,2325.44,4849.99,0.312638,0.0769415,0.230389,0.255786,0.15071,0.0795877,198.946
-2327.28,0.871004,0.0831832,5,63,0,2331.46,4938.22,0.306955,0.0529033,0.225695,0.167241,0.180107,0.209286,206.043
-2326.65,0.999988,0.0831832,5,31,0,2328.83,4931.71,0.305534,0.0563244,0.224235,0.170599,0.176231,0.208362,206.295
-2322.41,0.966804,0.0831832,5,31,0,2328.38,4936.74,0.313125,0.0367226,0.220554,0.229127,0.146732,0.121019,197.997
-2321.73,0.987254,0.0831832,5,31,0,2323.34,4936.37,0.308406,0.0473675,0.228157,0.220789,0.139535,0.121809,199.973
-2326.05,0.830215,0.0831832,5,31,0,2329.56,4826.52,0.298761,0.0551513,0.243464,0.260475,0.167924,0.164929,215.522
-2325.41,0.998176,0.0831832,6,63,0,2328.62,5016.37,0.321522,0.0522243,0.216489,0.219118,0.0696427,0.0868883,190.679
-2327.57,0.999813,0.0831832,6,63,0,2330.26,4773.09,0.294567,0.0671427,0.248165,0.261336,0.194434,0.18491,209.767
-2323.1,0.966724,0.0831832,5,31,0,2328.92,4859.86,0.307794,0.0506517,0.226529,0.268462,0.144666,0.16145,204.033
-2323.25,0.975128,0.0831832,6,63,0,2325.69,4981.52,0.299638,0.056577,0.237788,0.242386,0.0910781,0.0966875,204.024
