# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:15:55 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\ildduuwa.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121555_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0844046
# Diagonal elements of inverse mass matrix:
# 5919.79, 8.22273e-005, 0.000300355, 0.000365312, 0.00088703, 0.000971083, 0.00195601, 0.00129986
-2329.5,0.489782,0.0844046,6,63,0,2333.85,4847.56,0.304432,0.0464102,0.236228,0.269117,0.156597,0.19466,209.14
-2328.27,0.980461,0.0844046,6,63,0,2334.77,4966.69,0.306573,0.0833866,0.231391,0.185324,0.0845067,0.117369,196.94
-2327.09,0.812146,0.0844046,5,31,0,2336.44,4863.28,0.288178,0.0476824,0.252129,0.26986,0.131141,0.151512,194.289
-2324.52,0.99392,0.0844046,5,31,0,2329.59,4919.57,0.316211,0.0821198,0.205447,0.217184,0.141243,0.100681,196.816
-2325.34,0.997268,0.0844046,5,31,0,2328.09,4919.29,0.319898,0.0857752,0.211925,0.206815,0.151617,0.0708985,197.292
-2322.97,0.998119,0.0844046,5,31,0,2328.48,5014.32,0.300792,0.0693568,0.228032,0.193319,0.0892237,0.140572,196.752
-2322.17,0.975916,0.0844046,6,63,0,2324.7,4888.95,0.309795,0.0513824,0.232662,0.264415,0.133456,0.0902913,201.075
-2326.78,0.944713,0.0844046,5,31,0,2328.11,4973.96,0.28831,0.0735221,0.245315,0.200733,0.0842059,0.177493,192.872
-2330.2,0.877624,0.0844046,5,31,0,2337.53,4972.3,0.317862,0.0482167,0.240254,0.200191,0.174086,-0.0204607,193.884
