# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\s272hzwl.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121602_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0889369
# Diagonal elements of inverse mass matrix:
# 5117.22, 6.53143e-005, 0.000260595, 0.000274609, 0.000843502, 0.000930823, 0.00198458, 0.00108867
-2933.53,0.975186,0.0889369,5,31,0,2936.47,4969.88,0.302616,0.054943,0.207042,0.262319,0.169515,0.0394126,209.227
-2933.29,0.996294,0.0889369,5,63,0,2935.78,4959.26,0.299809,0.0589608,0.213781,0.276157,0.15826,0.0409504,208.076
-2930.88,0.971661,0.0889369,5,31,0,2935.34,4920.68,0.297254,0.0391707,0.213103,0.246532,0.190571,0.190845,223.382
-2935.27,0.955862,0.0889369,5,63,0,2942.85,4890.27,0.302461,0.0688743,0.17733,0.251004,0.173005,0.258644,214.323
-2935.98,0.83741,0.0889369,6,63,0,2941.1,5000.58,0.282868,0.0181053,0.244265,0.234679,0.197371,0.064535,211.043
-2932.38,0.974329,0.0889369,5,31,0,2941.81,4926.82,0.293803,0.0368586,0.203058,0.226125,0.236585,0.1804,214.053
-2933.11,0.971349,0.0889369,5,31,0,2937.11,4881.23,0.285164,0.0707067,0.213932,0.253655,0.199241,0.218135,208.548
-2932.85,0.986024,0.0889369,5,63,0,2937.4,5050.68,0.302735,0.0488469,0.186058,0.227673,0.145755,0.144725,214.228
-2930.31,0.862034,0.0889369,5,31,0,2937.17,4886.6,0.294245,0.032523,0.227423,0.257009,0.198257,0.164906,208.775
-2937.38,0.969869,0.0889369,5,47,0,2939.16,4911.72,0.313414,0.0579838,0.175629,0.296614,0.123824,0.163529,206.071
-2932.14,0.921163,0.0889369,5,31,0,2940.17,4941.12,0.304444,0.0393893,0.182752,0.285286,0.147714,0.178931,207.785
-2933.23,0.946156,0.0889369,5,63,0,2939.84,4998.27,0.306061,0.0495772,0.179755,0.269984,0.12794,0.153746,212.817
-2930.23,0.997358,0.0889369,5,63,0,2934.49,4914.6,0.294306,0.0426223,0.22544,0.223966,0.207028,0.183837,208.051
-2932.99,0.994348,0.0889369,5,31,0,2934.44,5030.17,0.282714,0.0411863,0.181505,0.285316,0.189377,0.0905841,210.135
-2933.06,0.848971,0.0889369,6,63,0,2937.22,4817.5,0.316706,0.0266979,0.239185,0.266591,0.20706,0.139496,215.42
-2931.51,0.853537,0.0889369,6,63,0,2937.53,4934,0.28401,0.0309219,0.211642,0.26615,0.228853,0.151583,202.56
-2932.45,0.931033,0.0889369,6,63,0,2936.65,4907.29,0.299318,0.0558984,0.200982,0.281753,0.146756,0.181962,225.897
-2931.72,0.982716,0.0889369,6,63,0,2933.99,4900.77,0.304716,0.0536244,0.20928,0.258536,0.15383,0.178605,223.935
-2936.36,0.984052,0.0889369,4,15,0,2937.61,4926.28,0.318682,0.0591135,0.19245,0.248434,0.126117,0.176398,223.351
-2936.49,0.985109,0.0889369,5,63,0,2939.99,4886.84,0.276386,0.0370204,0.219494,0.282311,0.244409,0.144331,198.482
-2935.36,0.839476,0.0889369,5,63,0,2941.56,4911.26,0.278753,0.0484123,0.219505,0.283953,0.237679,0.0817449,202.537
-2931.45,0.767343,0.0889369,5,31,0,2938.4,4939.81,0.290614,0.0367692,0.21865,0.240573,0.207715,0.129853,206.465
-2931.74,0.99439,0.0889369,5,31,0,2933.57,4931.83,0.290838,0.0481411,0.220551,0.240497,0.204477,0.176848,213.005
-2931.22,0.936585,0.0889369,5,31,0,2935.11,4913.28,0.299295,0.0285729,0.23011,0.24818,0.22844,0.108749,208.294
-2931.65,0.908738,0.0889369,6,63,0,2935.3,4881.17,0.300144,0.0270985,0.233986,0.242682,0.231319,0.12586,207.942
-2930.76,0.999918,0.0889369,5,31,0,2935.24,4925.21,0.295866,0.0393665,0.226474,0.264206,0.208829,0.0748992,210.768
-2930.12,0.966226,0.0889369,5,31,0,2933.33,4938.65,0.297533,0.0595881,0.191097,0.249968,0.198211,0.14782,206.69
-2932.24,0.836642,0.0889369,5,31,0,2934.23,4991.87,0.289378,0.0399435,0.184028,0.293475,0.162665,0.157688,210.839
-2931.65,0.995588,0.0889369,5,63,0,2936.45,4868.68,0.304675,0.0425068,0.204375,0.27786,0.206472,0.156536,225.19
-2930.34,0.965571,0.0889369,6,63,0,2934.03,4924.33,0.295516,0.0528622,0.215286,0.260302,0.173076,0.132189,198.788
-2930.19,0.99638,0.0889369,6,63,0,2931.75,4933.57,0.301881,0.0342897,0.200789,0.252439,0.199914,0.173257,219.139
-2930.23,0.959707,0.0889369,5,31,0,2932.9,4913.73,0.301757,0.0309496,0.234018,0.261801,0.164411,0.139926,216.066
-2935.15,0.667102,0.0889369,6,63,0,2937.33,4984.42,0.296217,0.0331554,0.18233,0.266959,0.17475,0.130197,206.016
-2932.22,0.999882,0.0889369,5,31,0,2938.79,4987.98,0.299459,0.0489471,0.178711,0.256397,0.14053,0.206694,212.497
-2929.44,0.939592,0.0889369,5,31,0,2933.81,4962.98,0.297623,0.025781,0.221038,0.241681,0.187204,0.144403,205.696
-2930.93,0.998815,0.0889369,6,63,0,2934.15,5002.62,0.294191,0.0522137,0.183769,0.240334,0.157825,0.18834,209.678
-2933,0.99652,0.0889369,6,63,0,2935.35,4933.78,0.286947,0.0335849,0.230256,0.238562,0.246521,0.106772,206.114
-2932.1,0.999614,0.0889369,6,63,0,2936.5,4982.74,0.304492,0.0578742,0.191716,0.249175,0.124357,0.163856,214.495
-2930.64,0.998558,0.0889369,5,31,0,2934.2,4944.52,0.293541,0.0350294,0.206673,0.295189,0.135653,0.168466,211.004
-2931.27,0.966613,0.0889369,5,63,0,2933.85,4988.35,0.286586,0.0372209,0.208482,0.288029,0.128748,0.149018,212.211
-2935.49,0.651253,0.0889369,6,63,0,2941.35,4863.77,0.307372,0.00963424,0.233753,0.267823,0.190072,0.145716,219.313
-2936.06,0.890794,0.0889369,5,31,0,2939.32,4904.18,0.301809,0.0156014,0.225246,0.266295,0.229432,0.150295,215.015
-2932.55,0.976461,0.0889369,6,63,0,2940.23,4937.91,0.294045,0.0581476,0.174647,0.30291,0.189336,0.126882,213.167
-2930.92,0.997484,0.0889369,5,31,0,2935.52,4899.1,0.290017,0.047673,0.226347,0.231039,0.221097,0.184759,209.375
-2932,0.991233,0.0889369,6,63,0,2934.44,4939.89,0.294289,0.0565426,0.1913,0.224514,0.230832,0.18936,213.563
-2930.41,0.960827,0.0889369,5,31,0,2934.59,4890.29,0.301051,0.0415901,0.234089,0.253174,0.15091,0.194926,209.725
-2931.35,0.987568,0.0889369,5,31,0,2932.7,4879.34,0.30485,0.0241181,0.225319,0.255117,0.1688,0.219348,211.37
-2932.29,0.999797,0.0889369,6,63,0,2934.51,5023.35,0.289217,0.0641166,0.191745,0.252453,0.165077,0.0827108,210.889
-2932.71,0.831946,0.0889369,6,63,0,2937.39,4838,0.302758,0.0408447,0.242491,0.289214,0.174893,0.13172,198.641
-2932.07,0.899399,0.0889369,5,31,0,2936.98,4921.32,0.299946,0.0491421,0.22049,0.252663,0.196858,0.0723348,214.109
-2934.31,0.976184,0.0889369,6,63,0,2937.6,4849.34,0.301125,0.00925259,0.248639,0.282229,0.208401,0.152685,211.813
-2933.16,0.74381,0.0889369,5,31,0,2938.43,4837.81,0.294313,0.016403,0.246308,0.295019,0.219791,0.129518,210.393
-2930.82,0.972421,0.0889369,5,31,0,2934.76,4849.02,0.300718,0.0349947,0.246562,0.250362,0.206903,0.151979,209.341
-2934.3,0.987489,0.0889369,5,31,0,2937.62,4881.41,0.278914,0.0742672,0.217724,0.281389,0.202568,0.13453,202.88
-2930.94,0.999642,0.0889369,6,63,0,2939.52,4981.36,0.300774,0.0211652,0.20218,0.231907,0.181473,0.195832,204.349
-2929.08,0.946356,0.0889369,5,31,0,2932.61,4880.25,0.299276,0.0463463,0.22263,0.260359,0.208907,0.129193,211.344
-2930.19,0.997144,0.0889369,5,31,0,2933.27,4904.84,0.302508,0.0434999,0.238681,0.244224,0.175347,0.11612,209.679
-2932.05,0.907944,0.0889369,6,63,0,2935.07,5016.1,0.287348,0.0461727,0.179867,0.272781,0.162045,0.167751,216.22
-2932.61,0.934323,0.0889369,6,63,0,2938.39,4790.79,0.31218,0.0512476,0.244464,0.264313,0.205829,0.147996,208.555
-2932.18,0.997656,0.0889369,5,63,0,2935.13,4825.66,0.304831,0.0426072,0.2151,0.245925,0.217053,0.231302,211.103
-2931.19,0.982765,0.0889369,6,63,0,2935.53,5022.89,0.286984,0.0434437,0.207878,0.26795,0.142948,0.0908493,210.885
-2931.56,0.999976,0.0889369,5,31,0,2932.85,5018.73,0.286551,0.0401027,0.216331,0.271971,0.138749,0.0892966,210.119
-2933.39,0.983409,0.0889369,5,31,0,2935.6,4853.29,0.304745,0.0221603,0.20909,0.245874,0.234212,0.240929,210.475
-2931.77,0.941786,0.0889369,5,31,0,2938.39,4851.05,0.307839,0.0374895,0.214553,0.243456,0.201333,0.226827,216.195
-2932.59,0.999637,0.0889369,5,63,0,2938.23,4920.15,0.285337,0.0470258,0.242889,0.243204,0.15423,0.181328,205.597
-2931.31,0.999986,0.0889369,5,63,0,2935.98,4985.11,0.302471,0.0412992,0.204659,0.211466,0.171207,0.19875,206.382
-2931.5,0.98643,0.0889369,5,63,0,2934.95,5046.83,0.300288,0.0411679,0.200352,0.214188,0.145364,0.159425,209.743
-2931.98,0.999079,0.0889369,6,63,0,2935.83,4823.51,0.304466,0.0620805,0.219741,0.295726,0.175779,0.126823,221.076
