# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = mmm_model_model
# start_datetime = 2024-02-23 11:16:02 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.95
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 15
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = C:\Users\rober\AppData\Local\Temp\tmpik_3b4mw\s272hzwl.json
# init = 2 (Default)
# random
#   seed = 9567
# output
#   file = C:\00 ALL\02 Projects\11 Data Science\04 Benchmark Stan\stan_outputs\mmm_model-20240223121602_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = 0 (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --filename-in-msg=mmm_model.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,beta_tv,beta_lnl,beta_social,beta_display,beta_email,beta_search,sigma
# Adaptation terminated
# Step size = 0.0646027
# Diagonal elements of inverse mass matrix:
# 5111.04, 8.36739e-005, 0.000268513, 0.000296853, 0.000826823, 0.000948865, 0.00178425, 0.00099606
-2932.62,0.997068,0.0646027,5,63,0,2934.33,4899.56,0.292993,0.0124286,0.222515,0.260958,0.197211,0.235388,213.186
-2931.81,0.992991,0.0646027,6,63,0,2936.08,4878.35,0.290609,0.026829,0.221224,0.268071,0.186566,0.236744,213.927
-2931.36,0.930906,0.0646027,6,63,0,2935.15,4878.94,0.306586,0.0621281,0.212321,0.261233,0.205971,0.108588,203.604
-2929.35,0.999929,0.0646027,5,31,0,2931.93,4905.05,0.299775,0.0467268,0.220651,0.272941,0.178397,0.124673,204.78
-2931.21,0.999999,0.0646027,5,63,0,2934.01,4836.62,0.310213,0.0436724,0.235209,0.273513,0.175683,0.125307,215.331
-2931.2,0.997493,0.0646027,6,63,0,2933.95,4999.73,0.284749,0.0456567,0.190316,0.24706,0.191642,0.167197,201.594
-2931.75,0.993532,0.0646027,6,63,0,2934.98,4881.82,0.311426,0.0226644,0.228021,0.251545,0.201475,0.148293,218.848
-2931.27,0.989676,0.0646027,6,63,0,2933.1,4981.7,0.283346,0.0568168,0.196618,0.263516,0.169786,0.149256,202.074
-2930.61,0.804162,0.0646027,6,63,0,2937.24,4897.05,0.29818,0.0524821,0.231072,0.24096,0.184537,0.174231,211.554
-2933.87,0.999338,0.0646027,5,31,0,2935.28,4881.92,0.306459,0.0333818,0.231162,0.203731,0.239877,0.163784,210.655
-2933.02,0.994557,0.0646027,6,63,0,2937.64,4863.36,0.319137,0.0386968,0.222579,0.246847,0.205244,0.139937,213.327
-2934.71,0.998522,0.0646027,6,63,0,2939.35,4955.38,0.27623,0.0647649,0.200926,0.256397,0.164304,0.218839,203.402
-2932.38,0.998468,0.0646027,5,31,0,2937.98,4966.34,0.278267,0.0536021,0.203548,0.264938,0.161579,0.204578,205.705
-2932.56,0.969882,0.0646027,5,63,0,2935.4,4920.23,0.283124,0.0563166,0.208935,0.292902,0.13448,0.199787,206.989
-2933.98,0.974661,0.0646027,6,63,0,2938.4,4973.58,0.312916,0.0166856,0.208948,0.225208,0.221219,0.106811,215.134
-2931.65,0.965587,0.0646027,6,63,0,2937.54,4909.77,0.285019,0.0557687,0.200606,0.280307,0.205776,0.16792,200.32
-2931.23,0.954265,0.0646027,6,63,0,2937.24,4818.68,0.299909,0.0644104,0.217708,0.289681,0.157355,0.204562,206.477
-2929.59,0.999974,0.0646027,6,63,0,2932.27,4914.48,0.296361,0.0344182,0.214122,0.275955,0.209807,0.120403,213.431
-2932.3,0.993278,0.0646027,4,31,0,2934.65,4880.26,0.29562,0.0271623,0.21656,0.303945,0.230268,0.0908865,211.543
-2933.31,0.998855,0.0646027,6,63,0,2937.48,4764.91,0.30666,0.0776852,0.230344,0.292777,0.170874,0.162321,202.78
-2931.24,0.984707,0.0646027,6,63,0,2935.08,4812.18,0.307275,0.0651305,0.22068,0.283188,0.195398,0.12112,213.48
-2931.19,0.999626,0.0646027,6,63,0,2936.59,4813.38,0.308238,0.0642069,0.220945,0.279771,0.199168,0.120297,213.617
-2931.79,0.999934,0.0646027,6,63,0,2932.87,5008.61,0.284962,0.0206686,0.206519,0.249518,0.157057,0.210636,208.762
-2930.34,0.989401,0.0646027,6,63,0,2934.72,4904.91,0.301212,0.0413464,0.209207,0.28604,0.205163,0.0930167,211.318
-2929.5,0.981624,0.0646027,6,63,0,2932.22,4899.52,0.294698,0.052405,0.210486,0.250658,0.184264,0.205968,207.39
-2930.7,0.990228,0.0646027,6,63,0,2931.98,4964.01,0.29631,0.0242919,0.205991,0.281911,0.189986,0.104589,216.78
-2930.16,0.981678,0.0646027,6,63,0,2933.19,4847.67,0.292865,0.0342479,0.219107,0.283068,0.224974,0.174301,212.182
-2930.5,0.995688,0.0646027,6,63,0,2931.46,4898.01,0.303495,0.0633182,0.215651,0.271739,0.137418,0.144028,210.911
-2932.46,0.981205,0.0646027,6,63,0,2936.48,5063.41,0.283105,0.00943535,0.215524,0.229244,0.180551,0.141882,215.468
